Epochs,Lowest MAE,Smoothed Epochs,Lowest MAE Smoothed,"R: 8, 8","R: 9, 8","R: 10, 8","R: 8, 9","R: 9, 9","R: 8, 10","MAE: 8, 8","MAE: 9, 8","MAE: 10, 8","MAE: 8, 9","MAE: 9, 9","MAE: 8, 10"
1,1.3024199604988098,1,1.3024199604988098,0.9742472469806671,0.9745502918958664,0.9760977476835251,0.9744106531143188,0.975922241806984,0.972365528345108,0.36588379740715027,0.37179263681173325,0.34731999039649963,0.36452341824769974,0.3509935885667801,0.37353988736867905
2,0.8525042980909348,2,1.1674452617764473,,,,,,,,,,,,
3,0.7079323083162308,3,1.0295913757383823,,,,,,,,,,,,
4,0.6331532299518585,4,0.9106599320024252,,,,,,,,,,,,
5,0.5842980146408081,5,0.8127513567939402,,,,,,,,,,,,
6,0.5534295290708542,6,0.7349548084770143,,,,,,,,,,,,
7,0.5300753861665726,7,0.6734909817838818,,,,,,,,,,,,
8,0.5110897943377495,8,0.624770625550042,,,,,,,,,,,,
9,0.49449481815099716,9,0.5856878833303285,,,,,,,,,,,,
10,0.4851340278983116,10,0.5555217267007234,,,,,,,,,,,,
11,0.4669819697737694,11,0.5289597996226372,,,,,,,,,,,,
12,0.4625791013240814,12,0.5090455901330704,,,,,,,,,,,,
13,0.44995130598545074,13,0.4913173048887845,,,,,,,,,,,,
14,0.4456794932484627,14,0.47762596139668795,,,,,,,,,,,,
15,0.4335080459713936,15,0.4643905867690996,,,,,,,,,,,,
16,0.4297509863972664,16,0.4539987066575496,,,,,,,,,,,,
17,0.4247186854481697,17,0.44521470029473564,,,,,,,,,,,,
18,0.42743802070617676,18,0.439881696418168,,,,,,,,,,,,
19,0.41638098657131195,19,0.43283148346411116,,,,,,,,,,,,
20,0.4124590903520584,20,0.42671976553049534,,,,,,,,,,,,
21,0.4085201695561409,21,0.42125988673818904,,,,,,,,,,,,
22,0.40703660249710083,22,0.41699290146586254,,,,,,,,,,,,
23,0.4092715084552765,23,0.4146764835626867,,,,,,,,,,,,
24,0.40250151604413986,24,0.41102399330712264,,,,,,,,,,,,
25,0.3979852646589279,25,0.40711237471266426,,,,,,,,,,,,
26,0.39335012435913086,26,0.40298369960660424,,,,,,,,,,,,
27,0.392817847430706,27,0.3999339439538348,,,,,,,,,,,,
28,0.3872990757226944,28,0.3961434834844927,,,,,,,,,,,,
29,0.3904249668121338,29,0.394427928482785,,,,,,,,,,,,
30,0.39043427258729935,30,0.39322983171413933,,,,,,,,,,,,
31,0.38728799670934677,31,0.39144728121270156,,,,,,,,,,,,
32,0.38029617816209793,32,0.3881019502975205,,,,,,,,,,,,
33,0.38282398879528046,33,0.38651856184684846,,,,,,,,,,,,
34,0.3731095939874649,34,0.3824958714890334,,,,,,,,,,,,
35,0.3835599422454834,35,0.3828150927159684,,,,,,,,,,,,
36,0.3725171610713005,36,0.37972571322256804,,,,,,,,,,,,
37,0.37183046340942383,37,0.37735713827862477,,,,,,,,,,,,
38,0.36477864533662796,38,0.37358359039602573,,,,,,,,,,,,
39,0.3700357899069786,39,0.37251925024931165,,,,,,,,,,,,
40,0.3664071783423424,40,0.3706856286772209,,,,,,,,,,,,
41,0.3634978234767914,41,0.36852928711709204,,,,,,,,,,,,
42,0.3622865155339241,42,0.36665645564214167,,,,,,,,,,,,
43,0.36246631294488907,43,0.3653994128329659,,,,,,,,,,,,
44,0.368028849363327,44,0.36618824379207426,,,,,,,,,,,,
45,0.3661431595683098,45,0.3661747185249449,,,,,,,,,,,,
46,0.3569619432091713,46,0.3634108859302128,,,,,,,,,,,,
47,0.35828162729740143,47,0.3618721083403694,,,,,,,,,,,,
48,0.35813720524311066,48,0.3607516374111918,,,,,,,,,,,,
49,0.356648325920105,49,0.35952064396386574,,,,,,,,,,,,
50,0.34769169241189957,50,0.3559719584982759,,,,,,,,,,,,
