"Real for Increasing PPM,0; ,None - All","Averages for Increasing PPM,0; ,None","Real for Increasing PPM,1; ,None - All","Averages for Increasing PPM,1; ,None"
0.68,0.6580095291137695,0.86,0.7990313768386841
0.8,0.765202060341835,0.56,0.6630982458591461
0.86,0.881152406334877,0.95,0.9486377835273743
6.08,6.137549996376038,0.98,1.4331168234348297
3.2,3.160466969013214,0.95,0.9445551782846451
2.64,2.641188383102417,3.37,3.590064823627472
5.0,4.923821449279785,3.12,3.075148820877075
0.82,0.753563404083252,0.95,0.9196029752492905
1.3,1.295617789030075,0.95,0.91785828769207
4.29,3.9707823395729065,0.7,0.6709291487932205
0.8,0.755522221326828,7.12,7.171541333198547
0.82,0.7556863576173782,4.51,4.504444241523743
6.6,6.657258629798889,1.88,1.987115889787674
6.6,6.609791994094849,0.76,0.7830006182193756
3.6,3.5093348622322083,6.15,6.29241943359375
1.93,1.8060141801834106,0.95,0.8969852030277252
2.48,2.6727914810180664,0.93,0.8142281621694565
4.01,4.346369981765747,3.37,3.590253472328186
7.04,6.547770619392395,2.62,1.496373862028122
4.01,4.34699547290802,0.95,0.9222735017538071
0.97,0.9864347726106644,4.32,4.526083946228027
3.2,3.168682277202606,0.95,0.9179313033819199
7.94,7.909187912940979,6.69,6.678831696510315
3.4,3.4675217866897583,2.28,1.9167585968971252
7.04,6.6165831089019775,0.95,0.9327625334262848
0.86,0.856143593788147,4.39,4.516746520996094
0.85,0.8151831924915314,0.7,0.6696271747350693
7.94,7.905856251716614,0.95,0.9556479454040527
0.82,0.7543952465057373,0.95,0.9225973039865494
7.04,6.577124238014221,1.88,1.977651298046112
6.08,5.958672642707825,0.84,0.8120575100183487
3.04,3.0191650986671448,7.39,7.471939206123352
2.62,2.533111870288849,4.5,4.51913321018219
4.54,4.4446927309036255,0.95,0.9334362894296646
3.6,3.5044039487838745,0.95,0.9118163138628006
7.94,7.913557648658752,1.05,0.9351134300231934
2.62,2.56568306684494,1.38,0.9699523001909256
0.68,0.6493694931268692,0.95,0.9243567436933517
3.2,3.1657156944274902,7.62,6.971141338348389
3.6,3.495410144329071,0.93,0.8138925284147263
0.86,0.8526698052883148,4.32,4.5043686628341675
3.62,3.552677094936371,3.67,4.030278444290161
1.93,1.791663408279419,0.95,0.919087216258049
4.1,4.0869176387786865,4.67,4.527576565742493
4.01,4.346107125282288,0.95,0.9445125311613083
7.94,7.869482517242432,2.79,2.914218783378601
0.82,0.7537931650876999,7.89,7.757241368293762
2.64,2.6494624614715576,0.94,0.800582617521286
5.98,5.966061234474182,0.95,0.9194182604551315
1.93,1.7923471927642822,4.51,4.5117892026901245
1.5,1.5039081275463104,7.44,7.960726857185364
3.1,2.9979418516159058,7.89,7.706496715545654
0.7,0.7919837981462479,0.95,0.9055561125278473
5.0,4.957327246665955,0.95,0.9276510328054428
0.68,0.6541696935892105,0.83,0.9342986345291138
0.85,0.8271667510271072,4.33,4.286185145378113
0.85,0.8207449167966843,0.95,0.9377464652061462
7.04,6.534410357475281,6.26,6.8031511306762695
0.9,0.758622020483017,0.95,0.9584644287824631
3.04,3.024471640586853,3.12,3.0694046020507812
6.28,6.409808278083801,4.36,4.477917313575745
5.52,6.020840406417847,0.95,0.9561850279569626
7.62,7.523189067840576,0.83,0.9580273777246475
4.54,4.343590617179871,6.41,6.461448907852173
6.64,6.635017514228821,0.95,0.923750028014183
2.62,2.601881444454193,4.33,4.259902119636536
0.9,0.7543378919363022,4.39,4.532070994377136
6.08,5.961665868759155,8.71,8.508836507797241
3.64,3.6612457036972046,5.79,6.3717886209487915
2.62,2.5690826177597046,0.95,0.9408599436283112
1.3,1.2825983762741089,4.43,4.510537266731262
0.7,0.7904721945524216,0.6,0.623088002204895
2.64,2.6379942297935486,0.81,0.7720639854669571
4.1,3.9268208146095276,4.35,4.310788154602051
0.86,0.8635781705379486,0.95,0.9424394369125366
3.04,3.024643063545227,6.47,6.246057033538818
6.6,6.628573417663574,4.67,4.522070288658142
7.94,7.897968292236328,0.95,0.9294069558382034
4.7,4.601361632347107,1.38,0.968188926577568
0.85,0.8131162971258163,0.84,0.8128714710474014
4.7,4.609571695327759,0.95,0.8998425453901291
3.6,3.5088398456573486,2.28,1.9669296145439148
0.7,0.8049203306436539,7.89,7.710778594017029
3.04,3.0311155915260315,0.95,0.9443637430667877
7.62,7.5872108936309814,8.39,8.02389109134674
2.71,2.681456446647644,0.78,0.8206615447998047
6.6,6.658640384674072,2.62,1.5707989037036896
2.62,2.562970757484436,0.95,0.9336104691028595
0.97,0.9790894240140915,0.95,0.9570028185844421
2.64,2.6493477821350098,4.88,4.451114296913147
7.94,7.8913493156433105,5.59,6.539686799049377
5.1,5.086819887161255,6.06,6.043639302253723
3.6,3.457571566104889,0.78,0.8182076215744019
7.94,7.692744612693787,0.95,0.9114583283662796
7.94,7.883710622787476,1.04,0.9810253083705902
0.86,0.8477463275194168,0.78,0.8075744211673737
4.75,4.248517990112305,4.39,4.531374454498291
4.75,4.247166991233826,7.89,7.7010276317596436
0.68,0.656824916601181,0.95,0.9348198473453522
2.71,2.6749468445777893,0.86,1.4304360747337341
4.54,4.398208379745483,0.95,0.9272430688142776
4.29,3.975630462169647,6.55,6.156593441963196
0.97,0.9788973480463028,3.67,4.053417503833771
2.71,2.669983148574829,4.5,4.514907717704773
7.04,6.6150641441345215,3.2,3.188482642173767
4.29,3.9926557540893555,0.95,0.9442763775587082
0.8,0.7720664292573929,0.56,0.6668657958507538
0.6,0.6474467366933823,1.38,0.9947062879800797
3.04,3.0387017726898193,3.67,4.019831538200378
0.9,0.7541501671075821,0.93,0.8041697293519974
2.64,2.6410633325576782,0.83,0.9299774467945099
0.82,0.802988275885582,0.94,0.8070663660764694
5.0,4.976647734642029,0.95,0.9115169942378998
0.8,0.7839087843894958,4.39,4.498764634132385
6.6,6.641558885574341,0.95,0.9515423029661179
7.62,7.598824501037598,0.95,0.9185843914747238
0.8,0.7839720994234085,3.75,3.8051623702049255
5.0,4.943665027618408,0.86,0.7919106483459473
0.82,0.7554685771465302,2.12,2.166093945503235
4.29,4.111980319023132,6.47,7.206984162330627
7.62,7.542576789855957,7.44,7.963162779808044
