"Real for Spin Coating,0; Days Elapsed,0 - All data","Averages for Spin Coating,0; Days Elapsed,0","Real for Spin Coating,0; Days Elapsed,1 - All data","Averages for Spin Coating,0; Days Elapsed,1","Real for Spin Coating,1; Days Elapsed,0 - All data","Averages for Spin Coating,1; Days Elapsed,0","Real for Spin Coating,2; Days Elapsed,0 - All data","Averages for Spin Coating,2; Days Elapsed,0","Real for Spin Coating,3; Days Elapsed,0 - All data","Averages for Spin Coating,3; Days Elapsed,0","Real for Spin Coating,4; Days Elapsed,0 - All data","Averages for Spin Coating,4; Days Elapsed,0","Real for Spin Coating,5; Days Elapsed,0 - All data","Averages for Spin Coating,5; Days Elapsed,0","Real for Spin Coating,6; Days Elapsed,0 - All data","Averages for Spin Coating,6; Days Elapsed,0","Real for Spin Coating,7; Days Elapsed,0 - All data","Averages for Spin Coating,7; Days Elapsed,0","Real for Spin Coating,8; Days Elapsed,0 - All data","Averages for Spin Coating,8; Days Elapsed,0"
3.64,3.6238222122192383,0.95,0.911420002579689,3.64,3.6601394414901733,1.42,1.1146518290042877,4.42,4.5182565450668335,3.75,3.8197572827339172,0.95,0.9359625279903412,0.95,0.9130594730377197,0.95,0.9325051456689835,2.62,1.5828970670700073
1.63,1.7905834913253784,0.56,0.6648366898298264,6.69,6.6789538860321045,5.79,6.370879411697388,1.04,0.980672299861908,0.73,0.7634353190660477,4.89,4.645714521408081,8.84,8.95407748222351,0.84,0.8128196150064468,4.32,4.530663013458252
4.29,3.985019266605377,7.12,7.1941386461257935,0.95,0.9332496523857117,0.95,0.9131314009428024,3.67,4.027244687080383,3.62,3.5627124905586243,0.86,0.861263632774353,0.85,0.8300926983356476,0.7,0.7933428585529327,0.95,0.9273811280727386
2.62,2.5710641741752625,0.86,0.8439122289419174,4.38,4.520273685455322,3.75,3.879598557949066,6.08,6.040074467658997,4.54,4.345813155174255,6.48,6.366355061531067,6.6,6.6112380027771,0.93,0.8089629858732224,2.72,2.395362138748169
4.36,4.419699311256409,4.02,4.325899720191956,0.95,0.9175174534320831,7.94,7.842134118080139,3.1,2.9996559023857117,9.45,9.20235276222229,0.84,0.791346549987793,0.86,1.22929248213768,4.85,4.312501788139343,0.95,0.9390072524547577
0.95,0.9288585335016251,3.67,4.062313735485077,6.47,6.318397164344788,0.95,0.9148461669683456,0.98,1.3934555053710938,0.82,0.8078308403491974,0.95,0.9150834530591965,0.95,0.9564692676067352,0.95,0.92827507853508,0.95,0.9460887908935547
0.8,0.769548162817955,7.39,7.433987975120544,5.9,5.854652404785156,6.55,6.1507954597473145,7.62,7.581900954246521,0.95,0.970998615026474,4.01,4.312135696411133,0.95,0.9109924286603928,0.84,0.8057707399129868,5.27,5.2211902141571045
3.04,3.0265102982521057,0.95,0.9366918802261353,0.95,0.9349303394556046,0.95,0.9537089616060257,8.71,8.523842096328735,4.54,4.375286936759949,2.64,2.638184130191803,3.67,4.061160326004028,1.5,1.4836263060569763,5.52,6.020493984222412
0.82,0.754044845700264,3.95,3.958581328392029,0.95,0.9404926896095276,0.95,0.9324662983417511,3.04,3.0203853249549866,,,0.94,0.8028498142957687,7.4,6.7552244663238525,1.63,1.77851602435112,4.32,4.519814968109131
5.79,6.330308437347412,4.35,4.324515342712402,,,,,0.73,1.1898988634347916,,,0.7,0.8039627075195312,0.95,0.9420782774686813,0.78,0.8198433518409729,3.04,3.0181939601898193
