"Real NN 0 for Spin Coating,0; ,None - All data","Predicted NN 0 for Spin Coating,0; ,None - All data","Real NN 1 for Spin Coating,0; ,None - All data","Predicted NN 1 for Spin Coating,0; ,None - All data","Real NN 2 for Spin Coating,0; ,None - All data","Predicted NN 2 for Spin Coating,0; ,None - All data","Real NN 3 for Spin Coating,0; ,None - All data","Predicted NN 3 for Spin Coating,0; ,None - All data","Averages for Spin Coating,0; ,None","Real NN 0 for Spin Coating,1; ,None - All data","Predicted NN 0 for Spin Coating,1; ,None - All data","Real NN 1 for Spin Coating,1; ,None - All data","Predicted NN 1 for Spin Coating,1; ,None - All data","Real NN 2 for Spin Coating,1; ,None - All data","Predicted NN 2 for Spin Coating,1; ,None - All data","Real NN 3 for Spin Coating,1; ,None - All data","Predicted NN 3 for Spin Coating,1; ,None - All data","Averages for Spin Coating,1; ,None"
4.32,4.3927435874938965,4.32,4.317383766174316,4.32,4.463400840759277,4.32,4.082065582275391,4.31389844417572,0.95,0.9273664951324463,0.95,1.1025769710540771,0.95,0.7570703029632568,0.95,0.6008224487304688,0.8469590544700623
6.06,6.671160697937012,6.06,6.835812091827393,6.06,6.588550567626953,6.06,6.472908973693848,6.642108082771301,0.95,0.9393543601036072,0.95,0.8803752064704895,0.95,1.0395535230636597,0.95,0.9339759945869446,0.9483147710561752
6.15,6.004033088684082,6.15,6.465620517730713,6.15,6.142430305480957,6.15,6.134369850158691,6.186613440513611,0.95,1.0593054294586182,0.95,0.4384647011756897,0.95,1.4303665161132812,0.95,1.311827540397644,1.0599910467863083
3.04,3.3473501205444336,3.04,3.035215377807617,3.04,3.171414613723755,3.04,2.7317075729370117,3.0714219212532043,0.95,1.0916892290115356,0.95,0.7118006348609924,0.95,0.9198169708251953,0.95,1.0672447681427002,0.9476379007101059
0.6,0.8599063158035278,0.6,0.6064951419830322,0.6,0.1536262035369873,0.6,-0.09136702120304108,0.38216516003012657,6.06,5.796205043792725,6.06,5.37147855758667,6.06,5.670324325561523,6.06,5.630015850067139,5.617005944252014
0.86,1.375292181968689,0.86,0.9961726665496826,0.86,0.9582578539848328,0.86,1.300513505935669,1.1575590521097183,1.49,1.676830530166626,1.49,1.6737337112426758,1.49,1.6942888498306274,1.49,1.9486443996429443,1.7483743727207184
0.93,1.643146276473999,0.93,0.9149314761161804,0.93,1.53859281539917,0.93,1.7022414207458496,1.4497279971837997,0.95,1.343574047088623,0.95,0.81681227684021,0.95,0.8460378646850586,0.95,1.2808572053909302,1.0718203485012054
1.63,1.5740143060684204,1.63,1.8732237815856934,1.63,2.1005024909973145,1.63,1.7469083070755005,1.8236622214317322,0.95,0.7361661791801453,0.95,1.1490912437438965,0.95,0.889682412147522,0.95,1.2143776416778564,0.997329369187355
2.16,2.1639244556427,2.16,1.8992712497711182,2.16,2.1731534004211426,2.16,1.982701063156128,2.054762542247772,0.95,1.0856146812438965,0.95,0.7253039479255676,0.95,0.8947939872741699,0.95,0.9674212336540222,0.9182834625244141
0.7,0.8813673257827759,0.7,0.6847578883171082,0.7,0.7107645273208618,0.7,0.4977157711982727,0.6936513781547546,0.95,0.8868972659111023,0.95,0.9094563126564026,0.95,1.1803927421569824,0.95,1.004932165145874,0.9954196214675903
4.32,4.298655986785889,4.32,4.368453025817871,4.32,4.383112907409668,4.32,4.162845134735107,4.303266763687134,8.6,9.162859916687012,8.6,8.170281410217285,8.6,8.529741287231445,8.6,9.162266731262207,8.756287336349487
