Time,Current,Spin Coating,Increasing PPM,Temperature,Repeat Sensor Use,Concentration
0,-2.84,0,1,22,1,0.6
0,-2.84,0,1,22,1,0.7
0,-2.84,0,1,22,1,0.56
0,-8.84,0,1,22,1,1.49
0,-10.5,0,1,22,1,1.63
0,-11.5,0,1,22,1,1.88
0,-23.7,0,1,22,1,3.37
0,-32.5,0,1,22,1,3.75
0,-24.9,0,1,22,1,4.02
0,-49.2,0,1,22,1,6.15
0,-49.5,0,1,22,1,6.06
0,-31.7,0,1,22,1,6.47
0,-27,0,0,22,1,4.1
0,-20.2,0,0,22,1,3.64
0,-16.8,0,0,22,1,3.6
0,-4.91,0,0,22,1,0.85
0,-4.78,0,0,22,1,0.7
0,-11,0,1,22,1,2.79
0,-27.4,0,1,22,1,4.36
0,-3.84,0,0,22,1,0.6
0,-3.84,0,0,22,1,0.68
0,-1.91,0,1,22,1,0.77
0,-7.78,0,1,22,1,2.16
0,-30.2,0,1,22,1,4.88
0,-32.9,0,1,22,1,7.62
0,-21.3,0,0,22,1,6.48
0,-6.78,0,1,22,1,0.73
0,-3.78,0,1,22,1,1.42
0,-11.5,0,1,22,1,2.72
0,-12.8,0,1,22,1,3.95
0,-20.5,0,1,22,1,4.85
0,-32.7,0,1,22,1,5.73
0,-40.7,0,1,22,1,6.47
0,-39.8,0,1,22,1,9.45
0,-42.1,0,0,22,1,7.62
0,-29.5,0,0,22,1,6.64
0,-22.6,0,0,22,1,4.75
0,-27.1,0,0,22,1,4.01
0,-15.3,0,0,22,1,3.04
0,-11.1,0,0,22,1,1.93
0,-4.97,0,0,22,1,0.8
0,-30,0,1,19.8,1,0.69
0,-39.9,0,1,26,1,0.69
0,-42,0,1,30,1,0.75
0,-48,0,1,25,1,0.64
0,-26.7,0,1,20,1,0.59
0,-23,0,1,30,1,0.67
0,-3.84,0,1,25,1,1.05
0,-1.84,0,1,25,1,0.73
0,-2.91,0,1,30.1,1,0.94
0,-2.78,0,1,20.4,1,0.84
0,-2.84,0,1,20.2,1,0.86
0,-2.84,0,1,30,1,0.87
0,-3.41,0,1,30.2,1,0.81
0,-2.84,0,1,25.1,1,0.84
0,-1.84,0,1,20.7,1,0.93
0,-8.91,1,1,22,1,0.9
0,-37.2,1,1,22,1,2.8
0,-40,1,1,22,1,4.8
0,-59.8,1,1,22,1,6.8
0,-66,1,1,22,1,8.4
0,-82.7,1,1,22,1,9.7
0,0.156,1,0,22,1,8.6
0,-75.9,1,0,22,1,8
1,-1.91,0,1,22,1,0.6
1,-1.97,0,1,22,1,0.7
1,-1.91,0,1,22,1,0.56
1,-5.97,0,1,22,1,1.49
1,-6.97,0,1,22,1,1.63
1,-7.84,0,1,22,1,1.88
1,-16.5,0,1,22,1,3.37
1,-21.8,0,1,22,1,3.75
1,-17.1,0,1,22,1,4.02
1,-33.3,0,1,22,1,6.15
1,-34,0,1,22,1,6.06
1,-22.3,0,1,22,1,6.47
1,-19.6,0,0,22,1,4.1
1,-14,0,0,22,1,3.64
1,-11.7,0,0,22,1,3.6
