Time,Current,Spin Coating,Increasing PPM,Temperature,Repeat Sensor Use,Days Elapsed,Concentration
20,-0.249,1,1,15.5,1,11,0.95
6,-7.29,0,1,22,1,1,6.47
17,-2.66,1,0,22,1,1,5.1
8,-3.91,0,0,22,1,4,4.01
12,-0.499,0,0,22,1,4,0.6
10,-0.199,1,1,20,1,15,0.95
46,-0.187,1,1,44.9,1,11,0.95
10,-9.27,1,1,22,1,5,8.02
3,-0.531,1,1,39.9,1,11,0.95
7,-3.82,1,0,22,1,9,3.64
41,-1.78,1,0,22,3,3,6.5
34,-0.827,1,0,22,2,2,2.62
40,-1.68,0,1,22,1,1,6.06
11,-0.566,1,0,22,1,9,0.7
14,-0.243,1,1,35.2,1,11,0.95
47,-3.13,0,1,30,1,18,0.67
30,-1.01,0,1,22,1,31,4.38
50,-1.23,0,0,22,1,4,6.48
18,-3.67,1,0,22,1,1,5
42,-1.45,1,0,22,1,1,3.2
33,-1.19,0,0,22,1,4,4.75
10,-0.75,1,1,20.3,1,11,0.95
24,-0.271,0,1,25,1,31,1.05
44,-0.322,0,0,22,1,4,0.68
48,-1.51,0,1,22,1,1,6.47
2,-1.91,1,1,22,1,5,0.93
13,-0.293,0,1,22,1,1,0.7
11,-5,1,1,22,1,9,7.1
32,-2.64,1,0,22,1,1,5
33,-2.41,1,1,22,1,1,7.1
49,-3.06,0,1,30,1,18,0.67
29,-2.96,0,1,25,1,18,0.64
21,-0.342,0,0,22,1,1,0.7
30,-0.255,1,1,24.9,1,11,0.95
15,-0.228,0,1,22,1,1,0.6
6,-0.672,0,1,25.1,1,31,0.84
2,-3.09,0,1,22,1,4,0.73
42,-0.162,0,1,20.4,1,31,0.84
16,-0.428,0,0,22,1,4,0.6
6,-1.03,0,0,22,1,1,0.7
19,-0.0501,1,1,22,1,5,0.93
48,-1.1,0,1,22,1,4,4.36
26,-1.1,0,1,22,1,31,4.32
14,-2.17,0,1,22,1,1,4.02
22,-4.82,0,1,26,1,18,0.69
31,-1.4,1,1,22,3,3,4.35
17,-0.206,1,0,22,1,1,0.82
26,-4.52,0,1,20,1,18,0.59
41,-0.182,0,1,22,1,1,0.56
34,-0.904,1,1,22,1,1,3.12
50,-0.0749,0,1,22,1,4,0.77
38,-0.0646,1,1,10.2,1,15,0.95
11,-1.78,0,0,22,1,4,3.04
10,-4.63,0,1,22,1,4,7.62
0,-4.78,0,0,22,1,1,0.7
44,-0.14,1,1,35,1,15,0.95
34,-0.158,0,1,20.4,1,31,0.84
18,-0.292,1,1,20.5,1,11,0.95
17,-0.334,0,1,30,1,31,0.87
1,-3.53,0,1,22,1,31,4.32
26,-0.31,0,0,22,1,1,0.7
27,-0.0994,1,1,20,1,15,0.95
50,-0.172,0,1,25.1,1,31,0.84
48,-0.771,0,1,22,1,31,4.51
41,-0.921,1,0,22,1,5,2.93
38,-0.203,1,1,15.5,1,11,0.95
14,-0.887,1,1,22,1,9,1.88
39,-1.72,1,1,22,2,2,5.9
14,-2.79,0,0,22,1,4,6.64
9,-0.822,1,1,15.3,1,11,0.95
9,-4.32,1,0,22,1,1,5.1
34,-1.09,1,0,22,1,9,3.62
42,-2.43,1,1,22,3,3,8.39
35,-1.54,0,0,22,1,4,6.64
