Real NN 0 Correlation for Spin Coating - 0: MAE,Predicted NN 0 Correlation for Spin Coating - 0: MAE,Real NN 1 Correlation for Spin Coating - 0: MAE,Predicted NN 1 Correlation for Spin Coating - 0: MAE,Real NN 2 Correlation for Spin Coating - 0: MAE,Predicted NN 2 Correlation for Spin Coating - 0: MAE,Real NN 3 Correlation for Spin Coating - 0: MAE,Predicted NN 3 Correlation for Spin Coating - 0: MAE,,Real NN 0 Correlation for Spin Coating - 1: MAE,Predicted NN 0 Correlation for Spin Coating - 1: MAE,Real NN 1 Correlation for Spin Coating - 1: MAE,Predicted NN 1 Correlation for Spin Coating - 1: MAE,Real NN 2 Correlation for Spin Coating - 1: MAE,Predicted NN 2 Correlation for Spin Coating - 1: MAE,Real NN 3 Correlation for Spin Coating - 1: MAE,Predicted NN 3 Correlation for Spin Coating - 1: MAE,
0.87,1.096133709,0.87,0.989319682,0.87,0.864172459,0.87,0.869700313,0.954831541,8.39,8.26456356,8.39,8.148880959,8.39,8.311702728,8.39,8.364458084,8.272401333
6.47,6.625735283,6.47,6.711690903,6.47,6.442914009,6.47,6.96309948,6.685859919,3.12,2.369843245,3.12,2.575270176,3.12,2.715452671,3.12,2.671197414,2.582940877
0.84,0.93196106,0.84,0.9450773,0.84,0.919603825,0.84,0.962400794,0.939760745,0.95,0.914154768,0.95,0.90634191,0.95,0.942910194,0.95,0.956885338,0.930073053
4.5,4.476718426,4.5,4.380749702,4.5,4.470913887,4.5,4.583193302,4.477893829,4.8,5.276242256,4.8,5.114473343,4.8,5.742818832,4.8,5.652490139,5.446506143
4.5,4.565840721,4.5,4.530885696,4.5,4.479930878,4.5,4.545473099,4.530532599,1.63,1.668849707,1.63,1.662709355,1.63,1.860393763,1.63,1.874584675,1.766634375
3.95,4.346857548,3.95,4.036708832,3.95,4.430343628,3.95,4.097663879,4.227893472,0.95,0.982473493,0.95,0.906859398,0.95,0.96292901,0.95,0.921916842,0.943544686
0.56,0.480551928,0.56,0.475969046,0.56,0.783962607,0.56,0.534398735,0.568720579,0.95,1.386623621,0.95,0.821689725,0.95,1.053334713,0.95,0.941918194,1.050891563
0.84,0.902598441,0.84,0.725469947,0.84,0.764733315,0.84,0.676371098,0.7672932,1.1,1.307519197,1.1,1.279536366,1.1,1.436618447,1.1,0.892931342,1.229151338
0.59,0.760597229,0.59,0.82711637,0.59,0.525415778,0.59,0.633074701,0.68655102,0.88,1.126731277,0.88,1.043071151,0.88,1.220634818,0.88,1.013795376,1.101058156
4.02,3.812018633,4.02,3.807144403,4.02,4.004425526,4.02,4.26893425,3.973130703,0.95,0.880380988,0.95,0.754487872,0.95,0.907953262,0.95,1.098591805,0.910353482
0.59,0.385382384,0.59,1.525950432,0.59,-1.015181899,0.59,0.113593876,0.252436198,3.64,3.888139009,3.64,3.268520832,3.64,3.727370262,3.64,3.450304031,3.583583534
3.37,3.806442738,3.37,3.393981695,3.37,3.747188091,3.37,3.677370548,3.656245768,0.95,1.005366683,0.95,0.932998538,0.95,1.00854528,0.95,0.930317581,0.969307021
3.6,3.528800249,3.6,3.28425622,3.6,3.470764399,3.6,3.956532717,3.560088396,0.95,1.051252961,0.95,0.865407586,0.95,1.071762323,0.95,0.956302941,0.986181453
6.06,5.796051502,6.06,6.528949261,6.06,6.748595238,6.06,7.45140028,6.63124907,3.75,4.841802597,3.75,5.155138969,3.75,4.530583382,3.75,5.013315201,4.885210037
0.7,0.60082531,0.7,0.620391548,0.7,0.821217835,0.7,0.839530587,0.72049132,4.8,5.256140709,4.8,5.110722542,4.8,5.694424629,4.8,5.649833679,5.42778039
3.37,3.302375078,3.37,3.234902382,3.37,3.349445105,3.37,3.128420115,3.25378567,4.35,4.125679016,4.35,4.231035709,4.35,4.397392273,4.35,4.401156425,4.288815856
0.67,0.309138805,0.67,0.67370832,0.67,0.949514985,0.67,0.62127924,0.638410338,0.95,0.925580502,0.95,0.865723848,0.95,0.971423149,0.95,0.991211057,0.938484639
0.69,0.523392439,0.69,0.587055087,0.69,0.72446847,0.69,0.486300558,0.580304139,0.95,0.882696867,0.95,0.914673209,0.95,0.959887743,0.95,0.976283133,0.933385238
0.69,0.744590044,0.69,0.854323268,0.69,0.712571859,0.69,0.719168603,0.757663444,5.1,4.34309864,5.1,4.105495453,5.1,4.907972336,5.1,4.686071873,4.510659576
0.64,0.496302098,0.64,0.453340381,0.64,0.617103577,0.64,0.497570097,0.516079038,7.1,5.382369995,7.1,5.200931549,7.1,5.298624039,7.1,5.618672848,5.375149608
3.95,4.43915844,3.95,4.320265293,3.95,4.147115707,3.95,3.996992588,4.225883007,3.12,2.924659729,3.12,2.38685298,3.12,2.77731061,3.12,2.725819111,2.703660608
4.02,4.095594406,4.02,3.792496681,4.02,3.963257551,4.02,4.198741436,4.012522519,1.88,1.808556795,1.88,1.661695838,1.88,1.595742226,1.88,1.753625154,1.704905003
0.75,0.553515196,0.75,0.469627231,0.75,0.648106813,0.75,0.70368129,0.593732633,0.95,1.048126698,0.95,1.073830009,0.95,0.924023867,0.95,0.974073112,1.005013422
4.1,4.194828987,4.1,3.684545279,4.1,4.199182987,4.1,4.267695904,4.086563289,5.1,4.995174408,5.1,5.800742149,5.1,4.832730293,5.1,5.144235611,5.193220615
6.48,6.164211273,6.48,5.999876022,6.48,6.188374519,6.48,6.638160706,6.24765563,0.95,0.931489706,0.95,1.006866932,0.95,0.960022211,0.95,0.90127027,0.94991228
6.15,6.10562849,6.15,6.097410679,6.15,6.449063301,6.15,5.925135612,6.144309521,0.7,0.991458893,0.7,0.861116767,0.7,1.026086807,0.7,0.86887747,0.936884984
0.77,0.826135397,0.77,0.717104197,0.77,0.677785277,0.77,0.868346691,0.772342891,0.95,0.983835697,0.95,0.91093874,0.95,1.014352322,0.95,0.930803001,0.95998244
1.42,1.695480108,1.42,1.706253529,1.42,1.81891036,1.42,1.726554394,1.736799598,4.35,4.356378555,4.35,4.632048607,4.35,4.857236862,4.35,4.148114204,4.498444557
0.81,0.842903376,0.81,0.83797729,0.81,0.817211866,0.81,0.807033718,0.826281563,5.1,4.351853371,5.1,4.158259392,5.1,4.875799179,5.1,4.697780609,4.520923138
4.36,4.933609962,4.36,4.953779697,4.36,5.409920692,4.36,4.724376678,5.005421757,0.95,0.956401348,0.95,0.832035899,0.95,0.957438827,0.95,1.012274265,0.939537585
7.62,7.874204636,7.62,7.029895306,7.62,8.143021584,7.62,8.674793243,7.930478692,0.95,0.954332829,0.95,1.041767001,0.95,1.241221666,0.95,1.11149168,1.087203294
0.56,0.685302615,0.56,0.891300321,0.56,0.880087972,0.56,0.728121221,0.796203032,8.39,8.345593452,8.39,8.390672684,8.39,8.571858406,8.39,8.819785118,8.531977415
0.94,0.815457344,0.94,1.108370662,0.94,1.040684462,0.94,0.786614835,0.937781826,1.1,1.442394495,1.1,1.295441031,1.1,1.402688146,1.1,1.436687946,1.394302905
0.81,0.845640182,0.81,1.049992442,0.81,0.939814329,0.81,0.780022323,0.903867319,0.95,0.916944623,0.95,0.723902345,0.95,1.037438631,0.95,1.053756952,0.933010638
1.05,1.037623286,1.05,1.126187205,1.05,1.130954504,1.05,1.061147213,1.088978052,0.95,0.981378555,0.95,0.900744319,0.95,1.078483343,0.95,0.937508047,0.974528566
4.4,4.473912239,4.4,4.491825581,4.4,4.479171753,4.4,4.510543823,4.488863349,0.95,0.945301533,0.95,0.855603099,0.95,1.018618584,0.95,0.933190286,0.938178376
2.72,2.152673721,2.72,2.208747625,2.72,2.272003889,2.72,2.096638441,2.182515919,2.12,1.957062364,2.12,2.174838305,2.12,2.339671373,2.12,2.266376972,2.184487254
4.36,4.545422554,4.36,5.034983635,4.36,5.742150307,4.36,5.628638744,5.23779881,0.97,0.779398084,0.97,0.728198171,0.97,1.419308543,0.97,1.392041445,1.079736561
0.59,0.491665334,0.59,0.623550892,0.59,0.714529514,0.59,0.896553695,0.681574859,0.95,1.024790525,0.95,0.820040584,0.95,0.943439066,0.95,1.015168071,0.950859562
6.15,6.197733402,6.15,5.938812256,6.15,5.934257507,6.15,6.059557915,6.03259027,8.39,7.37501049,8.39,7.387913227,8.39,7.482385635,8.39,6.896906853,7.285554051
0.84,0.936850309,0.84,0.791987777,0.84,0.914389372,0.84,0.950358272,0.898396433,8.02,6.397437572,8.02,6.576459408,8.02,7.963602066,8.02,7.112843513,7.01258564
1.49,1.897725582,1.49,1.714821935,1.49,1.93165803,1.49,1.694855452,1.80976525,3.62,3.145148039,3.62,2.655655622,3.62,3.199320555,3.62,3.258780241,3.064726114
4.32,4.59776783,4.32,4.456086159,4.32,4.478481293,4.32,4.599339008,4.532918573,0.95,0.979903936,0.95,0.893737555,0.95,0.960873604,0.95,0.925301194,0.939954072
0.56,0.896269917,0.56,0.991260767,0.56,0.964438975,0.56,0.775367916,0.906834394,3.18,2.995961189,3.18,2.794788837,3.18,2.984668255,3.18,2.838097095,2.903378844
0.86,0.909377813,0.86,0.400022835,0.86,0.982031107,0.86,0.655604303,0.736759015,0.95,0.987078905,0.95,0.777865052,0.95,0.833835125,0.95,1.015242815,0.903505474
3.75,3.75888586,3.75,3.677610159,3.75,3.810701132,3.75,3.710903168,3.73952508,7.44,8.077971458,7.44,8.406480789,7.44,7.813139915,7.44,7.934954643,8.058136701
4.88,5.137539387,4.88,4.77042675,4.88,5.000699997,4.88,4.859204292,4.941967607,0.95,0.987183809,0.95,0.919400692,0.95,1.000136137,0.95,0.930769503,0.959372535
3.6,3.477443933,3.6,3.254903316,3.6,3.429781675,3.6,3.772662401,3.483697831,0.95,0.94520998,0.95,0.980072021,0.95,0.934200525,0.95,1.077684164,0.984291673
0.84,0.949372292,0.84,0.759021401,0.84,0.911042929,0.84,0.690017819,0.82736361,0.95,0.778649092,0.95,0.857327342,0.95,1.011427879,0.95,0.883590996,0.882748827
3.64,3.632064104,3.64,3.842932701,3.64,4.002407551,3.64,3.995940924,3.86833632,0.88,1.306025505,0.88,0.98220861,0.88,1.260198593,0.88,1.139604568,1.172009319
4.01,4.871839523,4.01,4.423198223,4.01,4.64820385,4.01,4.480154037,4.605848908,5,6.086350441,5,5.856870651,5,6.277033806,5,6.178835869,6.099772692
0.93,1.213380575,0.93,1.351977825,0.93,1.148620129,0.93,0.792142093,1.126530156,0.95,1.095240474,0.95,0.698370934,0.95,1.003267407,0.95,0.879524112,0.919100732
9.45,9.119263649,9.45,9.251708984,9.45,9.210587502,9.45,8.875437737,9.114249468,0.95,0.968801737,0.95,1.079166293,0.95,0.962598443,0.95,1.025049925,1.0089041
0.84,0.953803539,0.84,0.870275378,0.84,1.040082097,0.84,0.864724338,0.932221338,3.2,3.63360858,3.2,3.826296806,3.2,3.63530159,3.2,3.518942356,3.653537333
0.7,0.616759062,0.7,0.552368522,0.7,0.958525538,0.7,0.896656573,0.756077424,0.95,0.956555128,0.95,0.916210055,0.95,1.024723053,0.95,0.933645964,0.95778355
0.6,0.689301014,0.6,0.515526414,0.6,0.788204074,0.6,0.477461338,0.61762321,5.9,4.307876587,5.9,4.623702049,5.9,3.250424385,5.9,3.647437811,3.957360208
6.47,6.499276638,6.47,6.688490391,6.47,6.696760178,6.47,6.763246059,6.661943317,0.95,0.834888697,0.95,0.692693591,0.95,1.141175508,0.95,0.849453092,0.879552722
7.62,6.426603317,7.62,6.417451382,7.62,6.538681984,7.62,6.685002327,6.516934753,0.6,0.800151706,0.6,0.834525585,0.6,0.851592958,0.6,1.036683321,0.880738393
7.62,5.085398674,7.62,5.438157558,7.62,6.73412323,7.62,6.225871563,5.870887756,7.1,5.127892017,7.1,5.916584969,7.1,5.804231644,7.1,5.712036133,5.640186191
1.42,1.653533578,1.42,1.66847527,1.42,1.575904369,1.42,1.720863819,1.654694259,0.7,1.000055313,0.7,0.861102223,0.7,1.020462513,0.7,0.854309499,0.933982387
4.1,4.172738552,4.1,3.695189714,4.1,4.330787659,4.1,4.274652481,4.118342102,3.62,4.238699913,3.62,3.601617575,3.62,3.854196548,3.62,4.663471699,4.089496434
4.88,4.985742569,4.88,5.181206226,4.88,5.404227257,4.88,5.117701054,5.172219277,2.71,2.826801777,2.71,2.72264266,2.71,3.100775003,2.71,3.024191618,2.918602765
0.59,0.632455111,0.59,0.873750567,0.59,0.675380409,0.59,0.590681612,0.693066925,4.2,4.825811863,4.2,4.731298923,4.2,4.207935333,4.2,4.480893135,4.561484814
0.67,0.682881594,0.67,0.667387843,0.67,0.732333422,0.67,0.654192805,0.684198916,0.95,0.919356346,0.95,0.844506502,0.95,0.989618301,0.95,1.006750107,0.940057814
0.69,0.639742732,0.69,0.652659297,0.69,0.726470232,0.69,0.754296184,0.693292111,0.95,0.776863337,0.95,0.886287332,0.95,0.975487053,0.95,0.892965436,0.88290079
6.48,6.337405205,6.48,6.184947968,6.48,6.215099335,6.48,6.174971581,6.228106022,0.95,0.964668274,0.95,0.782173753,0.95,1.1128335,0.95,1.029705048,0.972345144
0.8,1.19524157,0.8,0.529800773,0.8,1.226161361,0.8,0.582061172,0.883316219,7.1,5.512331963,7.1,5.928430557,7.1,6.127711296,7.1,6.981362343,6.13745904
3.64,3.938030005,3.64,3.61963439,3.64,3.822950602,3.64,4.272889614,3.913376153,0.88,0.947557449,0.88,1.012328029,0.88,1.12643075,0.88,0.908037007,0.998588309
4.85,4.543438911,4.85,4.454910755,4.85,4.378136635,4.85,4.365028381,4.435378671,3.2,4.394543171,3.2,4.177680016,3.2,4.457865715,3.2,4.480955124,4.377761007
0.67,0.695652425,0.67,0.420413345,0.67,0.361773491,0.67,0.636831999,0.528667815,3.18,2.907046318,3.18,2.730522871,3.18,3.183975935,3.18,3.068146706,2.972422958
4.36,4.333539963,4.36,4.335548878,4.36,4.460391998,4.36,4.621582985,4.437765956,4.68,4.943108559,4.68,4.768731117,4.68,5.210617065,4.68,5.025828362,4.987071276
1.42,1.491590738,1.42,1.275412917,1.42,1.594507456,1.42,1.184461832,1.386493236,0.95,1.030397892,0.95,0.868118644,0.95,1.079441786,0.95,1.007140636,0.99627474
4.75,4.967766285,4.75,4.727841854,4.75,4.94185257,4.75,5.570596218,5.052014232,4.68,5.00613451,4.68,4.670814991,4.68,5.127482414,4.68,5.455156326,5.06489706
4.88,5.21831274,4.88,5.385231018,4.88,6.232264519,4.88,5.933729172,5.692384362,5,6.422875404,5,6.521956921,5,6.260120392,5,6.515967369,6.430230022
6.64,6.448560715,6.64,5.46833086,6.64,6.284398079,6.64,6.519387722,6.180169344,0.9,1.261729002,0.9,0.890853524,0.9,1.171767831,0.9,1.401402473,1.181438208
1.42,1.447673678,1.42,1.764790773,1.42,1.721951962,1.42,1.729649067,1.66601637,7.44,8.018992424,7.44,6.801611423,7.44,6.724593163,7.44,7.512052536,7.264312387
6.64,6.434210777,6.64,6.448860168,6.64,6.310032845,6.64,6.328963757,6.380516887,2.8,3.469293833,2.8,3.994331121,2.8,3.696824312,2.8,4.08038044,3.810207427
1.88,1.824083805,1.88,2.382586241,1.88,1.689777374,1.88,2.325562716,2.055502534,6.6,7.457178116,6.6,7.469368458,6.6,7.467336655,6.6,7.585931778,7.494953752
5.73,6.420114517,5.73,6.280614376,5.73,6.573493958,5.73,6.498238564,6.443115354,6.8,6.909034729,6.8,7.146636963,6.8,7.014706612,6.8,6.852903843,6.980820537
0.75,0.488940567,0.75,0.569095492,0.75,0.652256727,0.75,0.656280398,0.591643296,1.04,1.164721251,1.04,1.321858048,1.04,0.853570759,1.04,0.955117285,1.073816836
4.1,4.032764912,4.1,3.712787151,4.1,3.948571682,4.1,4.338506699,4.008157611,3.2,3.66215539,3.2,4.089126587,3.2,3.702339172,3.2,3.615129471,3.767187655
0.7,0.719581008,0.7,0.747291565,0.7,0.648159385,0.7,0.717561185,0.708148286,0.9,1.458176017,0.9,1.117994666,0.9,0.901532769,0.9,1.40149498,1.219799608
