Epochs,Lowest MAE,Smoothed Epochs,Lowest MAE Smoothed,"R: 25, 10","MAE: 25, 10"
1,1.6098682582378387,1,1.6098682582378387,0.9738044142723083,0.33671822398900986
2,1.472311943769455,2,1.5686013638973237,,
3,1.3254337012767792,3,1.4956510651111603,,
4,1.1469882130622864,4,1.391052209496498,,
5,0.9783357828855515,5,1.267237281513214,,
6,0.8290550857782364,6,1.1357826227927208,,
7,0.73138228058815,7,1.0144625201313495,,
8,0.6763880848884583,8,0.9130401895584822,,
9,0.6378670334815979,9,0.8304882427354169,,
10,0.6161770969629288,10,0.7661948990036704,,
11,0.5923212617635727,11,0.7140328078316411,,
12,0.5751844495534897,12,0.6723783003481957,,
13,0.5692009180784225,13,0.6414250856672638,,
14,0.549435168504715,14,0.6138281105184991,,
15,0.5235641673207283,15,0.5867489275591679,,
16,0.5294346064329147,16,0.5695546312212919,,
17,0.5061163380742073,17,0.5505231432771666,,
18,0.4968119412660599,18,0.5344097826738345,,
19,0.5021386072039604,19,0.5247284300328723,,
20,0.48757388442754745,20,0.5135820663512749,,
21,0.4914398342370987,21,0.506939396717022,,
22,0.4743300825357437,22,0.49715660246263854,,
23,0.4614811986684799,23,0.486453981324391,,
24,0.46255265176296234,24,0.4792835824559624,,
25,0.46451837569475174,25,0.4748540204275992,,
26,0.4559510871767998,26,0.46918314045235937,,
27,0.45049093663692474,27,0.463575479307729,,
28,0.4488596245646477,28,0.45916072288480464,,
29,0.4720625951886177,29,0.46303128457594855,,
30,0.4356701523065567,30,0.454822944895131,,
31,0.4310440868139267,31,0.44768928747076964,,
32,0.42806582897901535,32,0.44180224992324335,,
33,0.4482812136411667,33,0.44374593903862036,,
34,0.44998760521411896,34,0.44561843889126995,,
35,0.42490409314632416,35,0.4394041351677862,,
36,0.4258200600743294,36,0.43532891263974915,,
37,0.4258595257997513,37,0.4324880965877498,,
38,0.42456191778182983,38,0.4301102429459738,,
39,0.4172256514430046,39,0.426244865495083,,
40,0.4136337786912918,40,0.42246153945394566,,
41,0.4338598772883415,41,0.4258810408042644,,
42,0.4160027354955673,42,0.4229175492116553,,
43,0.4254097566008568,43,0.42366521142841573,,
44,0.41811617463827133,44,0.4220005003913724,,
45,0.40259281545877457,45,0.416178194911593,,
46,0.41782698035240173,46,0.41667283054383564,,
47,0.40269793570041656,47,0.4124803620908099,,
48,0.41364873200654984,48,0.4128308730655319,,
49,0.4050913006067276,49,0.4105090013278906,,
50,0.4060150533914566,50,0.4091608169469604,,
51,0.4040943384170532,51,0.4076408733879882,,
52,0.4038565084338188,52,0.4065055639017374,,
53,0.4038332998752594,53,0.40570388469379404,,
54,0.3976304978132248,54,0.40328186862962323,,
55,0.4054933115839958,55,0.403945301515935,,
56,0.4057554304599762,56,0.40448834019914737,,
57,0.4080078527331352,57,0.4055441939593437,,
58,0.39462171494960785,58,0.4022674502564229,,
59,0.4107575863599777,59,0.40481449108748935,,
60,0.40557337552309036,60,0.40504215641816965,,
61,0.38863760977983475,61,0.40012079242666915,,
62,0.38801800459623337,62,0.3964899560775384,,
63,0.3966892659664154,63,0.3965497490442015,,
64,0.39664436876773834,64,0.39657813496126254,,
65,0.3841993436217308,65,0.392864497559403,,
66,0.39082319289445877,66,0.39225210615991973,,
67,0.39744776487350464,67,0.39381080377399524,,
68,0.38935650885105133,68,0.3924745152971121,,
69,0.3968589976429939,69,0.3937898600008767,,
70,0.3788028433918953,70,0.38929375501818225,,
71,0.3910636380314827,71,0.3898247199221724,,
72,0.3796788826584816,72,0.3867809687430651,,
73,0.392401821911335,73,0.3884672246935461,,
74,0.39253056049346924,74,0.38968622543352305,,
75,0.38064559549093246,75,0.38697403645074585,,
76,0.3810060918331146,76,0.3851836530654565,,
77,0.3810381293296814,77,0.38393999594472394,,
78,0.39091768860816956,78,0.3860333037437576,,
79,0.3831055164337158,79,0.3851549675507451,,
80,0.3916069567203522,80,0.3870905643016272,,
81,0.386284239590168,81,0.3868486668881894,,
82,0.3808493912220001,82,0.3850488841883326,,
83,0.38810455799102783,83,0.3859655863291412,,
84,0.3818333074450493,84,0.3847259026639136,,
85,0.3900209814310074,85,0.3863144262940417,,
86,0.4013504758477211,86,0.39082524116014555,,
87,0.3758261799812317,87,0.3863255228064714,,
88,0.3788955733180046,88,0.3840965379599314,,
89,0.41490644961595535,89,0.39333951145673857,,
90,0.37729422748088837,90,0.3885259262639835,,
91,0.3992907777428627,91,0.3917553817076473,,
92,0.36729946732521057,92,0.3844186073929163,,
93,0.3817382976412773,93,0.38361451446742456,,
94,0.38053613156080246,94,0.3826909995954379,,
95,0.36575377732515335,95,0.3776098329143526,,
96,0.37756771594285965,96,0.3775971978229047,,
97,0.37815122306346893,97,0.3777634053950739,,
98,0.38536030799150467,98,0.3800424761740031,,
99,0.3745082914829254,99,0.37838222076667977,,
100,0.3699100688099861,100,0.3758405751796717,,
101,0.3729803189635277,101,0.3749824983148285,,
102,0.36220645159482956,102,0.37114968429882883,,
103,0.3852359279990196,103,0.37537555740888606,,
104,0.3759749308228493,104,0.37555536943307505,,
105,0.3858136385679245,105,0.3786328501735299,,
106,0.3703972175717354,106,0.37616216039299155,,
107,0.3795580416917801,107,0.3771809247826281,,
108,0.37627194076776505,108,0.37690822957816916,,
109,0.37787430733442307,109,0.3771980529050453,,
110,0.3640388324856758,110,0.37325028677923444,,
111,0.3695193976163864,111,0.37213102003038007,,
112,0.385794036090374,112,0.37622992484837825,,
113,0.38009484112262726,113,0.37738939973065294,,
