"Real NN 0 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,0; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,0; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,0; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,0; Days Elapsed,0 - All data","Averages for Spin Coating,0; Days Elapsed,0","Real NN 0 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 0 for Spin Coating,0; Days Elapsed,1 - All data","Real NN 1 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 1 for Spin Coating,0; Days Elapsed,1 - All data","Real NN 2 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 2 for Spin Coating,0; Days Elapsed,1 - All data","Real NN 3 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 3 for Spin Coating,0; Days Elapsed,1 - All data","Averages for Spin Coating,0; Days Elapsed,1","Real NN 0 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,1; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,1; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,1; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,1; Days Elapsed,0 - All data","Averages for Spin Coating,1; Days Elapsed,0","Real NN 0 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,2; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,2; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,2; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,2; Days Elapsed,0 - All data","Averages for Spin Coating,2; Days Elapsed,0","Real NN 0 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,3; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,3; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,3; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,3; Days Elapsed,0 - All data","Averages for Spin Coating,3; Days Elapsed,0","Real NN 0 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,4; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,4; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,4; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,4; Days Elapsed,0 - All data","Averages for Spin Coating,4; Days Elapsed,0","Real NN 0 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,5; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,5; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,5; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,5; Days Elapsed,0 - All data","Averages for Spin Coating,5; Days Elapsed,0","Real NN 0 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,6; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,6; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,6; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,6; Days Elapsed,0 - All data","Averages for Spin Coating,6; Days Elapsed,0","Real NN 0 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,7; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,7; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,7; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,7; Days Elapsed,0 - All data","Averages for Spin Coating,7; Days Elapsed,0","Real NN 0 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,8; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,8; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,8; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,8; Days Elapsed,0 - All data","Averages for Spin Coating,8; Days Elapsed,0","Real NN 0 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,9; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,9; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,9; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,9; Days Elapsed,0 - All data","Averages for Spin Coating,9; Days Elapsed,0"
6.48,6.030453681945801,6.48,5.687104225158691,6.48,5.969088077545166,6.48,6.444148063659668,6.0326985120773315,0.95,0.9983088970184326,0.95,0.9149951934814453,0.95,0.9377257823944092,0.95,1.1008508205413818,0.9879701733589172,0.95,0.9224660396575928,0.95,0.9861328601837158,0.95,0.9738374948501587,0.95,0.9738997220993042,0.9640840291976929,7.1,6.776122093200684,7.1,6.638918399810791,7.1,7.093247413635254,7.1,6.9301557540893555,6.859610915184021,2.71,2.6935811042785645,2.71,2.837651014328003,2.71,2.648685932159424,2.71,2.3453750610351562,2.631323277950287,3.75,4.26567268371582,3.75,4.140953063964844,3.75,4.131954669952393,3.75,4.053515911102295,4.148024082183838,1.05,1.1463377475738525,1.05,1.0177770853042603,1.05,1.03656804561615,1.05,0.7375306487083435,0.9845533818006516,7.53,6.18687629699707,7.53,5.8845343589782715,7.53,6.2472734451293945,7.53,6.66318941116333,6.245468378067017,0.82,0.8708177804946899,0.82,0.9239380359649658,0.82,1.1974364519119263,0.82,1.1492021083831787,1.0353485941886902,2.37,2.039189100265503,2.37,1.7050800323486328,2.37,1.8141450881958008,2.37,1.7412211894989014,1.8249088525772095,0.95,0.9738904237747192,0.95,0.9314441680908203,0.95,0.9573087692260742,0.95,0.8637264370918274,0.9315924495458603
0.95,0.8083075881004333,0.95,0.823373556137085,0.95,1.5813847780227661,0.95,0.9968683123588562,1.0524835586547852,6.55,6.352205276489258,6.55,5.6556172370910645,6.55,6.551946640014648,6.55,6.197432518005371,6.1893004179000854,6.55,4.8987908363342285,6.55,4.595920085906982,6.55,5.152355670928955,6.55,5.766881465911865,5.103487014770508,0.95,0.8906582593917847,0.95,0.8669359683990479,0.95,1.0286741256713867,0.95,0.8732778429985046,0.914886549115181,0.88,1.0310602188110352,0.88,1.1384336948394775,0.88,1.4024732112884521,0.88,0.803283154964447,1.093812569975853,2.48,3.0307183265686035,2.48,3.265148162841797,2.48,3.7754082679748535,2.48,3.015662670135498,3.271734356880188,0.59,0.6452632546424866,0.59,0.35827088356018066,0.59,1.2288730144500732,0.59,0.7370168566703796,0.74235600233078,0.77,0.6191611886024475,0.77,0.9040927886962891,0.77,0.5236348509788513,0.77,0.6768640875816345,0.6809382289648056,4.54,3.909393787384033,4.54,3.951230764389038,4.54,4.721142292022705,4.54,3.8334734439849854,4.10381007194519,0.95,0.9336140155792236,0.95,0.9865496158599854,0.95,0.9659535884857178,0.95,0.7668340802192688,0.9132378250360489,7.4,5.899285793304443,7.4,5.584661960601807,7.4,5.9455695152282715,7.4,6.391567230224609,5.955271124839783
3.12,3.1363673210144043,3.12,3.003657341003418,3.12,3.4225683212280273,3.12,3.180302619934082,3.185723900794983,0.87,0.9412696957588196,0.87,0.8974425792694092,0.87,0.7173011302947998,0.87,0.7423933744430542,0.8246016949415207,0.95,0.9255062341690063,0.95,0.9743927717208862,0.95,0.954140305519104,0.95,0.8994944095611572,0.9383834302425385,4.32,4.762745380401611,4.32,4.066147327423096,4.32,4.440257549285889,4.32,4.592325210571289,4.465368866920471,0.81,0.7400861978530884,0.81,0.6478947401046753,0.81,0.648834228515625,0.81,0.8429651856422424,0.7199450880289078,0.95,1.0192523002624512,0.95,1.0842125415802002,0.95,0.9031217694282532,0.95,0.8929373621940613,0.9748809933662415,6.06,6.018132209777832,6.06,6.202207088470459,6.06,6.773055076599121,6.06,6.560841083526611,6.388558864593506,6.26,7.441802501678467,6.26,6.5987772941589355,6.26,6.623705863952637,6.26,6.68229341506958,6.836644768714905,4.42,4.942277431488037,4.42,4.335537910461426,4.42,4.528656959533691,4.42,4.710153579711914,4.629156470298767,8.01,8.384822845458984,8.01,8.261983871459961,8.01,9.217217445373535,8.01,7.735289573669434,8.399828433990479,7.53,6.679039001464844,7.53,6.355782508850098,7.53,6.861341953277588,7.53,6.765946865081787,6.665527582168579
0.95,0.9629080295562744,0.95,1.0476975440979004,0.95,0.9366176128387451,0.95,0.8620298504829407,0.9523132592439651,0.95,0.9735156297683716,0.95,0.9766473770141602,0.95,0.9683980941772461,0.95,0.7931971549987793,0.9279395639896393,0.8,0.8150230050086975,0.8,0.8926486968994141,0.8,1.1970493793487549,0.8,0.8977732062339783,0.9506235718727112,6.61,7.2524261474609375,6.61,7.300958633422852,6.61,7.8760457038879395,6.61,7.3548665046691895,7.4460742473602295,0.95,0.9739962816238403,0.95,0.942194938659668,0.95,0.9677367210388184,0.95,0.9461352229118347,0.9575157910585403,0.95,0.9182658195495605,0.95,0.8642599582672119,0.95,0.9819953441619873,0.95,0.8725242614746094,0.9092613458633423,2.62,1.7740185260772705,2.62,1.6173591613769531,2.62,2.337954044342041,2.62,1.3457415103912354,1.768768310546875,0.95,0.9513558149337769,0.95,1.1643457412719727,0.95,0.9469772577285767,0.95,0.9511677622795105,1.0034616440534592,3.37,3.007319927215576,3.37,3.1111061573028564,3.37,3.2786684036254883,3.37,2.955188274383545,3.0880706906318665,0.87,0.8654507994651794,0.87,1.0224006175994873,0.87,0.8854382038116455,0.87,0.7375656962394714,0.8777138292789459,0.95,0.9071908593177795,0.95,0.9719634056091309,0.95,1.0447458028793335,0.95,0.8681973218917847,0.9480243474245071
6.26,6.492919921875,6.26,7.08948278427124,6.26,6.7682929039001465,6.26,6.467865467071533,6.70464026927948,1.05,1.2202765941619873,1.05,1.0031386613845825,1.05,1.044836401939392,1.05,0.6162363886833191,0.9711220115423203,2.72,2.018225908279419,2.72,2.166177272796631,2.72,2.054900646209717,2.72,2.2342612743377686,2.118391275405884,6.69,6.744478225708008,6.69,6.468791961669922,6.69,7.215397834777832,6.69,6.839494705200195,6.817040681838989,0.87,0.8898164629936218,0.87,0.7175374031066895,0.87,0.6526959538459778,0.87,0.8572967648506165,0.7793366461992264,0.95,0.9340032339096069,0.95,0.8729689121246338,0.95,1.064376950263977,0.95,0.8634054660797119,0.9336886405944824,7.62,7.57819938659668,7.62,7.441402912139893,7.62,8.160850524902344,7.62,8.13134765625,7.827950119972229,5.27,4.976264953613281,5.27,4.937465190887451,5.27,4.778106212615967,5.27,4.886541843414307,4.8945945501327515,6.64,5.949341297149658,6.64,6.1149725914001465,6.64,6.800197124481201,6.64,6.325538635253906,6.297512412071228,4.7,4.870415687561035,4.7,5.00864839553833,4.7,4.581618785858154,4.7,4.895911693572998,4.839148640632629,5.79,6.102911472320557,5.79,5.5831193923950195,5.79,6.036398887634277,5.79,5.97166109085083,5.923522710800171
2.48,2.5529561042785645,2.48,2.2398531436920166,2.48,3.205643653869629,2.48,2.1150240898132324,2.5283692479133606,7.12,6.935451507568359,7.12,6.634979724884033,7.12,7.52944278717041,7.12,6.910280704498291,7.002538681030273,0.95,0.9683674573898315,0.95,0.8668057918548584,0.95,0.9406255483627319,0.95,0.7475220561027527,0.8808302134275436,6.26,6.450084686279297,6.26,6.795355319976807,6.26,6.718435287475586,6.26,6.430871486663818,6.598686695098877,2.72,2.1777408123016357,2.72,2.123767137527466,2.72,2.1707470417022705,2.72,2.167823553085327,2.160019636154175,2.62,3.0200273990631104,2.62,2.573030471801758,2.62,2.7704601287841797,2.62,2.7785494327545166,2.785516858100891,4.35,5.316629409790039,4.35,3.7753756046295166,4.35,5.904245376586914,4.35,6.959456443786621,5.488926708698273,0.84,0.880121111869812,0.84,0.9972777366638184,0.84,1.0259604454040527,0.84,0.941570520401001,0.961232453584671,0.95,0.9394406080245972,0.95,1.0741817951202393,0.95,0.8944489359855652,0.95,0.9296417832374573,0.9594282805919647,0.95,0.9485775232315063,0.95,0.9759085178375244,0.95,0.9514299035072327,0.95,0.9104855060577393,0.9466003626585007,4.51,4.166863918304443,4.51,4.063096046447754,4.51,3.9229607582092285,4.51,4.306979656219482,4.114975094795227
0.95,-0.04963791370391846,0.95,0.2550508975982666,0.95,0.7537935972213745,0.95,-0.3170689344406128,0.16053441166877747,0.86,1.0768656730651855,0.86,1.4415372610092163,0.86,1.3712880611419678,0.86,1.0064456462860107,1.224034160375595,0.95,0.9497482776641846,0.95,0.7767565250396729,0.95,0.9392228126525879,0.95,0.8959108591079712,0.8904096186161041,0.77,0.6198223233222961,0.77,1.0190322399139404,0.77,0.552706241607666,0.77,0.7282024621963501,0.7299408167600632,9.45,8.981990814208984,9.45,8.54712963104248,9.45,9.690169334411621,9.45,8.833854675292969,9.013286113739014,0.97,1.2358739376068115,0.97,1.2073328495025635,0.97,1.4676039218902588,0.97,1.0420957803726196,1.2382266223430634,4.52,3.1825733184814453,4.52,3.141472339630127,4.52,3.276184558868408,4.52,3.8849925994873047,3.3713057041168213,5.06,4.102422714233398,5.06,3.6990795135498047,5.06,3.921189785003662,5.06,4.036828517913818,3.939880132675171,,,,,,,,,,0.95,0.9406001567840576,0.95,1.0710105895996094,0.95,0.9245878458023071,0.95,0.8464082479476929,0.9456517100334167,0.68,0.7504034638404846,0.68,0.7878279685974121,0.68,0.9957032203674316,0.68,0.7303857207298279,0.8160800933837891
0.95,0.9162123799324036,0.95,0.8782000541687012,0.95,0.9803643226623535,0.95,0.8965238332748413,0.9178251475095749,4.83,5.793495178222656,4.83,5.558379650115967,4.83,5.652791976928711,4.83,6.230514049530029,5.808795213699341,0.6,0.6452422738075256,0.6,1.0085811614990234,0.6,0.8099641799926758,0.6,0.16268938779830933,0.6566192507743835,2.79,3.283247470855713,2.79,2.4142417907714844,2.79,2.0797266960144043,2.79,2.4673402309417725,2.5611390471458435,2.48,3.2235355377197266,2.48,2.9763925075531006,2.48,3.6858482360839844,2.48,2.4818525314331055,3.0919072031974792,6.08,6.008058547973633,6.08,5.337591171264648,6.08,6.111438274383545,6.08,5.380255699157715,5.709335923194885,0.96,1.2163478136062622,0.96,1.1535205841064453,0.96,1.5261576175689697,0.96,0.8958856463432312,1.1979779154062271,4.33,4.045986175537109,4.33,3.796297311782837,4.33,3.85701322555542,4.33,4.047290325164795,3.9366467595100403,,,,,,,,,,0.95,0.956549346446991,0.95,1.0355455875396729,0.95,1.031287670135498,0.95,0.8488190174102783,0.96805040538311,1.42,1.5666332244873047,1.42,1.524290680885315,1.42,1.55713951587677,1.42,1.5198067426681519,1.5419675409793854
0.95,0.9833160638809204,0.95,1.0065197944641113,0.95,0.9332457184791565,0.95,0.9560075402259827,0.9697722792625427,1.93,1.441441535949707,1.93,1.709207534790039,1.93,1.8971445560455322,1.93,1.812851905822754,1.715161383152008,0.95,0.8869285583496094,0.95,0.8941966891288757,0.95,1.0792710781097412,0.95,0.27261292934417725,0.7832523137331009,2.71,2.7452917098999023,2.71,2.7977607250213623,2.71,2.636167049407959,2.71,2.3631412982940674,2.6355901956558228,4.4,4.418549060821533,4.4,3.9756572246551514,4.4,4.310407638549805,4.4,4.377410888671875,4.270506203174591,,,,,,,,,,3.1,2.887970209121704,3.1,2.5591094493865967,3.1,3.517608642578125,3.1,2.563880205154419,2.882142126560211,0.95,0.9702555537223816,0.95,1.0994763374328613,0.95,0.9671885967254639,0.95,0.9811602830886841,1.0045201927423477,,,,,,,,,,7.94,7.347282409667969,7.94,8.094194412231445,7.94,8.081071853637695,7.94,7.665252208709717,7.7969502210617065,0.69,0.1828332543373108,0.69,0.32832735776901245,0.69,0.8398195505142212,0.69,0.40381568670272827,0.4386989623308182
0.84,0.9116136431694031,0.84,0.6610502004623413,0.84,0.7108210325241089,0.84,0.5907532572746277,0.7185595333576202,0.95,0.9282693862915039,0.95,1.0383696556091309,0.95,1.0222148895263672,0.95,0.8615411520004272,0.9625987708568573,,,,,,,,,,,,,,,,,,,0.6,0.8748684525489807,0.6,0.8348445892333984,0.6,0.8788731098175049,0.6,0.6424521207809448,0.8077595680952072,,,,,,,,,,1.5,1.2998533248901367,1.5,1.5158355236053467,1.5,1.4581695795059204,1.5,1.5682554244995117,1.4605284631252289,0.68,0.7021673321723938,0.68,0.699657678604126,0.68,0.5824330449104309,0.68,0.9216032028198242,0.7264653146266937,,,,,,,,,,1.38,1.8009979724884033,1.38,1.5572946071624756,1.38,1.6481393575668335,1.38,1.190800428390503,1.5493080914020538,0.56,0.7575467228889465,0.56,1.1278929710388184,0.56,0.9663394689559937,0.56,0.3422178626060486,0.7984992563724518
