"Real NN 0 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,0; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,0; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,0; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,0; Days Elapsed,0 - All data","Averages for Spin Coating,0; Days Elapsed,0","Real NN 0 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 0 for Spin Coating,0; Days Elapsed,1 - All data","Real NN 1 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 1 for Spin Coating,0; Days Elapsed,1 - All data","Real NN 2 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 2 for Spin Coating,0; Days Elapsed,1 - All data","Real NN 3 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 3 for Spin Coating,0; Days Elapsed,1 - All data","Averages for Spin Coating,0; Days Elapsed,1","Real NN 0 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,1; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,1; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,1; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,1; Days Elapsed,0 - All data","Averages for Spin Coating,1; Days Elapsed,0","Real NN 0 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,2; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,2; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,2; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,2; Days Elapsed,0 - All data","Averages for Spin Coating,2; Days Elapsed,0","Real NN 0 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,3; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,3; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,3; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,3; Days Elapsed,0 - All data","Averages for Spin Coating,3; Days Elapsed,0","Real NN 0 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,4; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,4; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,4; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,4; Days Elapsed,0 - All data","Averages for Spin Coating,4; Days Elapsed,0","Real NN 0 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,5; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,5; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,5; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,5; Days Elapsed,0 - All data","Averages for Spin Coating,5; Days Elapsed,0","Real NN 0 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,6; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,6; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,6; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,6; Days Elapsed,0 - All data","Averages for Spin Coating,6; Days Elapsed,0","Real NN 0 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,7; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,7; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,7; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,7; Days Elapsed,0 - All data","Averages for Spin Coating,7; Days Elapsed,0","Real NN 0 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,8; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,8; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,8; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,8; Days Elapsed,0 - All data","Averages for Spin Coating,8; Days Elapsed,0","Real NN 0 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,9; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,9; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,9; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,9; Days Elapsed,0 - All data","Averages for Spin Coating,9; Days Elapsed,0"
3.62,2.5963006019592285,3.62,3.1566178798675537,3.62,3.4579174518585205,3.62,3.90158748626709,3.278105854988098,0.95,0.9281131029129028,0.95,0.8240213990211487,0.95,0.9594029188156128,0.95,0.9658917188644409,0.9193572849035263,0.95,0.9215119481086731,0.95,0.844526469707489,0.95,1.0937023162841797,0.95,0.9582045078277588,0.9544863104820251,8.02,8.068469047546387,8.02,8.03366470336914,8.02,8.787693977355957,8.02,8.554798126220703,8.361156463623047,1.42,1.2435582876205444,1.42,1.4183106422424316,1.42,1.4997913837432861,1.42,1.172203779220581,1.3334660232067108,6.47,5.488533020019531,6.47,5.277431488037109,6.47,5.538732051849365,6.47,6.343850135803223,5.662136673927307,0.56,0.4039396047592163,0.56,0.6015584468841553,0.56,0.18658417463302612,0.56,0.7398936152458191,0.4829939603805542,3.2,3.843555450439453,3.2,4.003696441650391,3.2,4.405679702758789,3.2,4.252551078796387,4.126370668411255,4.1,4.2139506340026855,4.1,3.976898193359375,4.1,5.799648284912109,4.1,6.670020580291748,5.1651294231414795,0.6,0.32469069957733154,0.6,0.06362020969390869,0.6,0.5992442965507507,0.6,0.6374736428260803,0.4062572121620178,0.87,0.8159087896347046,0.87,0.9427729845046997,0.87,0.9510905146598816,0.87,0.7719307541847229,0.8704257607460022
0.95,0.4172571897506714,0.95,0.7381930351257324,0.95,0.8919488787651062,0.95,1.159721851348877,0.8017802387475967,0.95,0.8856835961341858,0.95,0.7909519672393799,0.95,1.019601583480835,0.95,0.9642891883850098,0.9151315838098526,0.87,0.8397131562232971,0.87,0.822265088558197,0.87,0.9082891345024109,0.87,0.8971160650253296,0.8668458610773087,6.47,6.345152378082275,6.47,6.707124710083008,6.47,6.777751445770264,6.47,6.642768383026123,6.6181992292404175,6.5,6.451288223266602,6.5,6.25462007522583,6.5,6.637664794921875,6.5,6.143907070159912,6.371870040893555,0.68,0.49992501735687256,0.68,0.7116637229919434,0.68,0.5917383432388306,0.68,0.7287147045135498,0.6330104470252991,5.0,6.206462383270264,5.0,5.755552768707275,5.0,6.721632957458496,5.0,6.478254318237305,6.290475606918335,0.95,0.7692621946334839,0.95,0.7467198371887207,0.95,0.742968738079071,0.95,0.9201900362968445,0.79478520154953,3.64,3.656552791595459,3.64,3.6725516319274902,3.64,3.676605701446533,3.64,3.9346537590026855,3.735090970993042,1.49,1.6009873151779175,1.49,1.4761440753936768,1.49,1.647376298904419,1.49,1.548497200012207,1.568251222372055,8.39,8.514106750488281,8.39,8.46341323852539,8.39,8.521492004394531,8.39,7.951218128204346,8.362557530403137
4.68,5.150888442993164,4.68,4.7346673011779785,4.68,4.9867777824401855,4.68,5.146490573883057,5.004706025123596,1.93,1.9555143117904663,1.93,1.940840482711792,1.93,1.8533098697662354,1.93,1.9034230709075928,1.9132719337940216,8.71,8.27218246459961,8.71,7.952922821044922,8.71,7.977085590362549,8.71,7.428388595581055,7.907644867897034,0.85,0.6221379041671753,0.85,0.9524143934249878,0.85,0.6396648287773132,0.85,0.8802986145019531,0.7736289352178574,0.95,0.4898017644882202,0.95,0.7009997367858887,0.95,0.8694884181022644,0.95,1.1618449687957764,0.8055337220430374,1.05,0.8493242859840393,1.05,0.8885836601257324,1.05,0.9215666651725769,1.05,0.9083912372589111,0.8919664621353149,4.51,4.354448318481445,4.51,4.24002742767334,4.51,4.340016841888428,4.51,4.432925701141357,4.341854572296143,0.84,0.8129759430885315,0.84,0.8214994668960571,0.84,0.8983556628227234,0.84,0.8572913408279419,0.8475306034088135,8.71,8.292976379394531,8.71,7.9797444343566895,8.71,7.988085746765137,8.71,7.452880382537842,7.92842173576355,4.1,5.049236297607422,4.1,4.733209133148193,4.1,4.69694709777832,4.1,4.893603801727295,4.843249082565308,0.95,1.0955567359924316,0.95,1.0710835456848145,0.95,0.9888625741004944,0.95,0.9366227388381958,1.023031398653984
0.95,0.9301828145980835,0.95,0.8345613479614258,0.95,0.943309485912323,0.95,0.9750916957855225,0.9207863360643387,0.7,0.6963094472885132,0.7,0.5839700698852539,0.7,0.6745969653129578,0.7,0.7401424050331116,0.6737547218799591,0.95,0.902392566204071,0.95,0.9108394384384155,0.95,1.0054643154144287,0.95,0.9573091864585876,0.9440013766288757,4.01,4.2465901374816895,4.01,4.013744831085205,4.01,4.175961971282959,4.01,4.219491958618164,4.163947224617004,0.95,0.8145372271537781,0.95,0.7586125135421753,0.95,0.972736120223999,0.95,0.9808449745178223,0.8816827088594437,0.95,0.6879333257675171,0.95,0.8247857093811035,0.95,0.9239646792411804,0.95,1.0715703964233398,0.8770635277032852,6.06,6.004000663757324,6.06,5.998359203338623,6.06,6.204176425933838,6.06,6.345839977264404,6.138094067573547,0.95,0.8320590257644653,0.95,0.754095196723938,0.95,0.9673648476600647,0.95,0.9677400588989258,0.8803147822618484,5.9,5.627865791320801,5.9,5.595268249511719,5.9,5.8146233558654785,5.9,5.980379581451416,5.7545342445373535,1.1,-0.4095548391342163,1.1,0.24326860904693604,1.1,0.3832494616508484,1.1,1.1790266036987305,0.34899745881557465,0.75,0.5920809507369995,0.75,0.6993668079376221,0.75,0.8121131062507629,0.75,0.7405792474746704,0.7110350281000137
0.95,0.7487448453903198,0.95,0.8238024711608887,0.95,0.8421093821525574,0.95,1.0129210948944092,0.8568944483995438,0.95,0.8041089773178101,0.95,0.6700214147567749,0.95,0.8842232823371887,0.95,0.996458113193512,0.8387029469013214,4.85,3.864088535308838,4.85,4.597380638122559,4.85,4.946901321411133,4.85,6.053929805755615,4.865575075149536,0.94,0.8458752036094666,0.94,1.030707597732544,0.94,0.8188390135765076,0.94,0.7916314601898193,0.8717633187770844,6.06,6.014348983764648,6.06,6.101841926574707,6.06,6.220444202423096,6.06,6.375281810760498,6.177979230880737,7.62,7.575749397277832,7.62,7.758508205413818,7.62,7.555552005767822,7.62,8.240843772888184,7.782663345336914,0.95,0.9074315428733826,0.95,0.8562325835227966,0.95,0.9390926361083984,0.95,0.978435754776001,0.9202981293201447,1.04,0.6653753519058228,1.04,0.6008328199386597,1.04,0.7655298113822937,1.04,0.7208173274993896,0.6881388276815414,1.63,1.5681854486465454,1.63,1.950629472732544,1.63,1.7919964790344238,1.63,1.901322841644287,1.80303356051445,4.4,4.310286998748779,4.4,4.295221328735352,4.4,4.355260372161865,4.4,4.339822292327881,4.325147747993469,5.98,6.411433696746826,5.98,6.993767261505127,5.98,5.835119247436523,5.98,6.540343761444092,6.445165991783142
0.95,0.9229543209075928,0.95,0.8409938812255859,0.95,1.0084102153778076,0.95,0.9757441282272339,0.937025636434555,2.8,4.228169918060303,2.8,4.637906551361084,2.8,4.993353366851807,2.8,4.719822883605957,4.644813179969788,0.95,0.49423253536224365,0.95,0.7063393592834473,0.95,0.8736640810966492,0.95,1.080869436264038,0.7887763530015945,4.38,4.581972599029541,4.38,4.293637752532959,4.38,4.322132587432861,4.38,4.281167507171631,4.369727611541748,0.82,0.9637926816940308,0.82,0.20189142227172852,0.82,0.689703643321991,0.82,0.8661726713180542,0.6803901046514511,0.86,0.4416753053665161,0.86,0.5077190399169922,0.86,0.24197429418563843,0.86,0.8129079937934875,0.5010691583156586,0.7,0.6418875455856323,0.7,0.935135006904602,0.7,0.6287509799003601,0.7,0.8785368800163269,0.7710776031017303,0.95,0.8653814792633057,0.95,0.8361393213272095,0.95,0.8066316246986389,0.95,0.9702411890029907,0.8695984035730362,5.1,5.165073871612549,5.1,5.059865951538086,5.1,5.088985919952393,5.1,5.1199049949646,5.108457684516907,4.1,3.9769539833068848,4.1,3.941009998321533,4.1,3.792320489883423,4.1,4.212410926818848,3.980673849582672,0.95,0.05242311954498291,0.95,0.37255728244781494,0.95,0.5738022327423096,0.95,1.1344573497772217,0.5333099961280823
3.6,3.2564520835876465,3.6,3.0114641189575195,3.6,3.3524367809295654,3.6,3.356386423110962,3.2441848516464233,0.7,0.9127918481826782,0.7,0.8869868516921997,0.7,0.8406645655632019,0.7,0.8431360721588135,0.8708948343992233,1.05,0.8397009372711182,1.05,0.8282219171524048,1.05,0.8952228426933289,1.05,0.8801504969596863,0.8608240485191345,3.2,4.426089763641357,3.2,3.9687514305114746,3.2,4.0350189208984375,3.2,4.503154277801514,4.233253598213196,3.18,3.3151297569274902,3.18,3.484722137451172,3.18,3.978214979171753,3.18,3.6623706817626953,3.6101093888282776,1.04,0.8584600687026978,1.04,0.7607816457748413,1.04,0.6691190600395203,1.04,1.460721731185913,0.9372706264257431,0.95,0.9567934274673462,0.95,0.8730387687683105,0.95,0.7420290112495422,0.95,0.9325926899909973,0.8761134743690491,6.15,5.692419528961182,6.15,5.5841522216796875,6.15,5.8324079513549805,6.15,6.00912618637085,5.779526472091675,0.95,0.8911294341087341,0.95,0.8732918500900269,0.95,0.9610078930854797,0.95,0.9584673643112183,0.9209741353988647,0.95,0.8956851363182068,0.95,0.8878315687179565,0.95,0.9943444132804871,0.95,0.959496259689331,0.9343393445014954,0.56,0.4628795385360718,0.56,0.26952552795410156,0.56,0.7222766280174255,0.56,0.7325571775436401,0.5468097180128098
0.95,0.8881491422653198,0.95,0.8412691950798035,0.95,1.0381869077682495,0.95,0.9625321626663208,0.9325343519449234,5.98,5.921627044677734,5.98,5.902103900909424,5.98,6.048053741455078,5.98,5.891253471374512,5.940759539604187,0.95,1.036342978477478,0.95,0.770204484462738,0.95,1.0829687118530273,0.95,0.9492571353912354,0.9596933275461197,2.93,3.6324992179870605,2.93,3.0227415561676025,2.93,3.552539587020874,2.93,3.739995241165161,3.4869439005851746,0.95,0.5361560583114624,0.95,0.6174683570861816,0.95,0.8435794711112976,0.95,1.0592707395553589,0.7641186565160751,0.82,0.8329159021377563,0.82,0.2405407428741455,0.82,0.7790433764457703,0.82,0.9034385681152344,0.6889846473932266,0.93,0.6785489320755005,0.93,0.7215902805328369,0.93,0.6950327754020691,0.93,0.8590415716171265,0.7385533899068832,4.1,3.48075532913208,4.1,3.633477210998535,4.1,3.4789505004882812,4.1,3.6329574584960938,3.5565351247787476,0.7,0.4276217222213745,0.7,0.4393174648284912,0.7,0.7687603831291199,0.7,0.5360336303710938,0.5429333001375198,1.49,1.3390871286392212,1.49,1.4776005744934082,1.49,1.5740501880645752,1.49,1.5712754726409912,1.490503340959549,0.95,0.6933978796005249,0.95,0.737562894821167,0.95,0.7862111926078796,0.95,0.8392615914344788,0.7641083896160126
1.49,1.103961706161499,1.49,1.4200961589813232,1.49,1.5681710243225098,1.49,2.485581636428833,1.6444526314735413,3.18,3.4946341514587402,3.18,4.2269086837768555,3.18,3.5794620513916016,3.18,4.470349311828613,3.9428385496139526,6.12,5.529109001159668,6.12,5.919828414916992,6.12,5.41217565536499,6.12,6.00726842880249,5.717095375061035,4.36,4.32781982421875,4.36,4.351705551147461,4.36,4.37446928024292,4.36,4.353210926055908,4.35180139541626,7.89,8.058156967163086,7.89,7.857505798339844,7.89,8.24968147277832,7.89,8.222240447998047,8.096896171569824,3.64,3.585002899169922,3.64,3.6710474491119385,3.64,3.5886878967285156,3.64,3.7258358001708984,3.6426435112953186,4.52,4.347875595092773,4.52,4.256966590881348,4.52,4.347872257232666,4.52,4.326147079467773,4.31971538066864,4.7,6.393621444702148,4.7,6.724706172943115,4.7,6.5527448654174805,4.7,7.827305793762207,6.874594569206238,0.87,0.9126951098442078,0.87,0.8910189867019653,0.87,0.8790175318717957,0.87,0.8975733518600464,0.8950762450695038,6.15,5.692419528961182,6.15,5.5841522216796875,6.15,5.8324079513549805,6.15,6.00912618637085,5.779526472091675,0.85,0.6788901090621948,0.85,1.0017703771591187,0.85,0.6382524371147156,0.85,0.8962968587875366,0.8038024455308914
0.77,0.40255963802337646,0.77,0.5619056224822998,0.77,0.7065045237541199,0.77,0.7806534767150879,0.612905815243721,4.01,3.9076738357543945,4.01,4.0785231590271,4.01,3.8739523887634277,4.01,4.2223124504089355,4.020615458488464,7.89,8.077947616577148,7.89,7.855262756347656,7.89,8.194955825805664,7.89,8.226869583129883,8.088758945465088,0.82,0.7826987504959106,0.82,0.2826263904571533,0.82,0.8102986216545105,0.82,0.9135823249816895,0.697301521897316,0.73,0.7858957052230835,0.73,0.9306199550628662,0.73,0.929416835308075,0.73,1.0149269104003906,0.9152148514986038,0.95,0.9378354549407959,0.95,0.9049811363220215,0.95,0.8098328113555908,0.95,0.956071138381958,0.9021801352500916,0.95,0.44346845149993896,0.95,0.6945505142211914,0.95,1.0070514678955078,0.95,0.8924970626831055,0.7593918740749359,1.42,1.1703037023544312,1.42,1.4043961763381958,1.42,1.4468162059783936,1.42,1.507817029953003,1.3823332786560059,0.81,0.9910948872566223,0.81,0.7423546314239502,0.81,0.8526353240013123,0.81,0.8901177644729614,0.8690506517887115,0.95,0.9373704791069031,0.95,0.8572807908058167,0.95,0.8864226341247559,0.95,0.9573121070861816,0.9095965027809143,4.5,4.256900310516357,4.5,4.393776893615723,4.5,4.363032817840576,4.5,4.348931789398193,4.340660452842712
