"Real NN 0 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,0; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,0; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,0; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,0; Days Elapsed,0 - All data","Averages for Spin Coating,0; Days Elapsed,0","Real NN 0 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 0 for Spin Coating,0; Days Elapsed,1 - All data","Real NN 1 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 1 for Spin Coating,0; Days Elapsed,1 - All data","Real NN 2 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 2 for Spin Coating,0; Days Elapsed,1 - All data","Real NN 3 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 3 for Spin Coating,0; Days Elapsed,1 - All data","Averages for Spin Coating,0; Days Elapsed,1","Real NN 0 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,1; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,1; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,1; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,1; Days Elapsed,0 - All data","Averages for Spin Coating,1; Days Elapsed,0","Real NN 0 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,2; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,2; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,2; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,2; Days Elapsed,0 - All data","Averages for Spin Coating,2; Days Elapsed,0","Real NN 0 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,3; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,3; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,3; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,3; Days Elapsed,0 - All data","Averages for Spin Coating,3; Days Elapsed,0","Real NN 0 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,4; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,4; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,4; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,4; Days Elapsed,0 - All data","Averages for Spin Coating,4; Days Elapsed,0","Real NN 0 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,5; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,5; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,5; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,5; Days Elapsed,0 - All data","Averages for Spin Coating,5; Days Elapsed,0","Real NN 0 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,6; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,6; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,6; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,6; Days Elapsed,0 - All data","Averages for Spin Coating,6; Days Elapsed,0","Real NN 0 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,7; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,7; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,7; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,7; Days Elapsed,0 - All data","Averages for Spin Coating,7; Days Elapsed,0","Real NN 0 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,8; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,8; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,8; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,8; Days Elapsed,0 - All data","Averages for Spin Coating,8; Days Elapsed,0","Real NN 0 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,9; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,9; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,9; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,9; Days Elapsed,0 - All data","Averages for Spin Coating,9; Days Elapsed,0"
0.75,0.5165284276008606,0.75,0.4363165497779846,0.75,0.7837044596672058,0.75,0.8222366571426392,0.6396965235471725,0.95,0.7118349671363831,0.95,0.7594908475875854,0.95,0.992884635925293,0.95,0.9011493921279907,0.841339960694313,3.37,3.0775041580200195,3.37,2.9729342460632324,3.37,3.366588592529297,3.37,3.1930785179138184,3.152526378631592,0.95,1.044990062713623,0.95,0.8842700719833374,0.95,0.9370461702346802,0.95,0.8356584310531616,0.9254911839962006,0.86,1.237522840499878,0.86,0.5804191827774048,0.86,0.9050459861755371,0.86,0.812968373298645,0.8839890956878662,0.95,1.0957200527191162,0.95,0.62712562084198,0.95,1.063366174697876,0.95,0.8983842730522156,0.9211490303277969,0.95,0.9108403921127319,0.95,1.0345276594161987,0.95,0.9633594155311584,0.95,1.0034161806106567,0.9780359119176865,4.36,4.927780628204346,4.36,5.1295342445373535,4.36,5.431999683380127,4.36,5.45095157623291,5.235066533088684,0.93,0.49622029066085815,0.93,0.6411887407302856,0.93,0.7747426629066467,0.93,0.802971601486206,0.6787808239459991,0.69,0.4713148772716522,0.69,0.3737257719039917,0.69,0.6967529654502869,0.69,0.7155543565750122,0.5643369928002357,0.68,0.654110848903656,0.68,1.033843755722046,0.68,0.8924018740653992,0.68,1.027459979057312,0.9019541144371033
0.95,0.8929337859153748,0.95,0.7417992353439331,0.95,1.025899887084961,0.95,0.9817612171173096,0.9105985313653946,4.52,4.616720199584961,4.52,4.3522233963012695,4.52,4.513504981994629,4.52,4.538444995880127,4.505223393440247,4.31,4.597307205200195,4.31,4.42131233215332,4.31,4.530874729156494,4.31,4.671000957489014,4.555123805999756,1.49,1.3404722213745117,1.49,1.348751425743103,1.49,1.2385053634643555,1.49,1.6744095087051392,1.4005346298217773,0.95,0.9208127856254578,0.95,0.7139285802841187,0.95,1.082005500793457,0.95,0.9096951484680176,0.9066105037927628,3.64,3.8611507415771484,3.64,3.3056774139404297,3.64,3.907343864440918,3.64,3.7975010871887207,3.717918276786804,4.8,4.572165012359619,4.8,5.814950942993164,4.8,4.6816020011901855,4.8,5.274196147918701,5.0857285261154175,0.95,1.0402398109436035,0.95,0.6236284971237183,0.95,1.0517315864562988,0.95,0.8743875622749329,0.8974968641996384,7.89,7.436583042144775,7.89,7.581419944763184,7.89,6.715149879455566,7.89,7.302704334259033,7.25896430015564,8.4,8.317426681518555,8.4,9.243764877319336,8.4,8.560419082641602,8.4,9.360881805419922,8.870623111724854,0.95,0.9097332954406738,0.95,0.5766762495040894,0.95,1.0994853973388672,0.95,0.867129385471344,0.8632560819387436
4.2,4.614886283874512,4.2,3.9038400650024414,4.2,4.124334812164307,4.2,4.150573253631592,4.198408603668213,4.88,4.930314064025879,4.88,5.4092864990234375,4.88,5.620896816253662,4.88,5.533421039581299,5.373479604721069,0.7,0.9963254928588867,0.7,0.9256680011749268,0.7,0.7716661095619202,0.7,0.7670141458511353,0.8651684373617172,5.1,4.778371334075928,5.1,5.042642593383789,5.1,5.495532512664795,5.1,5.607454299926758,5.231000185012817,4.02,3.307056427001953,4.02,3.6523489952087402,4.02,4.1550140380859375,4.02,4.15000581741333,3.8161063194274902,0.95,0.7994733452796936,0.95,0.8235286474227905,0.95,0.8762085437774658,0.95,0.6959430575370789,0.7987883985042572,6.47,6.093628883361816,6.47,6.133945465087891,6.47,6.656093597412109,6.47,6.7289605140686035,6.403157114982605,4.1,4.150034427642822,4.1,4.156636714935303,4.1,5.169870853424072,4.1,4.367030620574951,4.460893154144287,7.89,7.698948383331299,7.89,8.041216850280762,7.89,7.9933695793151855,7.89,8.104525566101074,7.95951509475708,3.2,4.704251289367676,3.2,4.607238292694092,3.2,5.494357109069824,3.2,5.065571308135986,4.9678544998168945,0.95,0.8592287302017212,0.95,0.6682537794113159,0.95,1.0842225551605225,0.95,0.8574635982513428,0.8672921657562256
0.95,0.5836898684501648,0.95,0.7935968637466431,0.95,1.080705165863037,0.95,0.93058180809021,0.8471434265375137,0.95,1.0373108386993408,0.95,0.6247175931930542,0.95,1.0522809028625488,0.95,0.8694189190864563,0.89593206346035,3.95,4.082154750823975,3.95,4.026947021484375,3.95,4.291062831878662,3.95,4.141896724700928,4.135515332221985,0.87,0.8908612728118896,0.87,0.7630362510681152,0.87,0.9398189187049866,0.87,0.9252623915672302,0.8797447085380554,8.71,7.798098087310791,8.71,7.478721618652344,8.71,8.174179077148438,8.71,8.0095796585083,7.865144610404968,0.95,0.8915987610816956,0.95,0.9949949979782104,0.95,1.0299463272094727,0.95,0.9055253267288208,0.9555163532495499,0.95,0.9092021584510803,0.95,0.66905677318573,0.95,1.0339550971984863,0.95,0.9752587676048279,0.8968681991100311,4.52,4.409254550933838,4.52,4.327193737030029,4.52,4.476474285125732,4.52,4.568100452423096,4.445255756378174,1.1,1.2704486846923828,1.1,1.175887942314148,1.1,1.0791752338409424,1.1,1.1197701692581177,1.1613205075263977,0.97,0.9254806637763977,0.97,1.0897389650344849,0.97,0.9683376550674438,0.97,1.3542839288711548,1.0844603031873703,0.69,0.586350679397583,0.69,0.5004276037216187,0.69,0.6967529654502869,0.69,0.6889078617095947,0.6181097775697708
8.6,9.086885452270508,8.6,8.268061637878418,8.6,8.676997184753418,8.6,8.540974617004395,8.643229722976685,0.95,0.9296054244041443,0.95,0.5678843259811401,0.95,1.094562292098999,0.95,0.911804735660553,0.8759641945362091,5.27,4.414997577667236,5.27,4.77693510055542,5.27,5.088921546936035,5.27,4.793880939483643,4.7686837911605835,0.56,0.5712417960166931,0.56,0.6474429368972778,0.56,0.8230172395706177,0.56,0.539063572883606,0.6451913863420486,6.26,6.7339768409729,6.26,6.375189304351807,6.26,7.268299102783203,6.26,7.65322208404541,7.00767183303833,0.81,0.972230076789856,0.81,0.8246620893478394,0.81,0.6034082770347595,0.81,1.0059624910354614,0.8515657335519791,7.1,5.445327281951904,7.1,5.827960014343262,7.1,5.637302875518799,7.1,5.97463846206665,5.721307158470154,0.95,0.776847243309021,0.95,0.901556134223938,0.95,1.0041556358337402,0.95,1.0130412578582764,0.9239000678062439,0.95,0.759784996509552,0.95,0.7751585245132446,0.95,1.003103256225586,0.95,0.9533843994140625,0.8728577941656113,1.63,1.3291897773742676,1.63,1.4514273405075073,1.63,1.7966721057891846,1.63,1.682167410850525,1.564864158630371,2.8,2.7765212059020996,2.8,3.584259033203125,2.8,3.449186086654663,2.8,3.500835418701172,3.327700436115265
3.04,2.5949668884277344,3.04,2.599937915802002,3.04,2.7963576316833496,3.04,2.8542122840881348,2.711368680000305,6.06,5.23389196395874,6.06,5.05466365814209,6.06,6.062758445739746,6.06,6.3149518966674805,5.666566491127014,0.84,0.8524138927459717,0.84,0.7385919690132141,0.84,0.8846542239189148,0.84,0.8710993528366089,0.8366898596286774,0.76,0.7235603928565979,0.76,0.2596849203109741,0.76,0.3791285753250122,0.76,0.5040115714073181,0.4665963649749756,0.59,0.5208221077919006,0.59,0.5955647230148315,0.59,0.6967529654502869,0.59,0.49748146533966064,0.5776553153991699,4.4,4.565304279327393,4.4,4.357049465179443,4.4,4.46304988861084,4.4,4.577307224273682,4.490677714347839,0.95,0.8787501454353333,0.95,0.8147121667861938,0.95,0.9920551776885986,0.95,0.9287399053573608,0.9035643488168716,6.15,5.455671310424805,6.15,5.394826889038086,6.15,5.811322212219238,6.15,5.531904697418213,5.5484312772750854,3.75,3.628032922744751,3.75,3.481443405151367,3.75,3.6746339797973633,3.75,4.313962459564209,3.7745181918144226,4.75,4.476895809173584,4.75,4.63191032409668,4.75,4.867231845855713,4.75,5.326596260070801,4.825658559799194,1.88,1.5086164474487305,1.88,1.8446012735366821,1.88,1.5860302448272705,1.88,1.5741794109344482,1.6283568441867828
4.1,4.01779317855835,4.1,3.699950695037842,4.1,3.839367389678955,4.1,3.8314428329467773,3.847138524055481,0.95,0.5731548070907593,0.95,0.7961422204971313,0.95,1.069153070449829,0.95,0.926439106464386,0.8412223011255264,0.95,1.1436688899993896,0.95,0.608758807182312,0.95,1.0017483234405518,0.95,0.8344761729240417,0.8971630483865738,5.73,5.900712966918945,5.73,5.87143611907959,5.73,6.176539897918701,5.73,6.282467365264893,6.057789087295532,6.1,5.879144191741943,6.1,6.1113996505737305,6.1,6.27483606338501,6.1,6.142019271850586,6.101849794387817,2.8,2.7684922218322754,2.8,3.877744674682617,2.8,3.3013370037078857,2.8,3.49204158782959,3.359903872013092,0.95,0.773560106754303,0.95,0.6976732015609741,0.95,0.9887508153915405,0.95,0.9055253267288208,0.8413773626089096,5.73,5.722825527191162,5.73,5.908605575561523,5.73,6.15919303894043,5.73,6.22269344329834,6.003329396247864,0.95,0.772032618522644,0.95,0.8656829595565796,0.95,0.9633679389953613,0.95,0.9028975963592529,0.8759952783584595,1.04,0.6322175860404968,1.04,0.8694502115249634,1.04,0.9967074394226074,1.04,0.8840715885162354,0.8456117063760757,6.26,6.737791538238525,6.26,6.272976875305176,6.26,6.689294338226318,6.26,6.443587779998779,6.5359126329422
1.1,1.0444152355194092,1.1,0.7668602466583252,1.1,1.1556482315063477,1.1,0.7595359086990356,0.9316149055957794,0.77,0.44698625802993774,0.77,0.5921865701675415,0.77,0.7596067786216736,0.77,0.680408775806427,0.619797095656395,0.68,0.626080334186554,0.68,0.9105889797210693,0.68,0.8318386077880859,0.68,0.953094482421875,0.8304006010293961,0.85,0.7148732542991638,0.85,0.6502434015274048,0.85,0.4924260973930359,0.85,0.9116966724395752,0.6923098564147949,6.26,6.7189202308654785,6.26,6.705787658691406,6.26,7.305700778961182,6.26,7.119692325592041,6.962525248527527,3.04,2.7021448612213135,3.04,2.5496230125427246,3.04,2.57810640335083,3.04,2.8139305114746094,2.6609511971473694,0.95,0.7937982678413391,0.95,0.8024333715438843,0.95,0.9609682559967041,0.95,0.9331626892089844,0.872590646147728,0.95,0.7380800843238831,0.95,0.7406848669052124,0.95,0.88341224193573,0.95,0.8019025325775146,0.791019931435585,3.75,3.5722436904907227,3.75,3.483119487762451,3.75,4.02578067779541,3.75,3.650193691253662,3.6828343868255615,2.72,1.8875401020050049,2.72,2.002046585083008,2.72,2.076812267303467,2.72,2.218608856201172,2.046251952648163,3.37,2.8548784255981445,3.37,3.0607433319091797,3.37,3.4652371406555176,3.37,3.108339786529541,3.1222996711730957
6.47,5.883054256439209,6.47,6.0038299560546875,6.47,6.2493977546691895,6.47,6.2088494300842285,6.086282849311829,4.39,4.551220893859863,4.39,4.3624653816223145,4.39,4.463511943817139,4.39,4.58071231842041,4.489477634429932,5.98,6.540153503417969,5.98,5.86298942565918,5.98,6.319843769073486,5.98,6.442259788513184,6.291311621665955,5.9,5.261357307434082,5.9,4.960524082183838,5.9,5.537445545196533,5.9,5.71425724029541,5.368396043777466,5.73,5.8000030517578125,5.73,5.848691463470459,5.73,6.271697521209717,5.73,6.296421051025391,6.054203271865845,7.89,7.312408924102783,7.89,7.847301483154297,7.89,7.977375507354736,7.89,7.870006561279297,7.751773118972778,8.02,7.53695821762085,8.02,8.254966735839844,8.02,8.375173568725586,8.02,8.313112258911133,8.120052695274353,0.7,0.747255265712738,0.7,0.6505173444747925,0.7,0.4669589400291443,0.7,0.8924981951713562,0.6893074363470078,4.7,4.678555965423584,4.7,5.151423454284668,4.7,4.700612545013428,4.7,5.082907199859619,4.903374791145325,1.04,0.5303001999855042,1.04,0.5502558946609497,1.04,1.9725923538208008,1.04,1.518062949180603,1.1428028494119644,6.1,5.887990474700928,6.1,6.3304829597473145,6.1,6.2035088539123535,6.1,6.159167289733887,6.145287394523621
7.1,5.872328281402588,7.1,5.601151943206787,7.1,5.81712007522583,7.1,6.283849239349365,5.893612384796143,4.32,4.506597995758057,4.32,4.35965633392334,4.32,4.441815376281738,4.32,4.593277931213379,4.475336909294128,0.7,0.3212650418281555,0.7,0.37291884422302246,0.7,0.5222030282020569,0.7,0.8414692878723145,0.5144640505313873,0.88,1.3890116214752197,0.88,0.9329742193222046,0.88,0.7528685927391052,0.88,1.01266348361969,1.0218794792890549,0.7,0.9191222786903381,0.7,0.8730664849281311,0.7,0.7588631510734558,0.7,0.5599038600921631,0.777738943696022,6.6,7.334243297576904,6.6,6.9215288162231445,6.6,7.241337299346924,6.6,6.991602420806885,7.122177958488464,0.7,0.1656971573829651,0.7,0.5040673017501831,0.7,0.6395666003227234,0.7,0.6653623580932617,0.4936733543872833,0.9,0.7205974459648132,0.9,0.4975539445877075,0.9,0.8968058228492737,0.9,1.2281250953674316,0.8357705771923065,3.75,3.575096368789673,3.75,3.473740577697754,3.75,3.868095874786377,3.75,3.7026686668395996,3.654900372028351,3.62,3.0027074813842773,3.62,2.771088123321533,3.62,3.547062397003174,3.62,2.4712352752685547,2.9480233192443848,6.15,5.527816295623779,6.15,5.911581993103027,6.15,6.213949680328369,6.15,6.475726127624512,6.032268524169922
