Epochs,Lowest MAE,Highest R,Smoothed Epochs,Lowest MAE Smoothed,Highest R Smoothed,"R: 5, 5","MAE: 5, 5"
1.0,2.770457684993744,2.770457684993744,1.0,2.770457684993744,2.770457684993744,,
2.0,2.3941065073013306,2.3941065073013306,2.0,2.65755233168602,2.65755233168602,,
3.0,2.2226366996765137,2.2226366996765137,3.0,2.527077642083168,2.527077642083168,,
4.0,2.123064488172531,2.123064488172531,4.0,2.405873695909977,2.405873695909977,,
5.0,2.0520364344120026,2.0520364344120026,5.0,2.2997225174605846,2.2997225174605846,,
6.0,1.9932346940040588,1.9932346940040588,6.0,2.2077761704236267,2.2077761704236267,,
7.0,1.9498992264270782,1.9498992264270782,7.0,2.130413087224662,2.130413087224662,,
8.0,1.915535718202591,1.915535718202591,8.0,2.0659498765180406,2.0659498765180406,,
9.0,1.8845737278461456,1.8845737278461456,9.0,2.0115370319164723,2.0115370319164723,,
10.0,1.8666406273841858,1.8666406273841858,10.0,1.9680681105567863,1.9680681105567863,,
11.0,1.8505851030349731,1.8505851030349731,11.0,1.9328232083002423,1.9328232083002423,,
12.0,1.8368270993232727,1.8368270993232727,12.0,1.9040243756071513,1.9040243756071513,,
13.0,1.8153543174266815,1.8153543174266815,13.0,1.8774233581530102,1.8774233581530102,,
14.0,1.8020421862602234,1.8020421862602234,14.0,1.8548090065851741,1.8548090065851741,,
15.0,1.7830091416835785,1.7830091416835785,15.0,1.8332690471146955,1.8332690471146955,,
16.0,1.7670964896678925,1.7670964896678925,16.0,1.8134172798806547,1.8134172798806547,,
17.0,1.749437153339386,1.749437153339386,17.0,1.794223241918274,1.794223241918274,,
18.0,1.7357653677463531,1.7357653677463531,18.0,1.7766858796666978,1.7766858796666978,,
19.0,1.7079882621765137,1.7079882621765137,19.0,1.7560765944196426,1.7560765944196426,,
20.0,1.6902316808700562,1.6902316808700562,20.0,1.7363231203547667,1.7363231203547667,,
21.0,1.675172597169876,1.675172597169876,21.0,1.7179779633992993,1.7179779633992993,,
22.0,1.6485315561294556,1.6485315561294556,22.0,1.697144041218346,1.697144041218346,,
23.0,1.6377490758895874,1.6377490758895874,23.0,1.6793255516197183,1.6793255516197183,,
24.0,1.621003657579422,1.621003657579422,24.0,1.6618289834076294,1.6618289834076294,,
25.0,1.6027597784996033,1.6027597784996033,25.0,1.6441082219352217,1.6441082219352217,,
26.0,1.5867591500282288,1.5867591500282288,26.0,1.6269035003631238,1.6269035003631238,,
27.0,1.562678962945938,1.562678962945938,27.0,1.607636139137968,1.607636139137968,,
28.0,1.5385102331638336,1.5385102331638336,28.0,1.5868983673457278,1.5868983673457278,,
29.0,1.5129608809947968,1.5129608809947968,29.0,1.5647171214404483,1.5647171214404483,,
30.0,1.4853905737400055,1.4853905737400055,30.0,1.5409191571303154,1.5409191571303154,,
31.0,1.4577268064022064,1.4577268064022064,31.0,1.5159614519118827,1.5159614519118827,,
32.0,1.4279937744140625,1.4279937744140625,32.0,1.4895711486625365,1.4895711486625365,,
33.0,1.3972351253032684,1.3972351253032684,33.0,1.461870341654756,1.461870341654756,,
34.0,1.3717629313468933,1.3717629313468933,34.0,1.4348381185623973,1.4348381185623973,,
35.0,1.3514187037944794,1.3514187037944794,35.0,1.409812294132022,1.409812294132022,,
36.0,1.3236632645130157,1.3236632645130157,36.0,1.38396758524632,1.38396758524632,,
