Epochs,Lowest MAE,Highest R,Smoothed Epochs,Lowest MAE Smoothed,Highest R Smoothed,"R: 5, 5","R: 6, 5","R: 7, 5","R: 5, 6","R: 6, 6","R: 5, 7","MAE: 5, 5","MAE: 6, 5","MAE: 7, 5","MAE: 5, 6","MAE: 6, 6","MAE: 5, 7"
1.0,2.9468565583229065,2.9468565583229065,1.0,2.9468565583229065,2.9468565583229065,,,,,,,,,,,,
2.0,2.605629801750183,2.605629801750183,2.0,2.8444885313510895,2.8444885313510895,,,,,,,,,,,,
3.0,2.388332188129425,2.388332188129425,3.0,2.7076416283845903,2.7076416283845903,,,,,,,,,,,,
4.0,2.2249191403388977,2.2249191403388977,4.0,2.5628248819708825,2.5628248819708825,,,,,,,,,,,,
5.0,2.118194192647934,2.118194192647934,5.0,2.429435675173998,2.429435675173998,,,,,,,,,,,,
6.0,2.0429309606552124,2.0429309606552124,6.0,2.3134842608183623,2.3134842608183623,,,,,,,,,,,,
7.0,1.9772581458091736,1.9772581458091736,7.0,2.2126164263156056,2.2126164263156056,,,,,,,,,,,,
8.0,1.9232934415340424,1.9232934415340424,8.0,2.1258195308811367,2.1258195308811367,,,,,,,,,,,,
9.0,1.8797397017478943,1.8797397017478943,9.0,2.051995582141164,2.051995582141164,,,,,,,,,,,,
10.0,1.8515388071537018,1.8515388071537018,10.0,1.9918585496449253,1.9918585496449253,,,,,,,,,,,,
,,,,,,0.49827606976032257,0.4827537387609482,0.41766475699841976,0.496328704059124,0.5118266344070435,0.5049233809113503,,,,,,
,,,,,,,,,,,,1.8974974751472473,1.9160936176776886,2.001891613006592,1.9124308228492737,1.8872654736042023,1.9012908935546875
