"Real NN 3 for B,0; ,None - All data","Averages for B,0; ,None","Real NN 3 for B,1; ,None - All data","Averages for B,1; ,None"
3.67,3.597504914,0.86,1.389682651
4.4,4.471776009,4.29,4.378481388
4.01,4.214265406,6.6,6.679279685
4.52,4.095234632,0.96,1.3002792
4.36,4.206482053,3.1,3.518741071
5.9,5.839621067,4.67,4.161498606
0.95,0.97402294,4.67,4.946321726
2.79,2.965668142,6.6,6.563858032
0.76,0.740787566,7.94,5.363109112
0.95,0.965301812,8.84,9.042027235
6.55,5.946377397,2.62,1.881695718
1.04,0.988741517,2.62,1.464755177
1.5,1.920678675,4.54,4.345219254
5.98,5.983350158,6.61,7.229655147
6.06,6.318125606,2.28,1.551034719
3.64,3.726441264,6.28,9.379606962
6.48,5.759325027,2.48,2.607272387
4.85,4.710568428,4.67,4.124787092
4.35,4.49545753,6.61,6.549995899
4.36,4.666948795,2.48,3.23595643
0.95,0.976863697,8.01,8.325239897
0.82,0.355269991,2.28,1.714895695
0.95,0.964408085,6.28,6.995602846
0.95,1.043765113,2.62,1.675971061
7.12,6.879750967,3.2,3.271326661
4.1,5.161252737,4.54,4.221907675
0.95,0.998590976,7.51,7.057712555
0.85,0.6146929,8.84,8.986970901
0.73,1.280842423,6.6,6.590937734
4.51,4.193347931,4.29,4.424140811
4.39,4.832862854,4.54,4.235428333
0.93,0.780741617,0.86,1.540885568
6.55,6.379862666,8.01,8.2783916
2.64,2.38319397,8.01,8.195415974
6.26,6.518710136,8.84,8.462760448
1.5,1.711013585,4.67,3.975305796
0.95,0.960054174,2.48,2.838720918
0.95,0.987953112,4.67,3.951427758
4.75,4.68993628,8.01,8.124530911
4.36,5.098905921,4.29,4.381211638
3.37,3.319766521,2.48,2.802147031
5.06,4.63543272,5,5.05922401
0.95,0.966169372,6.6,6.593702435
0.6,0.604360171,4.54,4.247297049
4.39,4.629915953,4.29,4.425245166
3.62,3.514822543,4.29,3.807523191
4.75,4.772032142,4.67,4.88664341
0.95,0.934020072,7.51,7.106649756
6.69,6.931017756,8.84,8.437441349
2.81,3.134191275,2.28,2.490096629
3.37,3.330082297,4.67,4.824283481
6.06,6.32147181,2.62,1.752451867
4.36,4.255518317,8.84,8.639510393
0.8,0.857102171,6.61,6.576143265
0.86,0.937039852,3.1,2.583479345
5.52,5.576371312,0.9,0.912049904
0.95,1.107514367,4.29,4.27284795
6.15,5.834795117,2.28,2.550444961
0.78,0.56887988,4.29,3.955022275
5.52,5.621804476,5,5.505586982
7.04,5.602638483,0.86,1.223490775
0.84,0.933681726,3.1,2.799052119
0.95,0.945849717,3.1,2.597580671
0.93,1.08321172,0.96,0.886976346
0.95,0.946740925,0.98,1.025659651
5.1,5.501428723,0.86,1.438089669
3.6,3.466541588,3.1,2.634851038
0.7,0.265755005,2.28,2.285102189
6.47,6.222543001,4.29,4.521437645
8.71,6.468959689,2.62,1.550054669
0.82,0.806090429,8.01,8.071364522
5.06,4.669828415,0.96,0.906155974
3.37,3.170617044,2.62,1.997683764
0.95,0.975367635,2.48,2.563755989
0.95,0.995585963,5,4.958213449
3.6,2.490641057,6.08,5.978552341
4.52,4.083124399,6.61,6.895880938
7.53,6.323525786,3.1,2.983560443
0.81,0.819030896,2.48,4.184857965
1.88,1.858583272,7.51,7.128545523
4.51,3.775514364,7.94,5.29350239
7.89,7.634122372,2.28,1.963286966
0.83,1.598502129,3.2,3.270049572
1.3,1.248775035,3.2,3.194468439
7.1,6.918277025,4.67,4.787160754
2.16,1.980271846,7.94,6.982031465
0.87,0.946808204,6.61,7.232403755
0.76,0.633329783,8.84,8.590257645
0.95,0.904883131,7.51,6.972924352
4.5,4.483304501,0.98,0.94126536
5.59,6.028769135,2.48,3.13923502
0.59,0.634900212,4.29,4.398010015
2.72,2.16057229,7.94,7.129935145
0.77,0.821151644,6.28,7.108901024
4.42,4.627534986,2.62,1.705648869
2.71,2.626285791,6.28,7.150927901
0.8,0.925496623,2.48,3.147431374
7.62,8.122320294,5,5.502708435
1.88,1.765166819,3.1,2.981901467
4.7,4.793265343,0.98,0.961825654
0.95,0.959656715,3.2,3.20965153
0.95,0.976999804,0.86,0.91842261
6.06,6.532515645,0.86,2.178937495
0.95,0.926516905,0.98,1.913456976
3.6,2.643240035,0.9,0.900961056
2.12,2.406236529,6.28,6.857203364
0.95,1.003509223,7.94,7.502380252
0.95,0.947524235,2.48,3.935941517
0.95,0.983304814,7.94,7.507121444
0.84,0.918082193,4.54,4.250955224
3.2,3.332179725,6.28,7.015373349
4.75,4.253744483,4.54,4.351168275
7.12,7.16666913,6.6,6.53862679
2.64,3.022567809,0.98,1.433922589
4.1,3.984154403,0.96,0.811180547
4.51,4.144445419,2.62,1.936351776
3.04,2.958423972,0.98,2.694968283
1.93,2.185344756,6.28,6.685684085
0.95,0.893673554,4.54,4.13562119
0.95,0.988258362,4.54,4.341392577
6.64,6.390552282,4.29,4.192342043
7.12,7.256545424,6.28,7.017604828
0.95,0.951660499,2.62,1.56608361
0.87,0.9219926,0.86,1.322690338
2.16,2.049366534,4.29,3.864981771
3.2,3.921598136,2.28,2.936381578
0.95,0.965758637,2.62,1.568100661
7.89,8.041186929,6.6,6.039961934
5.27,5.347062349,6.28,6.893906116
0.94,0.850219294,4.54,4.064751506
9.45,9.220988512,0.96,1.356682003
5.59,6.547213554,6.28,7.155811906
8.39,8.12174201,6.28,7.123970628
0.95,0.979950383,8.01,8.286206961
7.62,7.904669166,6.61,7.390716672
4.85,4.632447243,6.6,6.592130423
7.62,7.166756868,4.67,4.325375319
5.59,6.498665452,2.48,2.952668011
0.95,0.974749073,4.67,4.018587947
0.95,0.921826988,7.94,7.452561498
5.73,6.137375355,4.67,4.941980243
6.47,6.491140246,3.1,2.573689044
1.93,2.02362141,6.61,6.581699967
7.89,5.385144114,0.9,0.704177052
0.64,0.664961249,0.98,2.363101423
0.59,0.912788033,7.51,7.170881629
6.55,6.155646086,0.86,0.884139672
6.06,6.23344326,2.62,1.637231559
0.7,0.753822431,6.08,5.797355056
0.95,1.00375098,0.86,1.242772102
3.4,3.486275971,6.08,5.702032447
6.47,6.171666265,0.98,2.527424932
0.68,0.798185676,4.29,4.650339365
3.12,2.992227614,6.61,6.543535948
3.12,2.973433793,6.6,6.594508767
7.62,6.356174827,2.28,1.766994506
0.95,0.927049354,0.98,1.405895054
0.95,1.021408468,0.98,1.345839739
1.3,1.303289026,3.1,2.564239681
3.37,3.249651432,0.96,1.42474097
0.7,0.635839626,4.29,3.912491262
3.04,2.875956535,4.54,4.33136487
0.95,0.969092026,6.08,5.6561203
0.95,0.991430864,0.96,1.223585188
0.76,0.730652854,6.28,6.888998151
0.95,1.009277135,0.98,0.953401789
6.47,6.482414246,0.98,0.952720329
0.94,0.887447,2.28,2.332949102
0.95,0.946778446,0.86,1.225036353
