"Real NN 3 for Time,0; ,None - All data","Averages for Time,0; ,None","Real NN 3 for Time,1; ,None - All data","Averages for Time,1; ,None","Real NN 3 for Time,2; ,None - All data","Averages for Time,2; ,None","Real NN 3 for Time,3; ,None - All data","Averages for Time,3; ,None","Real NN 3 for Time,4; ,None - All data","Averages for Time,4; ,None","Real NN 3 for Time,5; ,None - All data","Averages for Time,5; ,None","Real NN 3 for Time,6; ,None - All data","Averages for Time,6; ,None","Real NN 3 for Time,7; ,None - All data","Averages for Time,7; ,None","Real NN 3 for Time,8; ,None - All data","Averages for Time,8; ,None","Real NN 3 for Time,9; ,None - All data","Averages for Time,9; ,None","Real NN 3 for Time,10; ,None - All data","Averages for Time,10; ,None","Real NN 3 for Time,11; ,None - All data","Averages for Time,11; ,None","Real NN 3 for Time,12; ,None - All data","Averages for Time,12; ,None","Real NN 3 for Time,13; ,None - All data","Averages for Time,13; ,None","Real NN 3 for Time,14; ,None - All data","Averages for Time,14; ,None","Real NN 3 for Time,15; ,None - All data","Averages for Time,15; ,None","Real NN 3 for Time,16; ,None - All data","Averages for Time,16; ,None","Real NN 3 for Time,17; ,None - All data","Averages for Time,17; ,None","Real NN 3 for Time,18; ,None - All data","Averages for Time,18; ,None","Real NN 3 for Time,19; ,None - All data","Averages for Time,19; ,None","Real NN 3 for Time,20; ,None - All data","Averages for Time,20; ,None","Real NN 3 for Time,21; ,None - All data","Averages for Time,21; ,None","Real NN 3 for Time,22; ,None - All data","Averages for Time,22; ,None","Real NN 3 for Time,23; ,None - All data","Averages for Time,23; ,None","Real NN 3 for Time,24; ,None - All data","Averages for Time,24; ,None","Real NN 3 for Time,25; ,None - All data","Averages for Time,25; ,None","Real NN 3 for Time,26; ,None - All data","Averages for Time,26; ,None","Real NN 3 for Time,27; ,None - All data","Averages for Time,27; ,None","Real NN 3 for Time,28; ,None - All data","Averages for Time,28; ,None","Real NN 3 for Time,29; ,None - All data","Averages for Time,29; ,None","Real NN 3 for Time,30; ,None - All data","Averages for Time,30; ,None","Real NN 3 for Time,31; ,None - All data","Averages for Time,31; ,None","Real NN 3 for Time,32; ,None - All data","Averages for Time,32; ,None","Real NN 3 for Time,33; ,None - All data","Averages for Time,33; ,None","Real NN 3 for Time,34; ,None - All data","Averages for Time,34; ,None","Real NN 3 for Time,35; ,None - All data","Averages for Time,35; ,None","Real NN 3 for Time,36; ,None - All data","Averages for Time,36; ,None","Real NN 3 for Time,37; ,None - All data","Averages for Time,37; ,None","Real NN 3 for Time,38; ,None - All data","Averages for Time,38; ,None","Real NN 3 for Time,39; ,None - All data","Averages for Time,39; ,None","Real NN 3 for Time,40; ,None - All data","Averages for Time,40; ,None","Real NN 3 for Time,41; ,None - All data","Averages for Time,41; ,None","Real NN 3 for Time,42; ,None - All data","Averages for Time,42; ,None","Real NN 3 for Time,43; ,None - All data","Averages for Time,43; ,None","Real NN 3 for Time,44; ,None - All data","Averages for Time,44; ,None","Real NN 3 for Time,45; ,None - All data","Averages for Time,45; ,None","Real NN 3 for Time,46; ,None - All data","Averages for Time,46; ,None","Real NN 3 for Time,47; ,None - All data","Averages for Time,47; ,None","Real NN 3 for Time,48; ,None - All data","Averages for Time,48; ,None","Real NN 3 for Time,49; ,None - All data","Averages for Time,49; ,None","Real NN 3 for Time,50; ,None - All data","Averages for Time,50; ,None"
3.1,3.518741071,0.7,0.265755005,0.93,1.08321172,2.16,2.049366534,7.94,5.363109112,0.82,0.355269991,8.71,6.468959689,0.78,0.56887988,4.1,5.161252737,4.35,4.49545753,0.95,0.97402294,4.36,4.666948795,1.5,1.920678675,7.12,6.879750967,0.85,0.6146929,2.48,3.23595643,6.55,5.946377397,0.95,0.987953112,0.81,0.819030896,4.67,4.161498606,4.29,4.378481388,1.04,0.988741517,0.86,0.937039852,0.73,1.280842423,4.36,4.206482053,4.39,4.629915953,0.76,0.740787566,5.06,4.63543272,0.95,0.926516905,3.62,3.514822543,0.95,0.965301812,0.96,1.3002792,4.67,4.946321726,3.67,3.597504914,6.06,6.318125606,0.6,0.604360171,0.95,0.976863697,0.95,0.964408085,4.52,4.095234632,4.85,4.710568428,5.59,6.50509274,3.64,3.726441264,6.6,6.563858032,4.01,4.214265406,0.86,1.389682651,2.79,2.965668142,6.6,6.679279685,4.4,4.471776009,6.55,6.379862666,4.1,3.984154403,5.9,5.839621067
0.95,1.107514367,2.71,4.777563691,0.95,0.904883131,7.89,5.385144114,4.51,3.775514364,1.93,2.185344756,2.12,2.406236529,7.04,5.602638483,6.06,6.23344326,0.95,0.946740925,1.88,1.858583272,7.89,7.634122372,0.95,0.998590976,4.39,4.832862854,0.95,1.003509223,4.33,3.817988336,6.48,5.759325027,3.6,2.490641057,7.62,6.356174827,5.73,6.137375355,0.82,0.806090429,0.95,1.043765113,6.64,6.390552282,3.12,2.992227614,6.47,6.222543001,0.94,0.887447,1.5,1.711013585,3.37,3.330082297,1.93,2.02362141,2.62,1.464755177,5.98,5.983350158,6.15,5.834795117,0.95,0.976999804,0.59,0.634900212,2.64,2.38319397,0.77,0.821151644,0.8,0.857102171,6.26,6.518710136,0.95,0.965758637,4.51,4.193347931,1.42,1.557854265,6.6,6.590937734,3.6,3.466541588,6.06,6.32147181,0.95,0.945849717,4.75,4.68993628,0.76,0.633329783,8.84,9.042027235,2.62,1.881695718,1.04,1.482556254,2.81,3.134191275
6.28,9.379606962,0.76,2.894168615,0.8,0.925496623,2.62,1.675971061,3.6,2.643240035,1.05,1.224834859,6.26,6.369299173,0.95,0.927049354,0.81,0.772514239,2.28,1.551034719,5.59,6.028769135,6.61,7.229655147,2.64,3.022567809,0.95,0.966169372,4.75,4.253744483,5.73,6.171155334,7.53,6.323525786,4.02,4.238487422,0.95,1.021408468,0.93,0.773279294,4.42,4.627534986,4.36,4.255518317,6.55,6.155646086,4.29,4.424140811,6.06,6.532515645,0.68,1.053788245,4.36,5.098905921,4.5,4.483304501,3.12,2.973433793,0.95,0.921826988,0.93,0.780741617,5.06,4.669828415,0.95,0.979950383,2.71,2.626285791,0.95,0.934020072,5.59,6.589963794,3.37,3.170617044,4.52,4.083124399,0.64,0.625763349,0.95,0.960054174,3.04,2.873662591,2.64,2.589659333,0.95,0.983304814,5.52,5.621804476,0.95,0.975367635,0.95,0.959656715,4.7,4.793265343,0.95,0.995585963,0.83,1.598502129,6.55,6.369773746,0.94,0.850219294
0.95,0.875976548,4.36,3.362885058,0.95,0.969092026,0.97,0.796892613,7.04,5.739391804,0.86,1.054844379,5.1,5.552179217,2.28,1.714895695,0.95,0.973679632,0.68,0.798185676,7.62,7.166756868,3.04,2.875956535,8.39,8.12174201,0.84,0.933681726,3.95,3.61724478,0.95,0.959899977,1.3,1.248775035,8.01,8.124530911,0.95,0.995753422,4.1,4.146299779,0.7,0.753822431,7.1,6.918277025,0.95,0.946778446,4.88,4.84578681,0.95,0.947524235,0.95,0.949707031,4.75,4.772032142,0.95,0.988258362,3.2,3.271326661,0.76,0.730652854,3.37,3.319766521,1.88,1.765166819,4.7,4.5748294,0.95,0.893673554,2.72,2.16057229,3.75,3.75171119,7.12,7.256545424,2.16,1.980271846,1.39,2.126470149,5.52,5.576371312,4.4,4.43892777,0.86,1.032964647,6.41,5.728088617,5.1,5.501428723,3.2,3.332179725,6.28,6.995602846,6.47,6.491140246,3.04,2.958423972,0.84,0.918082193,2.12,2.19734484,7.62,7.904669166
0.95,0.909813419,7.53,5.928685546,0.95,0.935049683,0.95,0.962551281,0.95,0.88476567,0.68,0.904330596,0.95,0.917602092,0.95,0.929554075,2.79,2.475846648,6.55,5.094676971,1.38,0.957172364,0.95,0.98416692,0.59,0.912788033,4.51,4.144445419,6.64,5.638707876,4.89,4.806663752,1.04,0.944636241,0.83,1.163004041,0.95,0.981366023,0.95,0.955996841,0.95,0.937587589,0.95,0.983370692,0.95,1.002742887,0.95,0.997202098,4.29,4.381211638,5.52,5.909152389,6.69,6.931017756,0.64,0.681592688,7.1,7.066198349,0.73,1.31447795,7.12,7.16666913,0.95,0.974749073,2.81,3.05446744,4.85,4.632447243,7.62,8.122320294,4.54,4.235428333,4.67,4.124787092,5.27,5.347062349,6.6,6.593702435,0.87,0.946808204,0.95,0.974286705,4.89,4.483266354,6.48,6.229538918,4.54,4.345219254,9.45,9.220988512,6.69,7.086969137,6.61,6.549995899,0.95,1.00375098,7.62,7.87819159,0.97,1.193057254,0.95,1.009277135
0.95,0.936113015,7.44,7.320387721,4.54,4.221907675,7.1,5.36666441,6.15,6.405252457,2.72,2.629035056,0.95,0.904520988,0.94,0.750455484,0.87,0.773852989,3.6,2.458559334,4.89,5.075561166,0.94,0.867822722,0.7,0.635839626,3.2,3.921598136,0.84,0.868506223,0.95,0.945900396,0.97,0.938576892,4.32,4.611504674,5,5.05922401,2.64,2.622690737,0.95,0.983501211,7.62,8.005277872,8.84,8.462760448,0.95,0.950429142,1.5,1.797256052,5.98,6.115855813,0.95,0.991430864,2.48,2.838720918,1.49,1.713542759,1.05,0.931757167,0.95,0.951660499,0.64,0.664961249,2.28,2.490096629,0.86,0.941702396,0.87,0.9219926,1.1,1.279422015,7.44,7.860482454,5.59,6.547213554,0.95,0.965711981,7.89,8.041186929,2.62,2.646012008,0.95,0.975664511,7.39,7.534717679,4.52,4.12882483,3.37,3.249651432,8.84,8.986970901,6.55,6.358248711,6.47,6.482414246,1.63,1.968128145,4.38,4.409609556,4.1,3.966600835
0.95,0.916028097,2.72,2.582367241,0.69,0.379375465,0.95,0.852770343,0.93,0.990710258,2.48,4.184857965,0.8,1.128176242,3.62,3.487691224,0.77,0.671053886,6.06,6.227011085,4.5,4.189879239,5.59,6.058764219,7.39,7.697229266,1.3,1.303289026,4.39,4.832084775,1.38,1.0211647,5.9,4.967470169,2.81,3.531993866,0.82,0.853572354,3.6,2.618310511,1.05,0.990421161,0.68,0.944326788,4.5,4.518956065,0.85,0.842061788,0.95,0.974717319,5.79,6.008082986,0.82,0.968491256,1.42,1.637658507,2.48,2.802147031,2.16,2.179265559,7.51,7.057712555,6.47,6.171666265,6.55,6.277981043,1.93,1.90571177,9.45,8.862493992,4.67,4.88664341,1.1,1.274419844,0.95,0.936872482,5,4.958213449,2.48,2.607272387,0.95,0.954070419,3.75,4.311265051,0.95,0.953411147,1.49,1.647517085,1.88,1.816814095,0.68,1.107303247,0.95,0.963728189,0.95,0.97260651,0.95,0.994882956,0.95,1.013447121,7.04,6.872357845
4.1,5.699711204,1.05,1.485303208,1.1,1.140219182,0.69,0.722108513,0.95,0.931619033,4.01,4.76080966,3.1,2.583479345,3.12,3.382332742,0.95,0.945817262,0.95,0.981311217,7.89,7.583785176,4.89,5.062007666,4.02,4.346109927,2.64,2.930927753,6.47,5.939070702,0.69,0.817099646,0.73,1.245458335,2.62,1.550054669,4.29,4.27284795,0.59,0.829416588,0.88,0.968766138,3.64,3.649290621,4.1,4.106054544,0.82,0.956284121,7.62,7.983933568,8.84,8.437441349,2.16,2.214940548,0.95,0.922579512,4.36,5.101415157,4.88,4.768823743,1.3,1.443217188,8.01,8.195415974,3.75,4.334650815,0.95,0.962798014,0.67,0.619708359,7.94,7.438616395,4.54,4.247297049,0.95,0.955206633,0.95,0.955970153,5.59,6.498665452,0.95,0.968271717,2.37,2.019465566,0.73,0.86571373,0.56,0.742760897,0.95,0.998097822,4.31,4.431027532,0.95,0.947666809,0.8,1.053160384,0.7,0.969071433,1.93,2.006483406,0.59,0.832124859
9.45,6.60330832,3.64,4.069174111,0.95,0.821562991,0.95,0.950389221,0.8,1.179711312,0.95,0.917426944,5,5.505586982,4.35,4.417785764,0.95,0.928647295,0.88,0.921462104,0.96,0.886976346,4.39,4.88373208,0.87,0.915300295,4.83,5.793283582,4.5,4.402231336,0.82,0.808768228,0.86,0.88192226,6.61,6.895880938,0.8,0.888588518,0.95,0.972730547,7.44,7.97009778,7.4,6.29214561,3.64,3.697567999,0.7,0.633580133,4.39,4.617334604,8.39,8.412783384,0.95,0.904320449,5.98,6.075926304,7.12,7.138174534,2.37,1.94714883,1.49,1.663096309,0.7,0.843247548,0.95,0.925989121,7.89,8.110582709,0.95,0.974441305,0.6,0.943401292,0.95,0.949005291,7.94,7.459157944,1.3,1.384234637,3.4,3.486275971,7.51,7.106649756,7.04,6.447320342,2.62,2.651622772,4.85,4.783895731,4.67,3.951427758,0.86,0.90062125,4.67,3.975305796,0.95,1.015715405,4.4,4.498033762,6.64,6.336253524,6.69,6.955719471
0.84,1.847903907,3.95,2.900549531,4.88,5.346047878,0.75,0.701704949,0.95,1.014401689,0.83,1.188261136,0.95,0.918764949,0.95,0.935901076,4.29,3.807523191,4.7,4.411358595,0.95,0.977349058,7.12,6.811142325,8.84,8.639510393,0.7,0.620931987,0.9,0.912049904,1.39,2.308591783,5.59,6.382953882,5.06,4.26220274,3.4,3.480961204,2.81,3.461054862,2.64,2.600158393,8.71,7.725456595,7.44,7.971485376,4.83,5.358018994,0.95,1.035164759,3.1,2.597580671,0.83,1.088574722,0.73,0.774053186,4.85,4.519291043,7.53,6.855616331,0.95,0.979243547,4.31,4.436163187,0.98,0.961825654,0.95,1.000786528,0.95,0.967377275,4.29,4.521437645,0.78,1.164840743,8.71,8.110861182,1.38,1.101025492,8.01,8.325239897,0.95,0.953040421,7.1,7.050387144,0.64,0.632000245,0.98,1.025659651,4.01,4.22270304,1.39,2.322751999,4.51,4.176172256,0.86,1.540885568,0.95,0.938865528,0.67,0.719605356,0.7,1.008694991
