SC: R,SC: MAE,SC Test: R,SC Test: MAE,Time SC: 0;: R,Time SC: 1: R,Time SC: 0 : MAE,Time SC: 1 : MAE,Time SC: 0; Test R,Time SC: 1; Test R,Time SC: 0; Test MAE,Time SC: 1; Test MAE,Time,Time:  R,Time:  MAE,Time: Test R,Time: Test MAE,Increasing:  R,Increasing:  MAE,Increasing: Test R,Increasing: Test MAE,Time Increasing: 0 : R,Time Increasing: 1 : R,Time Increasing: 0 : MAE,Time Increasing: 1 : MAE,Time Increasing: 0; Test R,Time Increasing: 1; Test R,Time Increasing: 0; Test MAE,Time Increasing: 1; Test MAE,"Use 1, Time: R","Use 2, Time: R","Use 3, Time: R","Use 1, Time: MAE","Use 2, Time: MAE","Use 3, Time: MAE",A:  R,B:  R,C:  R,A:  MAE,B:  MAE,C:  MAE,,   Days Elapsed 1.0: Spin Coating 0; R,   Days Elapsed 1.0: Spin Coating 1; R,   Days Elapsed 2.0: Spin Coating 0; R,   Days Elapsed 3.0: Spin Coating 0; R,   Days Elapsed 4.0: Spin Coating 0; R,   Days Elapsed 6.0: Spin Coating 0; R,   Days Elapsed 11.0: Spin Coating 0; R,   Days Elapsed 15.0: Spin Coating 0; R,   Days Elapsed 18.0: Spin Coating 0; R,   Days Elapsed 31.0: Spin Coating 0; R,   Days Elapsed 34.0: Spin Coating 0; R, Days Elapsed 1.0: Spin Coating 0; MAE, Days Elapsed 1.0: Spin Coating 1; MAE, Days Elapsed 2.0: Spin Coating 0; MAE, Days Elapsed 3.0: Spin Coating 0; MAE, Days Elapsed 4.0: Spin Coating 0; MAE, Days Elapsed 6.0: Spin Coating 0; MAE, Days Elapsed 11.0: Spin Coating 0; MAE, Days Elapsed 15.0: Spin Coating 0; MAE, Days Elapsed 18.0: Spin Coating 0; MAE, Days Elapsed 31.0: Spin Coating 0; MAE, Days Elapsed 34.0: Spin Coating 0; MAE
0.966854602,0.413176027,0.975648865,0.328020922,0.958253756,0.977413818,0.360505376,0.319646415,0.987618342,0.969948053,0.243985218,0.468527187,0,0.87509346,0.924961541,0.982133672,0.311885959,0.967062607,0.381690638,0.980805025,0.30268931,0.986945704,0.958459258,0.279534176,0.365523992,0.99557133,0.973842904,0.246854525,0.322735818,0.962875754,0.991245657,0.99355486,0.354604039,0.256963021,0.255102747,0.981035501,0.975573987,0.966751754,0.261075355,0.311467335,0.408335771,0,0.956601694,0.96939303,0.991245657,0.99355486,0.983618394,0.983850941,0.976648718,0.988854676,0.977079257,0.930577815,0.977412894,0.52281971,0.374106158,0.256963021,0.255102747,0.296857455,0.231083607,0.325084061,0.230675253,0.271680739,0.435197591,0.401360942
0.984220237,0.19579876,0.972315952,0.32181102,0.978987202,0.983869478,0.332757368,0.258970655,0.9932331,0.995746732,0.267584712,0.173377637,1,0.905775174,0.723195488,0.992378652,0.274112284,0.976411253,0.314382801,0.972473234,0.333182562,0.980526924,0.980271667,0.309846741,0.303064493,0.991609946,0.994666532,0.189047309,0.234621675,0.979482114,0.993935555,0.989218593,0.31446296,0.213230588,0.21581773,0.967292503,0.961981386,0.984677553,0.394097386,0.470466906,0.191278171,1,0.989204168,0.973355606,0.993935555,0.989218593,0.950621903,0.992458209,0.992136791,0.954931825,0.992639169,0.985375911,0.987403423,0.286225523,0.405711315,0.213230588,0.21581773,0.335530649,0.177430015,0.217732561,0.350388914,0.289400583,0.326398765,0.31313174
,,,,0.986863956,0.974648163,0.27221192,0.346764442,0.99135223,0.983094424,0.262933058,0.295300719,2,0.926687345,0.63422893,0.973111153,0.321878357,,,,,0.984470293,0.981113806,0.2469662,0.31742255,0.977830976,0.992209554,0.301954676,0.259461418,0.98513414,0.967468441,0.9727249,0.283625626,0.503934035,0.409823164,,,,,,,2,0.955241844,0.978788808,0.967468441,0.9727249,0.991363153,0.977836922,0.991522372,0.992099673,0.997900084,0.987107635,0.992884979,0.494933683,0.306710728,0.503934035,0.409823164,0.183625786,0.244767457,0.276259902,0.217515824,0.182012686,0.377121198,0.261482718
,,,,0.982907221,0.96635823,0.27938796,0.330971509,0.984842122,0.976574942,0.288189435,0.352210374,3,0.939508021,0.57311722,0.987228468,0.302031855,,,,,0.978496611,0.976545841,0.373445605,0.27561876,0.97995761,0.98317942,0.402454459,0.276325391,0.975681663,0.98835969,0.989479691,0.303040259,0.213330582,0.310397302,,,,,,,3,0.986014321,0.984630182,0.98835969,0.989479691,0.980446547,0.989227861,0.956509158,0.961151034,0.762556307,0.994202718,0.975359008,0.224675972,0.32866888,0.213330582,0.310397302,0.329984487,0.245655442,0.342982524,0.47042268,0.144891365,0.146637113,0.320066271
,,,,0.965760738,0.973860875,0.376816231,0.314193474,0.967292592,0.97385399,0.373431833,0.388018278,4,0.947959438,0.537117146,0.976259291,0.305218308,,,,,0.979665041,0.963119522,0.33367755,0.359062724,0.994120374,0.96102567,0.258592783,0.404812499,0.968206733,0.981758967,0.969140515,0.354729602,0.320987631,0.352954542,,,,,,,4,0.983944312,0.974561736,0.981758967,0.969140515,0.99391152,0.945538223,0.980287656,0.96462734,0.990440875,0.900748715,0.959508821,0.276812535,0.414254524,0.320987631,0.352954542,0.235681796,0.355069278,0.307719965,0.326314636,0.360294409,0.495635935,0.37885534
,,,,0.973425746,0.975404173,0.340829392,0.354314679,0.969516993,0.967661962,0.369698116,0.369553886,5,0.950433388,0.506246686,0.976938516,0.322892364,,,,,0.96365048,0.977214143,0.385174767,0.333634918,0.997301832,0.959198609,0.12234857,0.443852486,0.97293134,0.990982205,0.986192092,0.346224232,0.354408926,0.332630644,,,,,,,5,0.964825988,0.964108109,0.990982205,0.986192092,0.992331922,0.99034892,0.970715672,0.976555139,0.977824494,0.975145608,0.967242569,0.342548822,0.378912937,0.354408926,0.332630644,0.193973837,0.238291797,0.322656629,0.422770328,0.399970307,0.380211216,0.410510643
,,,,0.970127568,0.9670531,0.372685485,0.328438033,0.973271206,0.985057205,0.400906091,0.293409613,6,0.9537635,0.479635448,0.960251555,0.384500777,,,,,0.978764176,0.967186853,0.349291796,0.357914063,0.976675943,0.97241129,0.473480546,0.334100621,0.969072163,0.972513691,0.985527754,0.361082027,0.423308758,0.191934745,,,,,,,6,0.977391511,0.975823998,0.972513691,0.985527754,0.961482376,0.961743549,0.966661841,0.972493947,0.974198282,0.975334868,0.974223047,0.301357533,0.428333698,0.423308758,0.191934745,0.319493547,0.486393345,0.342999971,0.350323835,0.354768124,0.366666221,0.33439421
,,,,0.984673291,0.96684961,0.298993752,0.356878187,0.986964479,0.990674034,0.274966938,0.259828711,7,0.955806896,0.46404374,0.979837045,0.372823684,,,,,0.987679526,0.974124655,0.326801771,0.319196308,0.990036935,0.981923729,0.284287446,0.263319921,0.977448091,0.984603077,0.990384817,0.324918422,0.296246272,0.273787376,,,,,,,7,0.980448574,0.987640619,0.984603077,0.990384817,0.983249024,0.993496761,0.9784365,0.949145436,0.995992675,0.986999616,0.984474942,0.377900021,0.294865752,0.296246272,0.273787376,0.349063622,0.315744896,0.305606701,0.498863021,0.196680111,0.284119126,0.289903411
,,,,0.972129792,0.966550857,0.307482285,0.39420715,0.96778512,0.976319641,0.285862323,0.429327658,8,0.958588362,0.450673797,0.96732837,0.346945317,,,,,0.978567779,0.965939358,0.330834529,0.343505441,0.945531517,0.982703164,0.551674338,0.25791562,0.973400727,0.917213529,0.970540509,0.322917659,0.544374689,0.460419606,,,,,,,8,0.955863848,0.967575237,0.917213529,0.970540509,0.962617651,0.967754677,0.975895002,0.994880319,0.916612357,0.982294291,0.985525221,0.621316967,0.356624276,0.544374689,0.460419606,0.365926928,0.428470597,0.334887025,0.191141151,0.27232643,0.20949312,0.251534629
,,,,0.979242027,0.980634198,0.325479962,0.268322222,0.980339378,0.990702286,0.337806646,0.190610145,9,0.9631681,0.423909467,0.969697163,0.363080782,,,,,0.991671965,0.975923255,0.228649019,0.327333676,0.979003951,0.980327904,0.170253783,0.315818435,0.978342235,0.993677184,0.997372314,0.316185311,0.236067641,0.141766679,,,,,,,9,0.991520301,0.979700044,0.993677184,0.997372314,0.995209932,0.994169474,0.96100077,0.992699191,0.999236554,0.981118783,0.963595569,0.189634339,0.390315826,0.236067641,0.141766679,0.151975021,0.239243996,0.387139837,0.238442309,0.236568218,0.277111233,0.479090952
