SC Optimal MAE NN: R,SC Optimal MAE NN: MAE,0,Time Optimal MAE NN: R,Time Optimal MAE NN: MAE,Time SC: 0;  Optimal MAE NN: R,Time SC: 1;  Optimal MAE NN: R,Time SC: 0;  Optimal MAE NN: MAE,Time SC: 1;  Optimal MAE NN: MAE,Time Increasing: 0;  Optimal MAE NN: R,Time Increasing: 1;  Optimal MAE NN: R,Time Increasing: 0;  Optimal MAE NN: MAE,Time Increasing: 1;  Optimal MAE NN: MAE,Day 1;  Optimal MAE NN: R,Day 2;  Optimal MAE NN: R,Day 3;  Optimal MAE NN: R,Day 1;  Optimal MAE NN: MAE,Day 2;  Optimal MAE NN: MAE,Day 3;  Optimal MAE NN: MAE
0.982528761,0.275032863,1,0.895533353,0.704097867,0.93181318,0.869211242,0.569592923,0.845288545,0.772751853,0.927703619,1.002550215,0.597821288,0.906092718,0.878248408,0.790174901,0.640292034,1.235283867,1.510071635
0.972451851,0.361977994,2,0.905923918,0.657163963,0.9405673,0.879779339,0.509544641,0.805242613,0.783611253,0.938175008,0.946784481,0.570031002,0.910936594,0.917869359,0.856802195,0.607856452,1.082781404,0.972864985
,,3,0.918774664,0.596321791,0.951739982,0.894676223,0.452961206,0.742625773,0.800720856,0.950444341,0.931736007,0.489887491,0.919202566,0.942155704,0.900397584,0.562115707,0.942349821,1.191957563
,,4,0.927231833,0.556915522,0.96026279,0.903729007,0.428340793,0.697300628,0.80883801,0.959025264,0.872701034,0.442698218,0.925992116,0.939950332,0.934608907,0.528731525,0.917366445,0.934767902
,,5,0.932253391,0.517426558,0.965428263,0.908931538,0.409990273,0.645427957,0.815609202,0.9636724,0.8261998,0.419475377,0.930547208,0.944143012,0.951278746,0.493110858,0.854450196,0.542657688
,,6,0.957838699,0.462076299,0.968544513,0.951217994,0.359103009,0.55790247,0.921862736,0.967707798,0.670986623,0.383332722,0.95833157,0.950813651,0.965485528,0.439638533,0.782980144,0.557304762
,,7,0.966970861,0.422100291,0.971573278,0.964304835,0.338846073,0.493019119,0.951028928,0.971435413,0.569542348,0.374477051,0.967827797,0.958055884,0.972001851,0.401782565,0.717405289,0.472429417
,,8,0.970425576,0.390473522,0.974654227,0.96781081,0.334504031,0.451740965,0.956123948,0.974412873,0.515110925,0.342836164,0.970736295,0.96605058,0.973237872,0.374534473,0.610738978,0.4092682
,,9,0.973432124,0.373729043,0.977423385,0.97121948,0.328581288,0.430489793,0.961203083,0.976752385,0.494085312,0.336826168,0.973392501,0.970673263,0.975861013,0.361640871,0.545322776,0.427900307
,,10,0.976420194,0.35162916,0.980126277,0.974373892,0.299271643,0.402312115,0.965218112,0.979409739,0.453911021,0.312278837,0.976154476,0.974295169,0.978602961,0.342159852,0.493890204,0.49599418
,,11,0.97865656,0.335677147,0.982049674,0.976546213,0.273850959,0.395131379,0.967858538,0.98170945,0.438115016,0.31174811,0.978208601,0.97957243,0.980701432,0.327194013,0.450898029,0.419316754
,,12,0.980494812,0.325880155,0.982948288,0.978948757,0.274097968,0.375925943,0.969529346,0.983752146,0.425586082,0.300169788,0.979924217,0.98362197,0.982976705,0.31855119,0.40413937,0.375039171
,,13,0.982618526,0.314880431,0.984995246,0.981016546,0.267447848,0.352453426,0.97254619,0.985563785,0.414097838,0.277602192,0.982130826,0.985305414,0.984101698,0.308188573,0.366239533,0.297143646
,,14,0.984331504,0.305100843,0.986365825,0.982890636,0.268675208,0.346432187,0.97491096,0.987050518,0.405716196,0.278805628,0.983914658,0.986144006,0.98591195,0.298656747,0.340795185,0.29929531
,,15,0.985597879,0.29356543,0.987561911,0.984172881,0.257309772,0.338094562,0.976897016,0.988140717,0.394341908,0.271741584,0.985275552,0.986727446,0.985942274,0.286615163,0.327386688,0.359580867
,,16,0.986421317,0.281369321,0.988294989,0.985057279,0.237304837,0.322839394,0.977782637,0.989004165,0.379474871,0.254911009,0.986103207,0.987200692,0.986922055,0.274893627,0.31842446,0.567795016
,,17,0.987267599,0.269338891,0.989259496,0.985843137,0.227734335,0.303566225,0.978682086,0.989814773,0.358470209,0.234607928,0.986925408,0.988711119,0.98769331,0.263110749,0.308363266,0.306074813
,,18,0.987724945,0.2634333,0.989614069,0.986419573,0.228157077,0.293897137,0.979472443,0.990111366,0.346282847,0.231447905,0.987371281,0.989402011,0.988388896,0.257572051,0.305809747,0.283181064
