"Real NN 0 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,0; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,0; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,0; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,0; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,0; Days Elapsed,0 - All data","Averages for Spin Coating,0; Days Elapsed,0","Real NN 0 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 0 for Spin Coating,0; Days Elapsed,1 - All data","Real NN 1 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 1 for Spin Coating,0; Days Elapsed,1 - All data","Real NN 2 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 2 for Spin Coating,0; Days Elapsed,1 - All data","Real NN 3 for Spin Coating,0; Days Elapsed,1 - All data","Predicted NN 3 for Spin Coating,0; Days Elapsed,1 - All data","Averages for Spin Coating,0; Days Elapsed,1","Real NN 0 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,1; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,1; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,1; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,1; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,1; Days Elapsed,0 - All data","Averages for Spin Coating,1; Days Elapsed,0","Real NN 0 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,2; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,2; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,2; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,2; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,2; Days Elapsed,0 - All data","Averages for Spin Coating,2; Days Elapsed,0","Real NN 0 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,3; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,3; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,3; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,3; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,3; Days Elapsed,0 - All data","Averages for Spin Coating,3; Days Elapsed,0","Real NN 0 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,4; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,4; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,4; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,4; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,4; Days Elapsed,0 - All data","Averages for Spin Coating,4; Days Elapsed,0","Real NN 0 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,5; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,5; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,5; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,5; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,5; Days Elapsed,0 - All data","Averages for Spin Coating,5; Days Elapsed,0","Real NN 0 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,6; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,6; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,6; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,6; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,6; Days Elapsed,0 - All data","Averages for Spin Coating,6; Days Elapsed,0","Real NN 0 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,7; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,7; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,7; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,7; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,7; Days Elapsed,0 - All data","Averages for Spin Coating,7; Days Elapsed,0","Real NN 0 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,8; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,8; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,8; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,8; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,8; Days Elapsed,0 - All data","Averages for Spin Coating,8; Days Elapsed,0","Real NN 0 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 0 for Spin Coating,9; Days Elapsed,0 - All data","Real NN 1 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 1 for Spin Coating,9; Days Elapsed,0 - All data","Real NN 2 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 2 for Spin Coating,9; Days Elapsed,0 - All data","Real NN 3 for Spin Coating,9; Days Elapsed,0 - All data","Predicted NN 3 for Spin Coating,9; Days Elapsed,0 - All data","Averages for Spin Coating,9; Days Elapsed,0"
0.95,0.9957125186920166,0.95,0.9742946028709412,0.95,0.9407767653465271,0.95,0.9677128791809082,0.9696241915225983,0.76,0.5728466510772705,0.76,1.1299340724945068,0.76,0.7278803586959839,0.76,0.492118775844574,0.7306949645280838,0.95,0.9469858407974243,0.95,0.9419650435447693,0.95,0.9407767653465271,0.95,0.8867979049682617,0.9291313886642456,3.1,2.9669198989868164,3.1,3.0063259601593018,3.1,2.6941518783569336,3.1,2.8247218132019043,2.873029887676239,0.95,0.9690132737159729,0.95,0.9199191927909851,0.95,0.9407767653465271,0.95,0.9677128791809082,0.9493555277585983,0.7,0.7231416702270508,0.7,0.8468115925788879,0.7,0.6881062388420105,0.7,0.9677243232727051,0.8064459562301636,0.95,1.0291810035705566,0.95,1.0732755661010742,0.95,0.9407767653465271,0.95,0.7304978370666504,0.9434327930212021,2.48,3.196157455444336,2.48,2.684622287750244,2.48,2.7907614707946777,2.48,2.596132278442383,2.81691837310791,6.69,6.71503210067749,6.69,6.514718532562256,6.69,6.7878570556640625,6.69,8.23929214477539,7.0642249584198,0.95,0.9195332527160645,0.95,0.9460836052894592,0.95,0.9407767653465271,0.95,1.0068423748016357,0.9533089995384216,0.95,0.9607686996459961,0.95,0.9601169228553772,0.95,0.9407767653465271,0.95,0.8894115686416626,0.9377684891223907
3.6,2.988039970397949,3.6,2.602294683456421,3.6,3.179769992828369,3.6,2.7978367805480957,2.8919853568077087,1.38,2.0086238384246826,1.38,0.9511408805847168,1.38,1.561277151107788,1.38,1.4458694458007812,1.4917278289794922,7.4,5.221315860748291,7.4,5.005910396575928,7.4,4.863490581512451,7.4,6.108251094818115,5.299741983413696,1.88,1.8325546979904175,1.88,1.869572401046753,1.88,1.9292097091674805,1.88,2.0233588218688965,1.9136739075183868,0.95,0.9833452105522156,0.95,0.9064371585845947,0.95,0.9407767653465271,0.95,1.0566908121109009,0.9718124866485596,0.6,1.058956265449524,0.6,1.349461555480957,0.6,0.4519781470298767,0.6,0.9715957641601562,0.9579979330301285,0.95,0.9657647609710693,0.95,0.9605385065078735,0.95,0.9407767653465271,0.95,0.9677128791809082,0.9586982280015945,4.4,4.209902763366699,4.4,4.223336219787598,4.4,4.590662956237793,4.4,4.226282119750977,4.312546014785767,0.73,1.2053661346435547,0.73,1.1661568880081177,0.73,0.9255948662757874,0.73,1.2220189571380615,1.1297842115163803,0.96,1.0027697086334229,0.96,1.300553798675537,0.96,1.11329984664917,0.96,0.998260498046875,1.1037209630012512,3.75,4.97173547744751,3.75,4.885373115539551,3.75,5.23981237411499,3.75,4.808360576629639,4.976320385932922
0.95,0.9674863219261169,0.95,1.0344796180725098,0.95,0.9407767653465271,0.95,0.8573143482208252,0.9500142633914948,0.95,0.9661904573440552,0.95,0.9316365718841553,0.95,0.9407767653465271,0.95,0.9677128791809082,0.9515791684389114,0.86,1.215478539466858,0.86,1.0564641952514648,0.86,1.0878618955612183,0.86,0.8719867467880249,1.0579478442668915,0.9,0.971274733543396,0.9,0.9294282793998718,0.9,0.6736597418785095,0.9,0.6461546421051025,0.80512934923172,3.95,4.36549186706543,3.95,4.273097991943359,3.95,4.35283899307251,3.95,4.313485145568848,4.326228499412537,1.42,1.2842705249786377,1.42,1.2275042533874512,1.42,1.2393016815185547,1.42,1.135265588760376,1.2215855121612549,0.95,0.9643949270248413,0.95,1.011326789855957,0.95,0.9407767653465271,0.95,0.8645623326301575,0.9452652037143707,7.4,5.25187349319458,7.4,5.570115089416504,7.4,5.306604862213135,7.4,6.584244251251221,5.67820942401886,7.53,5.821329593658447,7.53,6.49044942855835,7.53,5.690291881561279,7.53,5.989118576049805,5.99779736995697,6.69,7.015845775604248,6.69,7.209090709686279,6.69,7.154788017272949,6.69,7.1031270027160645,7.120712876319885,4.54,4.3001532554626465,4.54,4.400977611541748,4.54,4.152029037475586,4.54,4.626180171966553,4.369835019111633
3.62,3.4656944274902344,3.62,3.89320707321167,3.62,3.5969114303588867,3.62,3.4461026191711426,3.6004788875579834,5.79,5.250811576843262,5.79,5.441954612731934,5.79,5.027528285980225,5.79,6.094476222991943,5.453692674636841,4.36,4.14185094833374,4.36,4.357176780700684,4.36,4.820258617401123,4.36,4.353293418884277,4.418144941329956,0.95,0.9633203148841858,0.95,0.9545977115631104,0.95,0.9407767653465271,0.95,1.1294275522232056,0.9970305860042572,0.69,0.5548495054244995,0.69,0.9691609740257263,0.69,0.7031071186065674,0.69,0.9668116569519043,0.7984823137521744,1.1,1.143690824508667,1.1,1.2812416553497314,1.1,1.0687702894210815,1.1,1.0392987728118896,1.1332503855228424,0.84,0.95429527759552,0.84,0.6728931665420532,0.84,0.9407767653465271,0.84,0.9030708074569702,0.8677590042352676,4.02,4.08173942565918,4.02,4.686258792877197,4.02,4.730177402496338,4.02,4.918369293212891,4.604136228561401,7.62,6.687698841094971,7.62,7.2177934646606445,7.62,6.986137390136719,7.62,7.31076192855835,7.050597906112671,0.59,0.6663725972175598,0.59,1.0661566257476807,0.59,0.8366898894309998,0.59,0.8134355545043945,0.8456636667251587,6.41,5.108927249908447,6.41,6.166624069213867,6.41,4.913102626800537,6.41,5.194901943206787,5.34588897228241
0.8,0.8739029169082642,0.8,0.8401190638542175,0.8,0.2935726046562195,0.8,0.8039363622665405,0.7028827369213104,2.16,2.1906044483184814,2.16,2.07415509223938,2.16,2.236919641494751,2.16,2.024820327758789,2.1316248774528503,6.08,3.8691649436950684,6.08,4.84633731842041,6.08,5.657680511474609,6.08,5.8871073722839355,5.065072536468506,0.7,0.5155032873153687,0.7,0.6208591461181641,0.7,0.5100350379943848,0.7,0.5409848690032959,0.5468455851078033,0.7,0.7392927408218384,0.7,0.8220227360725403,0.7,0.6808319091796875,0.7,0.9743095636367798,0.8041142374277115,0.98,1.8951345682144165,0.98,2.4728035926818848,0.98,3.22611141204834,0.98,2.9546666145324707,2.637179046869278,7.94,7.611145496368408,7.94,7.547004699707031,7.94,6.9667887687683105,7.94,7.0225396156311035,7.286869645118713,2.64,4.168812274932861,2.64,4.575699806213379,2.64,3.484208583831787,2.64,4.953303337097168,4.295506000518799,5.9,5.665895938873291,5.9,5.54854679107666,5.9,5.566586017608643,5.9,5.461427211761475,5.560613989830017,3.67,3.5182442665100098,3.67,3.4283413887023926,3.67,4.123777389526367,3.67,3.639991044998169,3.6775885224342346,1.49,1.5859216451644897,1.49,1.7796680927276611,1.49,1.4199885129928589,1.49,1.9762505292892456,1.6904571950435638
1.5,1.6145668029785156,1.5,1.5423271656036377,1.5,1.716339349746704,1.5,1.737105131149292,1.6525846123695374,4.54,4.620709419250488,4.54,4.570717811584473,4.54,4.319726467132568,4.54,4.143813133239746,4.413741707801819,2.37,3.969813346862793,2.37,3.1114399433135986,2.37,3.373525381088257,2.37,3.824903726577759,3.569920599460602,0.95,0.9489519596099854,0.95,0.9591637253761292,0.95,0.9407767653465271,0.95,1.0249974727630615,0.9684724807739258,6.69,7.014382839202881,6.69,7.096508979797363,6.69,7.176265716552734,6.69,7.017811298370361,7.076242208480835,0.81,0.9673434495925903,0.81,0.5460786819458008,0.81,0.9407767653465271,0.81,0.9712784886360168,0.8563693463802338,4.1,4.488606929779053,4.1,4.301736831665039,4.1,4.178674697875977,4.1,4.029158592224121,4.249544262886047,0.95,0.9499434232711792,0.95,1.072972297668457,0.95,0.9407767653465271,0.95,0.9580385684967041,0.9804327636957169,4.88,4.759395122528076,4.88,5.253673553466797,4.88,5.083423137664795,4.88,4.88686466217041,4.9958391189575195,4.38,4.383580207824707,4.38,4.369381427764893,4.38,4.567167282104492,4.38,4.469485282897949,4.44740355014801,4.42,4.62628173828125,4.42,4.531808853149414,4.42,4.955449104309082,4.42,4.5601396560668945,4.66841983795166
3.4,3.3137059211730957,3.4,3.588751792907715,3.4,3.519904851913452,3.4,3.500060558319092,3.4806057810783386,0.95,0.9345134496688843,0.95,0.9866214990615845,0.95,0.9407767653465271,0.95,0.8160333633422852,0.9194862693548203,0.86,0.5539752244949341,0.86,1.0041183233261108,0.86,1.5010337829589844,0.86,1.1689820289611816,1.0570273399353027,6.15,5.8538689613342285,6.15,6.264962196350098,6.15,6.171957492828369,6.15,6.188226222991943,6.11975371837616,7.44,8.194273948669434,7.44,7.775524616241455,7.44,8.141744613647461,7.44,7.544881343841553,7.914106130599976,8.71,8.540541648864746,8.71,7.928525447845459,8.71,8.351175308227539,8.71,7.922949314117432,8.185797929763794,3.04,2.6025991439819336,3.04,2.9473564624786377,3.04,2.4453680515289307,3.04,2.3459811210632324,2.5853261947631836,7.12,7.244791507720947,7.12,6.892523765563965,7.12,7.451898574829102,7.12,6.901725769042969,7.122734904289246,,,,,,,,,,2.12,2.097883701324463,2.12,2.1234867572784424,2.12,2.2136478424072266,2.12,1.5150465965270996,1.9875162243843079,0.68,1.0408509969711304,0.68,1.3186302185058594,0.68,0.41571682691574097,0.68,0.961300253868103,0.9341245740652084
7.53,5.4600749015808105,7.53,5.889735698699951,7.53,5.405390739440918,7.53,6.399532794952393,5.788683533668518,3.04,3.224592685699463,3.04,3.382443904876709,3.04,3.0455496311187744,3.04,3.0535600185394287,3.1765365600585938,4.42,4.400174617767334,4.42,4.4956488609313965,4.42,4.7215895652771,4.42,4.280583381652832,4.4744991064071655,5.73,6.420851230621338,5.73,6.6476593017578125,5.73,6.227785587310791,5.73,6.362810134887695,6.414776563644409,0.95,0.9596917033195496,0.95,0.9467697739601135,0.95,0.9407767653465271,0.95,1.0552445650100708,0.9756207019090652,3.75,3.6900582313537598,3.75,4.110647678375244,3.75,3.8504855632781982,3.75,4.099676609039307,3.937717020511627,4.52,3.937399387359619,4.52,4.2934160232543945,4.52,4.259575366973877,4.52,3.8794195652008057,4.092452585697174,0.6,0.7397569417953491,0.6,0.7015578746795654,0.6,0.6906722784042358,0.6,0.77681565284729,0.7272006869316101,,,,,,,,,,7.4,6.5486931800842285,7.4,6.6420817375183105,7.4,7.0091400146484375,7.4,6.683073043823242,6.720746994018555,1.39,2.212800979614258,1.39,1.8432459831237793,1.39,2.713813543319702,1.39,2.160792350769043,2.2326632142066956
4.33,3.9241342544555664,4.33,3.9377589225769043,4.33,4.587146759033203,4.33,4.096441268920898,4.136370301246643,5.59,5.465512275695801,5.59,5.644097328186035,5.59,4.684757709503174,5.59,5.7925519943237305,5.396729826927185,4.4,4.103757381439209,4.4,4.351472854614258,4.4,4.583251476287842,4.4,4.291789531707764,4.332567811012268,9.45,6.617757320404053,9.45,7.17188024520874,9.45,7.365847587585449,9.45,6.727248668670654,6.970683455467224,6.06,5.940484046936035,6.06,7.169506549835205,6.06,5.8965744972229,6.06,7.302370548248291,6.577233910560608,,,,,,,,,,0.95,0.9178215861320496,0.95,1.1040513515472412,0.95,0.9407767653465271,0.95,0.6725978851318359,0.9088118970394135,2.72,2.343559741973877,2.72,2.143566370010376,2.72,2.124687433242798,2.72,2.2205259799957275,2.2080848813056946,,,,,,,,,,0.75,0.683171272277832,0.75,0.7872298359870911,0.75,0.6139479875564575,0.75,0.8744205236434937,0.7396924048662186,0.95,0.9562015533447266,0.95,1.0006412267684937,0.95,0.9407767653465271,0.95,0.947663426399231,0.9613207429647446
0.95,0.987250804901123,0.95,0.9876404404640198,0.95,0.9407767653465271,0.95,0.8593499660491943,0.9437544941902161,6.28,6.694241046905518,6.28,7.243879318237305,6.28,6.923908233642578,6.28,6.878909587860107,6.935234546661377,,,,,,,,,,,,,,,,,,,0.95,0.9268505573272705,0.95,1.0885560512542725,0.95,0.9407767653465271,0.95,0.968096137046814,0.981069877743721,,,,,,,,,,0.67,0.6740002632141113,0.67,0.8609228730201721,0.67,0.7567263841629028,0.67,0.9911561012268066,0.8207014054059982,0.95,0.9803010821342468,0.95,0.9098998308181763,0.95,0.9407767653465271,0.95,0.9677128791809082,0.9496726393699646,,,,,,,,,,0.95,0.895686686038971,0.95,0.9010112285614014,0.95,0.9407767653465271,0.95,0.9677128791809082,0.9262968897819519,4.02,3.815596103668213,4.02,4.351040363311768,4.02,4.280877113342285,4.02,4.122727870941162,4.142560362815857
