"Real NN 3 for Spin Coating,0; Days Elapsed,0 - All data","Averages for Spin Coating,0; Days Elapsed,0","Real NN 3 for Spin Coating,0; Days Elapsed,1 - All data","Averages for Spin Coating,0; Days Elapsed,1","Real NN 3 for Spin Coating,1; Days Elapsed,0 - All data","Averages for Spin Coating,1; Days Elapsed,0","Real NN 3 for Spin Coating,2; Days Elapsed,0 - All data","Averages for Spin Coating,2; Days Elapsed,0","Real NN 3 for Spin Coating,3; Days Elapsed,0 - All data","Averages for Spin Coating,3; Days Elapsed,0","Real NN 3 for Spin Coating,4; Days Elapsed,0 - All data","Averages for Spin Coating,4; Days Elapsed,0","Real NN 3 for Spin Coating,5; Days Elapsed,0 - All data","Averages for Spin Coating,5; Days Elapsed,0","Real NN 3 for Spin Coating,6; Days Elapsed,0 - All data","Averages for Spin Coating,6; Days Elapsed,0","Real NN 3 for Spin Coating,7; Days Elapsed,0 - All data","Averages for Spin Coating,7; Days Elapsed,0","Real NN 3 for Spin Coating,8; Days Elapsed,0 - All data","Averages for Spin Coating,8; Days Elapsed,0","Real NN 3 for Spin Coating,9; Days Elapsed,0 - All data","Averages for Spin Coating,9; Days Elapsed,0"
0.95,0.9801887720823288,6.64,5.833418250083923,4.01,5.394748210906982,6.6,8.128647923469543,6.15,6.070831537246704,6.15,6.122758746147156,0.95,0.9698618799448013,6.69,7.103726267814636,5.0,4.919315457344055,3.62,3.5313280820846558,5.59,5.985799551010132
0.95,1.0001187920570374,2.79,2.907627522945404,0.87,0.9304880201816559,3.6,3.410987675189972,7.39,7.838939189910889,4.85,4.4684648513793945,4.83,4.871450304985046,3.2,3.187052845954895,6.61,6.551176905632019,6.64,6.3487772941589355,4.43,3.941267430782318
0.67,0.7356302887201309,7.1,6.959354281425476,0.86,0.8396556973457336,0.95,0.9469292014837265,4.29,3.842363953590393,5.73,6.038474202156067,2.72,2.2519336938858032,0.95,0.9577424377202988,2.72,2.8923081159591675,7.62,6.4734779596328735,0.95,0.9660766422748566
4.54,4.100311994552612,0.95,0.9934140741825104,5.52,5.506524205207825,2.62,2.5941832661628723,4.36,4.895218253135681,0.95,0.9471781998872757,6.64,5.8634501695632935,2.28,2.42010760307312,8.01,8.236591815948486,0.95,0.8978129029273987,2.62,1.5428926646709442
0.78,1.0277229249477386,4.1,4.133253991603851,0.95,0.9518117904663086,1.93,1.8972743451595306,1.49,1.5967489182949066,3.6,3.411812424659729,4.33,4.044842779636383,2.64,3.972842276096344,3.75,3.730499804019928,0.6,0.8034438192844391,0.95,0.9739704877138138
0.95,0.9057140350341797,5.52,5.885200142860413,6.06,6.328161120414734,3.12,3.038985311985016,0.95,0.980393186211586,0.84,0.9319411069154739,7.39,7.637081742286682,7.62,6.106443643569946,3.67,3.941470503807068,0.95,0.860758051276207,0.82,0.7952353805303574
6.47,6.321471810340881,1.63,1.710973858833313,2.72,2.2660048604011536,3.67,3.805057644844055,7.89,8.127017617225647,0.95,0.93472059071064,0.95,1.1080877184867859,0.82,1.0325971841812134,,,0.85,0.8752453625202179,7.44,8.061116218566895
2.62,2.5202338099479675,2.64,2.5785220861434937,0.95,0.9469325691461563,0.95,0.9157607704401016,0.95,0.8758802562952042,0.95,0.9453215301036835,4.29,4.507134318351746,2.79,2.526531457901001,,,0.95,0.9652231484651566,4.54,4.289734125137329
4.67,4.211797595024109,6.41,5.742528796195984,6.06,6.655055999755859,0.95,0.9871063530445099,0.95,0.9228977859020233,,,1.38,1.0309688448905945,0.77,0.8401045799255371,,,1.93,1.9556898176670074,2.48,2.7916757464408875
0.68,0.9649776667356491,0.95,0.9552309811115265,,,,,6.06,6.287187933921814,,,6.47,6.297854900360107,0.83,1.1218206584453583,,,1.04,1.4186943173408508,0.67,0.6603012979030609
