Real NN 0 Correlation for Spin Coating - 0: MAE,Predicted NN 0 Correlation for Spin Coating - 0: MAE,Real NN 1 Correlation for Spin Coating - 0: MAE,Predicted NN 1 Correlation for Spin Coating - 0: MAE,Real NN 2 Correlation for Spin Coating - 0: MAE,Predicted NN 2 Correlation for Spin Coating - 0: MAE,Real NN 3 Correlation for Spin Coating - 0: MAE,Predicted NN 3 Correlation for Spin Coating - 0: MAE,Averages for 0:,Real NN 0 Correlation for Spin Coating - 1: MAE,Predicted NN 0 Correlation for Spin Coating - 1: MAE,Real NN 1 Correlation for Spin Coating - 1: MAE,Predicted NN 1 Correlation for Spin Coating - 1: MAE,Real NN 2 Correlation for Spin Coating - 1: MAE,Predicted NN 2 Correlation for Spin Coating - 1: MAE,Real NN 3 Correlation for Spin Coating - 1: MAE,Predicted NN 3 Correlation for Spin Coating - 1: MAE,Averages for 1:
2.79,2.2348151206970215,2.79,2.319960594177246,2.79,2.143791437149048,2.79,1.9601658582687378,2.1646832525730133,7.1,7.227555751800537,7.1,7.43591833114624,7.1,7.004780292510986,7.1,6.915210247039795,7.14586615562439
0.73,0.886444091796875,0.73,0.770916223526001,0.73,0.8990644216537476,0.73,0.7860139608383179,0.8356096744537354,0.95,1.0224754810333252,0.95,0.9655499458312988,0.95,0.9659054279327393,0.95,0.8864277601242065,0.9600896537303925
0.68,0.7523174285888672,0.68,0.5612425804138184,0.68,0.5538026690483093,0.68,0.48732343316078186,0.5886715278029442,4.7,4.946749210357666,4.7,5.382960319519043,4.7,5.149059772491455,4.7,5.190488815307617,5.167314529418945
2.72,2.8050308227539062,2.72,2.182204008102417,2.72,2.500683307647705,2.72,1.9914568662643433,2.369843751192093,0.95,0.983069658279419,0.95,0.8380612134933472,0.95,0.2941926121711731,0.95,0.5064290761947632,0.6554381400346756
0.68,0.9132108688354492,0.68,0.7408125400543213,0.68,0.6778420805931091,0.68,0.6185511350631714,0.7376041561365128,3.12,2.644427537918091,3.12,2.513760566711426,3.12,2.6122872829437256,3.12,2.3963711261749268,2.5417116284370422
0.87,0.9595201015472412,0.87,0.9267945289611816,0.87,0.8132150769233704,0.87,0.7481616735458374,0.8619228452444077,0.95,1.1516811847686768,0.95,0.8945897817611694,0.95,0.8792091608047485,0.95,1.015847086906433,0.985331803560257
0.93,1.213054895401001,0.93,0.8017787933349609,0.93,1.094204306602478,0.93,1.005895972251892,1.028733491897583,0.95,1.0180351734161377,0.95,1.0178321599960327,0.95,0.9727339148521423,0.95,0.9239953756332397,0.9831491559743881
3.64,3.1487128734588623,3.64,3.2852678298950195,3.64,2.839487314224243,3.64,3.5136635303497314,3.196782886981964,2.12,2.5442166328430176,2.12,2.3082973957061768,2.12,2.360719680786133,2.12,2.0137996673583984,2.3067583441734314
0.8,1.2664233446121216,0.8,0.7807618379592896,0.8,0.8576707243919373,0.8,0.7286924123764038,0.908387079834938,2.62,2.610128402709961,2.62,2.633176326751709,2.62,2.33424973487854,2.62,2.4156999588012695,2.49831360578537
6.47,6.154413223266602,6.47,6.717240333557129,6.47,7.417254447937012,6.47,7.124522686004639,6.853357672691345,1.04,1.0868157148361206,1.04,1.0815285444259644,1.04,1.2709083557128906,1.04,1.0524163246154785,1.1229172348976135
4.75,4.997186660766602,4.75,4.868246078491211,4.75,4.715295791625977,4.75,4.829704761505127,4.852608323097229,6.12,5.837920665740967,6.12,5.6144514083862305,6.12,5.787930011749268,6.12,5.5693159103393555,5.702404499053955
2.72,2.4074583053588867,2.72,2.1819710731506348,2.72,2.412470817565918,2.72,2.3418262004852295,2.3359315991401672,6.15,5.888586521148682,6.15,5.689365386962891,6.15,5.5371317863464355,6.15,5.732346057891846,5.711857438087463
1.88,1.9336085319519043,1.88,1.6807403564453125,1.88,1.9356372356414795,1.88,1.8787566423416138,1.8571856915950775,0.95,0.9997947216033936,0.95,0.8962167501449585,0.95,0.911456286907196,0.95,0.8332523107528687,0.9101800173521042
3.64,3.8760859966278076,3.64,3.6837573051452637,3.64,3.926612615585327,3.64,3.6344106197357178,3.780216634273529,2.93,3.3564536571502686,2.93,3.654494285583496,2.93,3.6260018348693848,2.93,3.596364736557007,3.558328628540039
0.81,0.8978967666625977,0.81,0.882386326789856,0.81,0.8547694087028503,0.81,0.857967734336853,0.8732550591230392,0.93,0.7985302209854126,0.93,0.7824698686599731,0.93,1.2762058973312378,0.93,0.6547712087631226,0.8779942989349365
4.4,4.292137145996094,4.4,4.250411510467529,4.4,4.3241963386535645,4.4,4.4045844078063965,4.317832350730896,2.71,3.053453207015991,2.71,2.9944891929626465,2.71,2.3720197677612305,2.71,2.6816258430480957,2.775397002696991
0.67,0.7669506072998047,0.67,0.7361392974853516,0.67,0.6997115612030029,0.67,0.5973590612411499,0.7000401318073273,0.95,0.80861496925354,0.95,0.7495192289352417,0.95,0.7336764335632324,0.95,0.6789001226425171,0.7426776885986328
5.73,5.946628093719482,5.73,5.952597618103027,5.73,6.082767009735107,5.73,6.28965425491333,6.067911744117737,8.02,8.191155433654785,8.02,7.745418548583984,8.02,8.45138168334961,8.02,8.009381294250488,8.099334239959717
0.64,0.7232084274291992,0.64,0.6390846967697144,0.64,0.677051842212677,0.64,0.426995187997818,0.6165850386023521,5.98,6.050206661224365,5.98,6.20621395111084,5.98,5.8232340812683105,5.98,5.930197238922119,6.002462983131409
4.32,4.360833168029785,4.32,4.472053527832031,4.32,4.320918560028076,4.32,4.42840576171875,4.395552754402161,6.06,6.108925819396973,6.06,6.109523773193359,6.06,5.860229969024658,6.06,5.905099391937256,5.9959447383880615
2.16,2.1208229064941406,2.16,2.080528736114502,2.16,2.1751346588134766,2.16,1.8978441953659058,2.0685826241970062,0.95,0.8905250430107117,0.95,1.2142027616500854,0.95,0.9033434391021729,0.95,0.7842710018157959,0.9480855613946915
0.93,1.5013267993927002,0.93,1.148776650428772,0.93,1.3154187202453613,0.93,1.048315405845642,1.253459393978119,0.76,0.7203946113586426,0.76,0.9657820463180542,0.76,0.6180498600006104,0.76,0.6494468450546265,0.7384183406829834
0.84,0.6894340515136719,0.84,0.9061950445175171,0.84,0.8737232685089111,0.84,0.7933725118637085,0.8156812191009521,8.02,8.169169425964355,8.02,7.721600532531738,8.02,8.302823066711426,8.02,8.042807579040527,8.059100151062012
2.16,2.2736408710479736,2.16,2.0772321224212646,2.16,2.2898051738739014,2.16,2.305525779724121,2.236550986766815,0.95,1.227022409439087,0.95,1.223717212677002,0.95,0.9940366744995117,0.95,1.0441392660140991,1.122228890657425
0.94,0.8958125114440918,0.94,0.8845218420028687,0.94,0.854559063911438,0.94,0.8308900594711304,0.8664458692073822,2.8,3.8999574184417725,2.8,4.024105072021484,2.8,4.044076442718506,2.8,2.9330129623413086,3.725287973880768
4.02,3.905402421951294,4.02,3.9619154930114746,4.02,3.8786699771881104,4.02,3.9423506259918213,3.922084629535675,5.98,3.8103888034820557,5.98,5.169471740722656,5.98,5.043934345245361,5.98,4.4320573806762695,4.613963067531586
