Epochs,Lowest MAE,Smoothed Epochs,Lowest MAE Smoothed,"R: 8, 8","MAE: 8, 8"
1,1.7528363764286041,1,1.7528363764286041,0.9626758247613907,0.40514063835144043
2,1.6099161505699158,2,1.7099603086709976,,
3,1.539230465888977,3,1.6587413558363915,,
4,1.4666498601436615,4,1.6011139071285725,,
5,1.3904962241649628,5,1.5379286022394896,,
6,1.3013016283512115,6,1.4669405100730062,,
7,1.2116037607192993,7,1.3903394852668942,,
8,1.1249365210533142,8,1.31071859600282,,
9,1.0372308790683746,9,1.2286722809224864,,
10,0.9875358194112778,10,1.1563313424691237,,
11,0.907259926199913,11,1.0816099175883604,,
12,0.8503376990556717,12,1.012228252028554,,
13,0.7846694588661194,13,0.9439606140798236,,
14,0.7388068586587906,14,0.8824144874535137,,
15,0.7108040452003479,15,0.830931354777564,,
16,0.6859095543622971,16,0.787424814652984,,
17,0.6827935874462128,17,0.7560354464909526,,
18,0.6579225063323975,18,0.726601564443386,,
19,0.6287429630756378,19,0.6972439840330615,,
20,0.613026887178421,20,0.6719788549766694,,
21,0.6075868457555771,21,0.6526612522103417,,
22,0.6055506244301796,22,0.638528063876293,,
23,0.5863054692745209,23,0.6228612854957614,,
24,0.5836743265390396,24,0.6111051978087448,,
25,0.5826512351632118,25,0.6025690090150849,,
26,0.5700032114982605,26,0.5927992697600376,,
27,0.5654318481683731,27,0.5845890432825382,,
28,0.5676920264959335,28,0.5795199382465568,,
29,0.5665569007396698,29,0.5756310269944906,,
30,0.5564208403229713,30,0.5698679709930349,,
31,0.5469935536384583,31,0.5630056457866619,,
32,0.539222463965416,32,0.5558706912402881,,
33,0.5330603867769241,33,0.5490275999012789,,
34,0.5355657190084457,34,0.544989035633429,,
35,0.5294689312577248,35,0.5403330043207177,,
36,0.5293721109628677,36,0.5370447363133628,,
37,0.5158459469676018,37,0.5306850995096345,,
38,0.518709771335125,38,0.5270925010572816,,
39,0.5152796283364296,39,0.523548639241026,,
40,0.5099811777472496,40,0.5194784007928931,,
41,0.5218484774231911,41,0.5201894237819824,,
42,0.5028837993741035,42,0.5149977364596188,,
43,0.5112840831279755,43,0.5138836404601258,,
44,0.5136787071824074,44,0.5138221604768103,,
45,0.5095387101173401,45,0.5125371253689692,,
46,0.5127320736646652,46,0.512595609857678,,
47,0.49415428936481476,47,0.507063213709819,,
48,0.49146008491516113,48,0.5023822750714216,,
49,0.49915939569473267,49,0.5014154112584149,,
50,0.49016086757183075,50,0.4980390481524397,,
51,0.5107984393835068,51,0.5018668655217599,,
52,0.4877905175089836,52,0.49764396111792697,,
53,0.4947405532002449,53,0.4967729387426223,,
54,0.481183797121048,54,0.49209619625615003,,
55,0.4831753969192505,55,0.4894199564550802,,
56,0.4943429231643677,56,0.4908968464678664,,
57,0.4807807728648186,57,0.48786202438695203,,
58,0.4849710911512375,58,0.4869947444162377,,
59,0.4901119992136955,59,0.48792992085547504,,
60,0.474311925470829,60,0.48384452224008123,,
61,0.47333576530218124,61,0.48069189515871125,,
62,0.4749705344438553,62,0.47897548694425446,,
63,0.474058635532856,63,0.4775004315208349,,
64,0.4704362004995346,64,0.4753811622144448,,
65,0.4840131103992462,65,0.47797074666988526,,
66,0.47195811569690704,66,0.4761669573779918,,
67,0.4688880890607834,67,0.4739832968828293,,
68,0.4682864844799042,68,0.4722742531619518,,
69,0.47300999611616135,69,0.47249497604821467,,
70,0.471807599067688,70,0.47228876295405664,,
71,0.46660225838422775,71,0.470582811583108,,
72,0.4687153398990631,72,0.4700225700778945,,
73,0.4700750857591629,73,0.47003832478227503,,
74,0.4797677546739578,74,0.47295715374977987,,
75,0.469701312482357,75,0.471980401369553,,
76,0.4658430218696594,76,0.4701391875195849,,
77,0.46401410549879074,77,0.46830166291334663,,
78,0.4619027227163315,78,0.4663819808542421,,
79,0.4710189178586006,79,0.46777306195554963,,
80,0.46850574761629105,80,0.46799286765377207,,
81,0.4694402143359184,81,0.46842707165841596,,
82,0.46586326509714127,82,0.46765792969003356,,
83,0.45758362859487534,83,0.4646356393614861,,
84,0.46164321154356003,84,0.4637379110161083,,
85,0.44993622601032257,85,0.45959740551437256,,
86,0.45313507318496704,86,0.4576587058155509,,
87,0.45810166001319885,87,0.45779159207484527,,
88,0.4519526734948158,88,0.4560399165008365,,
89,0.46192923188209534,89,0.45780671111521415,,
90,0.4569537118077278,90,0.45755081132296826,,
91,0.4618123918771744,91,0.4588292854892301,,
92,0.454204298555851,92,0.45744178940921637,,
93,0.47703154385089874,93,0.4633187157417211,,
94,0.4493347108364105,94,0.45912351427012793,,
95,0.4617382064461708,95,0.45990792192294083,,
96,0.46910083293914795,96,0.46266579522780293,,
97,0.4578194245696068,97,0.4612118840303441,,
98,0.4550359845161438,98,0.459359114176084,,
99,0.45571237057447433,99,0.4582650910956011,,
100,0.4538997933268547,100,0.4569555017649772,,
