Time,Current,Spin Coating,Increasing PPM,Temperature,Repeat Sensor Use,Days Elapsed,Concentration
0.00,-2.84,0.00,1.00,22.00,1.00,1.00,0.60
0.00,-2.84,0.00,1.00,22.00,1.00,1.00,0.70
0.00,-2.84,0.00,1.00,22.00,1.00,1.00,0.56
0.00,-8.84,0.00,1.00,22.00,1.00,1.00,1.49
0.00,-10.50,0.00,1.00,22.00,1.00,1.00,1.63
0.00,-11.50,0.00,1.00,22.00,1.00,1.00,1.88
0.00,-23.70,0.00,1.00,22.00,1.00,1.00,3.37
0.00,-32.50,0.00,1.00,22.00,1.00,1.00,3.75
0.00,-24.90,0.00,1.00,22.00,1.00,1.00,4.02
0.00,-49.20,0.00,1.00,22.00,1.00,1.00,6.15
0.00,-49.50,0.00,1.00,22.00,1.00,1.00,6.06
0.00,-31.70,0.00,1.00,22.00,1.00,1.00,6.47
0.00,-27.00,0.00,0.00,22.00,1.00,1.00,4.10
0.00,-20.20,0.00,0.00,22.00,1.00,1.00,3.64
0.00,-16.80,0.00,0.00,22.00,1.00,1.00,3.60
0.00,-4.91,0.00,0.00,22.00,1.00,1.00,0.85
0.00,-4.78,0.00,0.00,22.00,1.00,1.00,0.70
0.00,-11.00,0.00,1.00,22.00,1.00,1.00,2.79
0.00,-27.40,0.00,1.00,22.00,1.00,4.00,4.36
0.00,-3.84,0.00,0.00,22.00,1.00,4.00,0.60
0.00,-3.84,0.00,0.00,22.00,1.00,4.00,0.68
0.00,-1.91,0.00,1.00,22.00,1.00,4.00,0.77
0.00,-7.78,0.00,1.00,22.00,1.00,4.00,2.16
0.00,-30.20,0.00,1.00,22.00,1.00,4.00,4.88
0.00,-32.90,0.00,1.00,22.00,1.00,4.00,7.62
0.00,-21.30,0.00,0.00,22.00,1.00,4.00,6.48
0.00,-6.78,0.00,1.00,22.00,1.00,4.00,0.73
0.00,-3.78,0.00,1.00,22.00,1.00,4.00,1.42
0.00,-11.50,0.00,1.00,22.00,1.00,4.00,2.72
0.00,-12.80,0.00,1.00,22.00,1.00,4.00,3.95
