Epochs,Lowest MAE,Highest R,Smoothed Epochs,Lowest MAE Smoothed,Highest R Smoothed
1,2.410069465637207,2.410069465637207,1,2.410069465637207,2.410069465637207
2,2.184108465909958,2.184108465909958,2,2.3648772656917574,2.3648772656917574
3,2.0341335833072662,2.0341335833072662,3,2.298728529214859,2.298728529214859
4,1.935184806585312,1.935184806585312,4,2.22601978468895,2.22601978468895
5,1.8604885935783386,1.8604885935783386,5,2.1529135464668276,2.1529135464668276
6,1.7991590797901154,1.7991590797901154,6,2.082162653131485,2.082162653131485
7,1.7496087849140167,1.7496087849140167,7,2.0156518794879914,2.0156518794879914
8,1.7013369500637054,1.7013369500637054,8,1.9527888936031343,1.9527888936031343
9,1.6639500260353088,1.6639500260353088,9,1.8950211200895692,1.8950211200895692
10,1.6288919150829315,1.6288919150829315,10,1.8417952790882417,1.8417952790882417
11,1.6003026366233826,1.6003026366233826,11,1.79349675059527,1.79349675059527
12,1.5702319145202637,1.5702319145202637,12,1.7488437833802688,1.7488437833802688
13,1.545626848936081,1.545626848936081,13,1.7082003964914312,1.7082003964914312
14,1.5183722376823425,1.5183722376823425,14,1.6702347647296136,1.6702347647296136
15,1.4943561255931854,1.4943561255931854,15,1.635059036902328,1.635059036902328
16,1.4709922969341278,1.4709922969341278,16,1.6022456889086878,1.6022456889086878
17,1.44790780544281,1.44790780544281,17,1.5713781122155122,1.5713781122155122
18,1.4215388596057892,1.4215388596057892,18,1.5414102616935677,1.5414102616935677
19,1.3940573036670685,1.3940573036670685,19,1.5119396700882677,1.5119396700882677
20,1.363828867673874,1.363828867673874,20,1.482317509605389,1.482317509605389
21,1.3396395146846771,1.3396395146846771,21,1.4537819106212466,1.4537819106212466
22,1.3097069263458252,1.3097069263458252,22,1.4249669137661622,1.4249669137661622
23,1.2827086448669434,1.2827086448669434,23,1.3965152599863184,1.3965152599863184
24,1.2538170516490936,1.2538170516490936,24,1.3679756183188734,1.3679756183188734
25,1.2269347310066223,1.2269347310066223,25,1.339767440856423,1.339767440856423
26,1.2053337693214417,1.2053337693214417,26,1.3128807065494268,1.3128807065494268
27,1.1765508353710175,1.1765508353710175,27,1.285614732313745,1.285614732313745
28,1.151166245341301,1.151166245341301,28,1.2587250349192562,1.2587250349192562
29,1.125530168414116,1.125530168414116,29,1.2320860616182283,1.2320860616182283
30,1.0966432690620422,1.0966432690620422,30,1.204997503106991,1.204997503106991
31,1.0707276463508606,1.0707276463508606,31,1.178143531755765,1.178143531755765
32,1.048443540930748,1.048443540930748,32,1.1522035335907614,1.1522035335907614
33,1.0273000746965408,1.0273000746965408,33,1.1272228418119175,1.1272228418119175
34,1.0058683604002,1.0058683604002,34,1.102951945529574,1.102951945529574
35,0.9923861175775528,0.9923861175775528,35,1.0808387799391697,1.0808387799391697
36,0.9716425538063049,0.9716425538063049,36,1.0589995347125967,1.0589995347125967
37,0.963693305850029,0.963693305850029,37,1.0399382889400832,1.0399382889400832
38,0.942843496799469,0.942843496799469,38,1.0205193305119604,1.0205193305119604
39,0.9345095753669739,0.9345095753669739,39,1.003317379482963,1.003317379482963
40,0.9193131178617477,0.9193131178617477,40,0.98651652715872,0.98651652715872
41,0.908205047249794,0.908205047249794,41,0.9708542311769348,0.9708542311769348
42,0.8979745209217072,0.8979745209217072,42,0.9562782891258893,0.9562782891258893
43,0.8889535218477249,0.8889535218477249,43,0.9428133356702564,0.9428133356702564
44,0.8829991668462753,0.8829991668462753,44,0.9308505019054601,0.9308505019054601
45,0.8687059283256531,0.8687059283256531,45,0.9184215871894987,0.9184215871894987
46,0.863001674413681,0.863001674413681,46,0.9073376046343352,0.9073376046343352
47,0.8481940925121307,0.8481940925121307,47,0.8955089022098943,0.8955089022098943
48,0.8410934060811996,0.8410934060811996,48,0.8846258029841554,0.8846258029841554
49,0.8298633992671967,0.8298633992671967,49,0.8736733222407637,0.8736733222407637
