Epochs,Lowest MAE,Smoothed Epochs,Lowest MAE Smoothed,"R: 7, 7","R: 8, 7","R: 7, 8","MAE: 7, 7","MAE: 8, 7","MAE: 7, 8"
1.0,3.367225766181946,1.0,3.367225766181946,,,,,,
2.0,3.1629825830459595,2.0,3.30595281124115,,,,,,
3.0,2.9758193492889404,3.0,3.206912772655487,,,,,,
4.0,2.808359742164612,4.0,3.087346863508224,,,,,,
5.0,2.6530004739761353,5.0,2.9570429466485972,,,,,,
6.0,2.51066517829895,6.0,2.823129616143703,,,,,,
7.0,2.3804495334625244,7.0,2.6903255913393496,,,,,,
8.0,2.266131281852722,8.0,2.5630672984933613,,,,,,
9.0,2.175497889518738,9.0,2.4467964758009746,,,,,,
10.0,2.1096537709236145,10.0,2.3456536643377666,,,,,,
11.0,2.0616660714149475,11.0,2.2604573864609208,,,,,,
12.0,2.0248959064483643,12.0,2.1897889424571537,,,,,,
13.0,1.9949145913124084,13.0,2.1313266371137303,,,,,,
14.0,1.9707101583480835,14.0,2.0831416934840363,,,,,,
15.0,1.9528248310089111,15.0,2.0440466347414987,,,,,,
16.0,1.9379009008407593,16.0,2.0122029145712768,,,,,,
17.0,1.9248610138893127,17.0,1.9860003443666874,,,,,,
18.0,1.9118861556053162,18.0,1.963766087738276,,,,,,
19.0,1.901004672050476,19.0,1.9449376630319362,,,,,,
20.0,1.8897775411605835,20.0,1.9283896264705302,,,,,,
21.0,1.8814859986305237,21.0,1.9143185381185284,,,,,,
22.0,1.8708891868591309,22.0,1.9012897327407092,,,,,,
23.0,1.860236942768097,23.0,1.8889738957489255,,,,,,
24.0,1.8437989354133606,24.0,1.875421407648256,,,,,,
25.0,1.8334553241729736,25.0,1.8628315826056714,,,,,,
26.0,1.8204646706581116,26.0,1.8501215090214034,,,,,,
27.0,1.8111926317214966,27.0,1.8384428458314312,,,,,,
28.0,1.7990779876708984,28.0,1.8266333883832715,,,,,,
29.0,1.7945526242256165,29.0,1.817009159135975,,,,,,
30.0,1.7838781476020813,30.0,1.807069855675807,,,,,,
31.0,1.776114046573639,31.0,1.7977831129451567,,,,,,
32.0,1.764812707901001,32.0,1.78789199143191,,,,,,
33.0,1.7553066611289978,33.0,1.7781163923410364,,,,,,
34.0,1.7447730898857117,34.0,1.768113401604439,,,,,,
35.0,1.731350600719452,35.0,1.7570845613389428,,,,,,
36.0,1.719602644443512,36.0,1.7458399862703136,,,,,,
37.0,1.7067608833312988,37.0,1.7341162553886091,,,,,,
38.0,1.6940233707427979,38.0,1.7220883899948658,,,,,,
39.0,1.681743860244751,39.0,1.7099850310698312,,,,,,
40.0,1.6733323335647583,40.0,1.6989892218183091,,,,,,
41.0,1.664724588394165,41.0,1.688709831791066,,,,,,
42.0,1.6509830355644226,42.0,1.677391792923073,,,,,,
43.0,1.638362169265747,43.0,1.6656829058258753,,,,,,
44.0,1.6259757280349731,44.0,1.6537707524886047,,,,,,
45.0,1.616407871246338,45.0,1.6425618881159245,,,,,,
46.0,1.6047483086585999,46.0,1.631217814278727,,,,,,
47.0,1.593300223350525,47.0,1.6198425370002665,,,,,,
48.0,1.5807468891143799,48.0,1.6081138426345005,,,,,,
49.0,1.575141429901123,49.0,1.5982221188144874,,,,,,
50.0,1.561584234237671,50.0,1.5872307534414425,,,,,,
51.0,1.549306571483612,51.0,1.5758534988540933,,,,,,
52.0,1.5375937819480896,52.0,1.5643755837822924,,,,,,
53.0,1.5298420190811157,53.0,1.5540155143719392,,,,,,
54.0,1.5178624987602234,54.0,1.5431696096884244,,,,,,
55.0,1.5068995952606201,55.0,1.532288605360083,,,,,,
56.0,1.5007405281066895,56.0,1.5228241821840651,,,,,,
57.0,1.488641619682312,57.0,1.5125694134335392,,,,,,
58.0,1.476105809211731,58.0,1.5016303321669968,,,,,,
59.0,1.4644655585289001,59.0,1.4904809000755677,,,,,,
60.0,1.457244873046875,60.0,1.4805100919669598,,,,,,
61.0,1.4466355443000793,61.0,1.4703477276668957,,,,,,
62.0,1.4353405833244324,62.0,1.4598455843641567,,,,,,
63.0,1.424521267414093,63.0,1.4492482892791376,,,,,,
64.0,1.4178345203399658,64.0,1.439824158597386,,,,,,
65.0,1.4114161133766174,65.0,1.4313017450311556,,,,,,
66.0,1.4012088179588318,66.0,1.4222738669094586,,,,,,
67.0,1.3914836645126343,67.0,1.4130368061904113,,,,,,
68.0,1.3854355812072754,68.0,1.4047564386954705,,,,,,
69.0,1.3738884329795837,69.0,1.3954960369807046,,,,,,
70.0,1.364714801311493,70.0,1.386261666279941,,,,,,
71.0,1.3582572937011719,71.0,1.3778603545063102,,,,,,
72.0,1.3470705151557922,72.0,1.3686234027011548,,,,,,
73.0,1.3406694531440735,73.0,1.3602372178340305,,,,,,
74.0,1.3367263078689575,74.0,1.3531839448445084,,,,,,
75.0,1.325124740600586,75.0,1.3447661835713318,,,,,,
76.0,1.3213462829589844,76.0,1.3377402133876275,,,,,,
77.0,1.307627558708191,77.0,1.3287064169837965,,,,,,
78.0,1.3032313585281372,78.0,1.3210638994470987,,,,,,
79.0,1.2912310361862183,79.0,1.3121140404688345,,,,,,
80.0,1.2845550775527954,80.0,1.3038463515940228,,,,,,
81.0,1.2737766802310944,81.0,1.2948254501851442,,,,,,
82.0,1.2695657908916473,82.0,1.287247552397095,,,,,,
83.0,1.2574586868286133,83.0,1.2783108927265503,,,,,,
84.0,1.2434299290180206,84.0,1.2678466036139915,,,,,,
85.0,1.2391961514949799,85.0,1.259251467978288,,,,,,
86.0,1.2257710099220276,86.0,1.24920733056141,,,,,,
87.0,1.21572145819664,87.0,1.239161568851979,,,,,,
88.0,1.2016462683677673,88.0,1.2279069787067156,,,,,,
89.0,1.1922715902328491,89.0,1.2172163621645558,,,,,,
90.0,1.184452086687088,90.0,1.2073870795213155,,,,,,
91.0,1.1689200103282928,91.0,1.1958469587634086,,,,,,
92.0,1.1519212424755096,92.0,1.182669243877039,,,,,,
93.0,1.1395872831344604,93.0,1.1697446556542654,,,,,,
94.0,1.1300633251667023,94.0,1.1578402565079964,,,,,,
95.0,1.115626722574234,95.0,1.1451761963278675,,,,,,
96.0,1.1057767868041992,96.0,1.133356373470767,,,,,,
97.0,1.0870051980018616,97.0,1.1194510208300954,,,,,,
98.0,1.0782107412815094,98.0,1.1070789369655196,,,,,,
99.0,1.0650883615016937,99.0,1.0944817643263718,,,,,,
100.0,1.0560912191867828,100.0,1.082964600784495,,,,,,
101.0,1.0357020497322083,101.0,1.0687858354688091,,,,,,
102.0,1.021496742963791,102.0,1.0545991077173036,,,,,,
103.0,1.0188004672527313,103.0,1.0438595155779318,,,,,,
104.0,1.0029695928096771,104.0,1.0315925387474554,,,,,,
105.0,0.9871401786804199,105.0,1.0182568307273447,,,,,,
106.0,0.9790629744529724,106.0,1.006498673845033,,,,,,
107.0,0.9761592447757721,107.0,0.9973968451242547,,,,,,
108.0,0.9665431678295135,108.0,0.9881407419358323,,,,,,
109.0,0.9516764581203461,109.0,0.9772014567911865,,,,,,
110.0,0.9448654055595398,110.0,0.9675006414216926,,,,,,
111.0,0.9399400353431702,111.0,0.9592324595981359,,,,,,
112.0,0.930342435836792,112.0,0.9505654524697327,,,,,,
113.0,0.9312380850315094,113.0,0.9447672422382658,,,,,,
114.0,0.9211789667606354,114.0,0.9376907595949767,,,,,,
115.0,0.9297154545783997,115.0,0.9352981680900037,,,,,,
116.0,0.9052076935768127,116.0,0.9262710257360465,,,,,,
117.0,0.8999463021755219,117.0,0.9183736086678891,,,,,,
118.0,0.8966846168041229,118.0,0.9118669111087593,,,,,,
119.0,0.8963857889175415,119.0,0.907222574451394,,,,,,
120.0,0.8869869410991669,120.0,0.9011518844457259,,,,,,
121.0,0.8853420317173004,121.0,0.8964089286271983,,,,,,
122.0,0.8767832815647125,122.0,0.8905212345084526,,,,,,
