Epochs,Lowest MAE,Smoothed Epochs,Lowest MAE Smoothed,"R: 30, 10","MAE: 30, 10"
1,1.421262413263321,1,1.421262413263321,0.9545455276966095,0.46521563082933426
2,0.9390529692173004,2,1.2765995800495147,,
3,0.7022152543067932,3,1.1042842823266983,,
4,0.6142596155405045,4,0.9572768822908401,,
5,0.5661766529083252,5,0.8399468134760856,,
6,0.5436240807175636,6,0.751049993648529,,
7,0.49700451642274857,7,0.6748363504807948,,
8,0.4703613445162773,8,0.6134938486914396,,
9,0.4451351687312126,9,0.5629862447033716,,
10,0.44999299943447113,10,0.5290882711227014,,
